종목,정정종목,메모
쥐두산에너빌리티,두산에너빌리티,"자동교정(실재명 102명, 잡음제거)"
엔비디아이,엔비디아,"자동교정(실재명 93명, 잡음제거)"
엔비디아듬,엔비디아,"자동교정(실재명 93명, 잡음제거)"
긱엔비디아,엔비디아,"자동교정(실재명 93명, 잡음제거)"
주엔비디아,엔비디아,"자동교정(실재명 93명, 잡음제거)"
주SK하이닉스,SK하이닉스,"자동교정(실재명 89명, 잡음제거)"
SK하이닉스됴,SK하이닉스,"자동교정(실재명 89명, 잡음제거)"
주NAVER,NAVER,"자동교정(실재명 79명, 잡음제거)"
결NAVER,NAVER,"자동교정(실재명 79명, 잡음제거)"
l에코프로비엠,에코프로비엠,"자동교정(실재명 67명, 잡음제거)"
삼성SDII,삼성SDI,"자동교정(실재명 55명, 잡음제거)"
주삼성전자우,삼성전자우,"자동교정(실재명 48명, 잡음제거)"
삼성전자우한주,삼성전자우,"자동교정(실재명 48명, 잡음제거)"
SK이노베이션우량,SK이노베이션,"자동교정(실재명 40명, 잡음제거)"
주한국전력,한국전력,"자동교정(실재명 37명, 잡음제거)"
한국전력공사,한국전력,"자동교정(실재명 37명, 잡음제거)"
쥐현대로템,현대로템,"자동교정(실재명 31명, 잡음제거)"
우리은행니,우리은행,"자동교정(실재명 31명, 잡음제거)"
이우리은행,우리은행,"자동교정(실재명 31명, 잡음제거)"
대한전선L,대한전선,"자동교정(실재명 30명, 잡음제거)"
기대한전선,대한전선,"자동교정(실재명 30명, 잡음제거)"
주아이온큐,아이온큐,"자동교정(실재명 27명, 잡음제거)"
알파벳A이,알파벳A,"자동교정(실재명 24명, 잡음제거)"
쥐POSCO홀딩스,POSCO홀딩스,"자동교정(실재명 20명, 잡음제거)"
i대우건설,대우건설,"자동교정(실재명 17명, 잡음제거)"
팔란티어이,팔란티어,"자동교정(실재명 14명, 잡음제거)"
들아모레퍼시픽,아모레퍼시픽,"자동교정(실재명 13명, 잡음제거)"
주유한양행,유한양행,"자동교정(실재명 13명, 잡음제거)"
ISK텔레콤,SK텔레콤,"자동교정(실재명 13명, 잡음제거)"
D현대중공업,현대중공업,"자동교정(실재명 13명, 잡음제거)"
KB금융상장,KB금융,"자동교정(실재명 12명, 잡음제거)"
쥐현대제철,현대제철,"자동교정(실재명 12명, 잡음제거)"
들에이비프로바이오,에이비프로바이오,"자동교정(실재명 11명, 잡음제거)"
귀로보티즈,로보티즈,"자동교정(실재명 10명, 잡음제거)"
삼성에스디에스다,삼성에스디에스,"자동교정(실재명 10명, 잡음제거)"
넷플릭스이,넷플릭스,"자동교정(실재명 10명, 잡음제거)"
쥐NH투자증권,NH투자증권,"자동교정(실재명 9명, 잡음제거)"
주NH투자증권,NH투자증권,"자동교정(실재명 9명, 잡음제거)"
주유바이오로직스,유바이오로직스,"자동교정(실재명 8명, 잡음제거)"
주신성이엔지,신성이엔지,"자동교정(실재명 7명, 잡음제거)"
기신성이엔지,신성이엔지,"자동교정(실재명 7명, 잡음제거)"
D현대인프라코어,현대인프라코어,"자동교정(실재명 7명, 잡음제거)"
팔란티어테크놀로지스훼,팔란티어테크놀로지스,"자동교정(실재명 6명, 잡음제거)"
권국민은행,국민은행,"자동교정(실재명 6명, 잡음제거)"
주오성첨단소재,오성첨단소재,"자동교정(실재명 5명, 잡음제거)"
주삼영엠텍,삼영엠텍,"자동교정(실재명 5명, 잡음제거)"
