선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_박병규,진보당_정희성,유효표_계,무효투표수,기권자수
광산구,전체,합계,race_total,322549,170348,133709,31483,165192,5156,152201
광산구,전체,거소투표,special,441,413,292,65,357,56,28
광산구,전체,관외사전투표,special,24868,24842,19532,4552,24084,758,26
광산구,송정1동,계,subtotal,8046,4177,3106,930,4036,141,3869
광산구,송정1동,관내사전투표,ballot,1764,1763,1361,352,1713,50,1
광산구,송정1동,선거일투표,ballot,6282,2414,1745,578,2323,91,3868
광산구,송정2동,계,subtotal,5002,2507,1892,521,2413,94,2495
광산구,송정2동,관내사전투표,ballot,1124,1122,830,253,1083,39,2
광산구,송정2동,선거일투표,ballot,3878,1385,1062,268,1330,55,2493
광산구,도산동,계,subtotal,11719,6277,4608,1440,6048,229,5442
광산구,도산동,관내사전투표,ballot,2970,2969,2177,700,2877,92,1
광산구,도산동,선거일투표,ballot,8749,3308,2431,740,3171,137,5441
광산구,신흥동,계,subtotal,3086,1495,1133,299,1432,63,1591
광산구,신흥동,관내사전투표,ballot,722,722,561,134,695,27,0
광산구,신흥동,선거일투표,ballot,2364,773,572,165,737,36,1591
광산구,어룡동,계,subtotal,26590,12713,9527,2826,12353,360,13877
광산구,어룡동,관내사전투표,ballot,4734,4728,3525,1093,4618,110,6
광산구,어룡동,선거일투표,ballot,21856,7985,6002,1733,7735,250,13871
광산구,우산동,계,subtotal,22266,10422,8280,1862,10142,280,11844
광산구,우산동,관내사전투표,ballot,3483,3481,2849,576,3425,56,2
광산구,우산동,선거일투표,ballot,18783,6941,5431,1286,6717,224,11842
광산구,월곡1동,계,subtotal,7832,3884,3017,761,3778,106,3948
광산구,월곡1동,관내사전투표,ballot,1707,1707,1332,337,1669,38,0
광산구,월곡1동,선거일투표,ballot,6125,2177,1685,424,2109,68,3948
광산구,월곡2동,계,subtotal,11300,5668,4443,1050,5493,175,5632
광산구,월곡2동,관내사전투표,ballot,2318,2317,1847,407,2254,63,1
광산구,월곡2동,선거일투표,ballot,8982,3351,2596,643,3239,112,5631
광산구,비아동,계,subtotal,5532,2447,2019,329,2348,99,3085
광산구,비아동,관내사전투표,ballot,1235,1233,1033,168,1201,32,2
광산구,비아동,선거일투표,ballot,4297,1214,986,161,1147,67,3083
광산구,첨단1동,계,subtotal,21575,11064,8791,1918,10709,355,10511
광산구,첨단1동,관내사전투표,ballot,4791,4787,3966,719,4685,102,4
광산구,첨단1동,선거일투표,ballot,16784,6277,4825,1199,6024,253,10507
광산구,첨단2동,계,subtotal,31107,14130,11358,2346,13704,426,16977
광산구,첨단2동,관내사전투표,ballot,4000,4000,3327,592,3919,81,0
광산구,첨단2동,선거일투표,ballot,27107,10130,8031,1754,9785,345,16977
광산구,신가동,계,subtotal,13697,6642,5457,1008,6465,177,7055
광산구,신가동,관내사전투표,ballot,2260,2259,1915,317,2232,27,1
광산구,신가동,선거일투표,ballot,11437,4383,3542,691,4233,150,7054
광산구,운남동,계,subtotal,22404,12215,9363,2545,11908,307,10189
광산구,운남동,관내사전투표,ballot,4576,4572,3531,958,4489,83,4
광산구,운남동,선거일투표,ballot,17828,7643,5832,1587,7419,224,10185
광산구,신창동,계,subtotal,25206,11903,9726,1905,11631,272,13303
광산구,신창동,관내사전투표,ballot,5002,4999,4206,729,4935,64,3
광산구,신창동,선거일투표,ballot,20204,6904,5520,1176,6696,208,13300
광산구,수완동,계,subtotal,51078,24711,19725,4285,24010,701,26367
광산구,수완동,관내사전투표,ballot,6733,6727,5583,1004,6587,140,6
광산구,수완동,선거일투표,ballot,44345,17984,14142,3281,17423,561,26361
광산구,하남동,계,subtotal,20145,8964,7199,1530,8729,235,11181
광산구,하남동,관내사전투표,ballot,3929,3925,3229,626,3855,70,4
광산구,하남동,선거일투표,ballot,16216,5039,3970,904,4874,165,11177
광산구,임곡동,계,subtotal,1613,887,694,155,849,38,726
광산구,임곡동,관내사전투표,ballot,534,533,433,82,515,18,1
광산구,임곡동,선거일투표,ballot,1079,354,261,73,334,20,725
광산구,동곡동,계,subtotal,1409,872,661,160,821,51,537
광산구,동곡동,관내사전투표,ballot,445,445,330,81,411,34,0
광산구,동곡동,선거일투표,ballot,964,427,331,79,410,17,537
광산구,평동,계,subtotal,4397,2202,1595,512,2107,95,2195
광산구,평동,관내사전투표,ballot,1345,1344,992,302,1294,50,1
광산구,평동,선거일투표,ballot,3052,858,603,210,813,45,2194
광산구,삼도동,계,subtotal,1742,997,631,299,930,67,745
광산구,삼도동,관내사전투표,ballot,515,515,327,142,469,46,0
광산구,삼도동,선거일투표,ballot,1227,482,304,157,461,21,745
광산구,본량동,계,subtotal,1494,844,610,166,776,68,650
광산구,본량동,관내사전투표,ballot,418,418,299,90,389,29,0
광산구,본량동,선거일투표,ballot,1076,426,311,76,387,39,650
광산구,전체,잘못투입·구분된투표지,special,0,72,50,19,69,3,-72
