선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_임택,조국혁신당_김성환,유효표_계,무효투표수,기권자수
동구,전체,합계,race_total,92274,53842,28586,23934,52520,1322,38432
동구,전체,거소투표,special,194,178,116,57,173,5,16
동구,전체,관외사전투표,special,9048,9028,5465,3347,8812,216,20
동구,충장동,계,subtotal,5223,1971,1192,697,1889,82,3252
동구,충장동,관내사전투표,ballot,886,885,583,277,860,25,1
동구,충장동,선거일투표,ballot,4337,1086,609,420,1029,57,3251
동구,동명동,계,subtotal,2981,1320,657,617,1274,46,1661
동구,동명동,관내사전투표,ballot,676,674,347,312,659,15,2
동구,동명동,선거일투표,ballot,2305,646,310,305,615,31,1659
동구,계림1동,계,subtotal,7809,4029,2335,1584,3919,110,3780
동구,계림1동,관내사전투표,ballot,1555,1550,923,587,1510,40,5
동구,계림1동,선거일투표,ballot,6254,2479,1412,997,2409,70,3775
동구,계림2동,계,subtotal,9917,6139,3241,2772,6013,126,3778
동구,계림2동,관내사전투표,ballot,2713,2707,1517,1150,2667,40,6
동구,계림2동,선거일투표,ballot,7204,3432,1724,1622,3346,86,3772
동구,산수1동,계,subtotal,5808,3067,1544,1448,2992,75,2741
동구,산수1동,관내사전투표,ballot,1496,1495,764,704,1468,27,1
동구,산수1동,선거일투표,ballot,4312,1572,780,744,1524,48,2740
동구,산수2동,계,subtotal,7316,4227,2154,1971,4125,102,3089
동구,산수2동,관내사전투표,ballot,1815,1814,945,832,1777,37,1
동구,산수2동,선거일투표,ballot,5501,2413,1209,1139,2348,65,3088
동구,지산1동,계,subtotal,3205,1487,790,651,1441,46,1718
동구,지산1동,관내사전투표,ballot,779,779,406,358,764,15,0
동구,지산1동,선거일투표,ballot,2426,708,384,293,677,31,1718
동구,지산2동,계,subtotal,3268,1587,822,721,1543,44,1681
동구,지산2동,관내사전투표,ballot,751,750,402,336,738,12,1
동구,지산2동,선거일투표,ballot,2517,837,420,385,805,32,1680
동구,서남동,계,subtotal,3165,1318,762,503,1265,53,1847
동구,서남동,관내사전투표,ballot,732,731,434,278,712,19,1
동구,서남동,선거일투표,ballot,2433,587,328,225,553,34,1846
동구,학동,계,subtotal,5422,3335,1610,1633,3243,92,2087
동구,학동,관내사전투표,ballot,1537,1536,791,716,1507,29,1
동구,학동,선거일투표,ballot,3885,1799,819,917,1736,63,2086
동구,학운동,계,subtotal,9100,5491,2532,2854,5386,105,3609
동구,학운동,관내사전투표,ballot,2876,2875,1377,1467,2844,31,1
동구,학운동,선거일투표,ballot,6224,2616,1155,1387,2542,74,3608
동구,지원1동,계,subtotal,6797,3888,1947,1871,3818,70,2909
동구,지원1동,관내사전투표,ballot,2148,2137,1069,1045,2114,23,11
동구,지원1동,선거일투표,ballot,4649,1751,878,826,1704,47,2898
동구,지원2동,계,subtotal,13021,6728,3390,3188,6578,150,6293
동구,지원2동,관내사전투표,ballot,2693,2693,1399,1238,2637,56,0
동구,지원2동,선거일투표,ballot,10328,4035,1991,1950,3941,94,6293
동구,전체,잘못투입·구분된투표지,special,0,49,29,20,49,0,-49
