선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_신수정,진보당_김주업,무소속_김성현,무소속_노남수,유효표_계,무효투표수,기권자수
북구,전체,합계,race_total,359547,195400,148312,24932,7650,9669,190563,4837,164147
북구,전체,거소투표,special,541,514,379,50,29,22,480,34,27
북구,전체,관외사전투표,special,32076,32061,24041,4452,1359,1360,31212,849,15
북구,중흥1동,계,subtotal,3398,1521,1208,164,73,32,1477,44,1877
북구,중흥1동,관내사전투표,ballot,761,761,635,81,16,10,742,19,0
북구,중흥1동,선거일투표,ballot,2637,760,573,83,57,22,735,25,1877
북구,중흥동,계,subtotal,11391,5279,3776,778,302,277,5133,146,6112
북구,중흥동,관내사전투표,ballot,2365,2365,1784,344,102,98,2328,37,0
북구,중흥동,선거일투표,ballot,9026,2914,1992,434,200,179,2805,109,6112
북구,중앙동,계,subtotal,3096,1406,1085,151,69,55,1360,46,1690
북구,중앙동,관내사전투표,ballot,852,852,680,78,35,34,827,25,0
북구,중앙동,선거일투표,ballot,2244,554,405,73,34,21,533,21,1690
북구,임동,계,subtotal,10456,5572,4228,645,317,239,5429,143,4884
북구,임동,관내사전투표,ballot,1912,1911,1547,213,60,56,1876,35,1
북구,임동,선거일투표,ballot,8544,3661,2681,432,257,183,3553,108,4883
북구,신안동,계,subtotal,9486,3875,2872,505,170,193,3740,135,5611
북구,신안동,관내사전투표,ballot,1805,1804,1396,239,47,73,1755,49,1
북구,신안동,선거일투표,ballot,7681,2071,1476,266,123,120,1985,86,5610
북구,용봉동,계,subtotal,26800,11732,8619,1651,486,655,11411,321,15068
북구,용봉동,관내사전투표,ballot,3083,3080,2360,431,79,133,3003,77,3
북구,용봉동,선거일투표,ballot,23717,8652,6259,1220,407,522,8408,244,15065
북구,운암1동,계,subtotal,13763,7826,5958,888,314,528,7688,138,5937
북구,운암1동,관내사전투표,ballot,3440,3437,2755,369,95,174,3393,44,3
북구,운암1동,선거일투표,ballot,10323,4389,3203,519,219,354,4295,94,5934
북구,운암2동,계,subtotal,8738,4104,3164,459,129,258,4010,94,4634
