선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_차영수,무소속_강진원,유효표_계,무효투표수,기권자수
강진군,전체,합계,race_total,28803,22154,8914,12584,21498,656,6649
강진군,전체,거소투표,special,157,148,48,74,122,26,9
강진군,전체,관외사전투표,special,3309,3309,1411,1845,3256,53,0
강진군,강진읍,계,subtotal,9494,6930,2877,3935,6812,118,2564
강진군,강진읍,관내사전투표,ballot,4081,4078,1610,2405,4015,63,3
강진군,강진읍,선거일투표,ballot,5413,2852,1267,1530,2797,55,2561
강진군,군동면,계,subtotal,3162,2251,865,1303,2168,83,911
강진군,군동면,관내사전투표,ballot,1232,1232,489,689,1178,54,0
강진군,군동면,선거일투표,ballot,1930,1019,376,614,990,29,911
강진군,칠량면,계,subtotal,1742,1298,517,716,1233,65,444
강진군,칠량면,관내사전투표,ballot,828,828,311,470,781,47,0
강진군,칠량면,선거일투표,ballot,914,470,206,246,452,18,444
강진군,대구면,계,subtotal,838,654,255,374,629,25,184
강진군,대구면,관내사전투표,ballot,467,466,174,273,447,19,1
강진군,대구면,선거일투표,ballot,371,188,81,101,182,6,183
강진군,마량면,계,subtotal,1436,1069,533,494,1027,42,367
강진군,마량면,관내사전투표,ballot,728,727,349,349,698,29,1
강진군,마량면,선거일투표,ballot,708,342,184,145,329,13,366
강진군,도암면,계,subtotal,1865,1384,529,797,1326,58,481
강진군,도암면,관내사전투표,ballot,857,856,325,488,813,43,1
강진군,도암면,선거일투표,ballot,1008,528,204,309,513,15,480
강진군,신전면,계,subtotal,1414,1102,484,582,1066,36,312
강진군,신전면,관내사전투표,ballot,733,733,320,388,708,25,0
강진군,신전면,선거일투표,ballot,681,369,164,194,358,11,312
강진군,성전면,계,subtotal,2260,1682,696,925,1621,61,578
강진군,성전면,관내사전투표,ballot,1222,1220,484,681,1165,55,2
강진군,성전면,선거일투표,ballot,1038,462,212,244,456,6,576
강진군,작천면,계,subtotal,1399,1019,280,703,983,36,380
강진군,작천면,관내사전투표,ballot,688,686,185,478,663,23,2
강진군,작천면,선거일투표,ballot,711,333,95,225,320,13,378
강진군,병영면,계,subtotal,1262,944,274,630,904,40,318
강진군,병영면,관내사전투표,ballot,654,653,178,444,622,31,1
강진군,병영면,선거일투표,ballot,608,291,96,186,282,9,317
강진군,옴천면,계,subtotal,465,354,142,200,342,12,111
강진군,옴천면,관내사전투표,ballot,225,225,85,130,215,10,0
강진군,옴천면,선거일투표,ballot,240,129,57,70,127,2,111
강진군,전체,잘못투입·구분된투표지,special,0,10,3,6,9,1,-10
