선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_공영민,무소속_류봉진,무소속_최진열,유효표_계,무효투표수,기권자수
고흥군,전체,합계,race_total,54928,39660,32224,4046,1933,38203,1457,15268
고흥군,전체,거소투표,special,151,146,111,16,9,136,10,5
고흥군,전체,관외사전투표,special,4280,4275,3548,483,155,4186,89,5
고흥군,고흥읍,계,subtotal,9361,5802,4498,904,273,5675,127,3559
고흥군,고흥읍,관내사전투표,ballot,3554,3554,2830,507,146,3483,71,0
고흥군,고흥읍,선거일투표,ballot,5807,2248,1668,397,127,2192,56,3559
고흥군,도양읍,계,subtotal,8603,5820,4826,548,291,5665,155,2783
고흥군,도양읍,관내사전투표,ballot,3556,3556,3006,298,154,3458,98,0
고흥군,도양읍,선거일투표,ballot,5047,2264,1820,250,137,2207,57,2783
고흥군,풍양면,계,subtotal,2539,1939,1709,96,43,1848,91,600
고흥군,풍양면,관내사전투표,ballot,1155,1156,1036,32,22,1090,66,-1
고흥군,풍양면,선거일투표,ballot,1384,783,673,64,21,758,25,601
고흥군,도덕면,계,subtotal,2315,1673,1440,98,52,1590,83,642
고흥군,도덕면,관내사전투표,ballot,1090,1089,961,46,18,1025,64,1
고흥군,도덕면,선거일투표,ballot,1225,584,479,52,34,565,19,641
고흥군,금산면,계,subtotal,3447,2562,2042,225,152,2419,143,885
고흥군,금산면,관내사전투표,ballot,1828,1826,1456,151,102,1709,117,2
고흥군,금산면,선거일투표,ballot,1619,736,586,74,50,710,26,883
고흥군,도화면,계,subtotal,3222,2401,2053,147,106,2306,95,821
고흥군,도화면,관내사전투표,ballot,1768,1768,1539,89,61,1689,79,0
고흥군,도화면,선거일투표,ballot,1454,633,514,58,45,617,16,821
고흥군,포두면,계,subtotal,3819,2690,2207,257,127,2591,99,1129
고흥군,포두면,관내사전투표,ballot,1508,1508,1294,108,52,1454,54,0
고흥군,포두면,선거일투표,ballot,2311,1182,913,149,75,1137,45,1129
고흥군,봉래면,계,subtotal,1516,1094,958,54,47,1059,35,422
고흥군,봉래면,관내사전투표,ballot,807,807,715,32,28,775,32,0
고흥군,봉래면,선거일투표,ballot,709,287,243,22,19,284,3,422
고흥군,동일면,계,subtotal,1230,923,806,47,32,885,38,307
고흥군,동일면,관내사전투표,ballot,706,706,626,29,20,675,31,0
고흥군,동일면,선거일투표,ballot,524,217,180,18,12,210,7,307
고흥군,점암면,계,subtotal,2136,1424,1099,128,127,1354,70,712
고흥군,점암면,관내사전투표,ballot,874,874,699,74,64,837,37,0
고흥군,점암면,선거일투표,ballot,1262,550,400,54,63,517,33,712
고흥군,영남면,계,subtotal,1015,727,551,121,27,699,28,288
고흥군,영남면,관내사전투표,ballot,455,455,356,70,9,435,20,0
고흥군,영남면,선거일투표,ballot,560,272,195,51,18,264,8,288
고흥군,과역면,계,subtotal,2673,2046,1565,239,151,1955,91,627
고흥군,과역면,관내사전투표,ballot,1506,1506,1194,156,90,1440,66,0
고흥군,과역면,선거일투표,ballot,1167,540,371,83,61,515,25,627
고흥군,남양면,계,subtotal,1752,1270,1021,130,66,1217,53,482
고흥군,남양면,관내사전투표,ballot,711,711,586,61,34,681,30,0
고흥군,남양면,선거일투표,ballot,1041,559,435,69,32,536,23,482
고흥군,동강면,계,subtotal,2594,1848,1411,234,112,1757,91,746
고흥군,동강면,관내사전투표,ballot,1189,1188,914,152,58,1124,64,1
고흥군,동강면,선거일투표,ballot,1405,660,497,82,54,633,27,745
고흥군,대서면,계,subtotal,1797,1328,1020,153,75,1248,80,469
고흥군,대서면,관내사전투표,ballot,990,989,778,93,48,919,70,1
고흥군,대서면,선거일투표,ballot,807,339,242,60,27,329,10,468
고흥군,두원면,계,subtotal,2478,1686,1353,166,88,1607,79,792
고흥군,두원면,관내사전투표,ballot,1118,1117,929,85,51,1065,52,1
고흥군,두원면,선거일투표,ballot,1360,569,424,81,37,542,27,791
고흥군,전체,잘못투입·구분된투표지,special,0,6,6,0,0,6,0,-6
