선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_조상래,조국혁신당_박웅두,유효표_계,무효투표수,기권자수
곡성군,전체,합계,race_total,25668,19309,12678,5912,18590,719,6359
곡성군,전체,거소투표,special,61,58,39,15,54,4,3
곡성군,전체,관외사전투표,special,2831,2830,1914,828,2742,88,1
곡성군,곡성읍,계,subtotal,6566,4780,3084,1532,4616,164,1786
곡성군,곡성읍,관내사전투표,ballot,2824,2817,1851,854,2705,112,7
곡성군,곡성읍,선거일투표,ballot,3742,1963,1233,678,1911,52,1779
곡성군,오곡면,계,subtotal,1456,1105,765,292,1057,48,351
곡성군,오곡면,관내사전투표,ballot,657,654,462,164,626,28,3
곡성군,오곡면,선거일투표,ballot,799,451,303,128,431,20,348
곡성군,삼기면,계,subtotal,1360,960,637,275,912,48,400
곡성군,삼기면,관내사전투표,ballot,609,609,401,173,574,35,0
곡성군,삼기면,선거일투표,ballot,751,351,236,102,338,13,400
곡성군,석곡면,계,subtotal,1874,1379,955,357,1312,67,495
곡성군,석곡면,관내사전투표,ballot,912,907,649,211,860,47,5
곡성군,석곡면,선거일투표,ballot,962,472,306,146,452,20,490
곡성군,목사동면,계,subtotal,1055,715,490,197,687,28,340
곡성군,목사동면,관내사전투표,ballot,511,511,352,135,487,24,0
곡성군,목사동면,선거일투표,ballot,544,204,138,62,200,4,340
곡성군,죽곡면,계,subtotal,1542,1099,755,301,1056,43,443
곡성군,죽곡면,관내사전투표,ballot,736,735,519,183,702,33,1
곡성군,죽곡면,선거일투표,ballot,806,364,236,118,354,10,442
곡성군,고달면,계,subtotal,922,665,442,202,644,21,257
곡성군,고달면,관내사전투표,ballot,351,351,234,109,343,8,0
곡성군,고달면,선거일투표,ballot,571,314,208,93,301,13,257
곡성군,옥과면,계,subtotal,3659,2554,1534,948,2482,72,1105
곡성군,옥과면,관내사전투표,ballot,1618,1613,1005,557,1562,51,5
곡성군,옥과면,선거일투표,ballot,2041,941,529,391,920,21,1100
곡성군,입면,계,subtotal,1862,1361,880,417,1297,64,501
곡성군,입면,관내사전투표,ballot,841,841,573,222,795,46,0
곡성군,입면,선거일투표,ballot,1021,520,307,195,502,18,501
곡성군,겸면,계,subtotal,1289,967,627,304,931,36,322
곡성군,겸면,관내사전투표,ballot,556,556,362,175,537,19,0
곡성군,겸면,선거일투표,ballot,733,411,265,129,394,17,322
곡성군,오산면,계,subtotal,1191,814,538,241,779,35,377
곡성군,오산면,관내사전투표,ballot,475,475,318,131,449,26,0
곡성군,오산면,선거일투표,ballot,716,339,220,110,330,9,377
곡성군,전체,잘못투입·구분된투표지,special,0,22,18,3,21,1,-22
