선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_정인화,무소속_박성현,무소속_박필순,유효표_계,무효투표수,기권자수
광양시,전체,합계,race_total,132358,81200,37074,40154,2708,79936,1264,51158
광양시,전체,거소투표,special,218,201,116,63,8,187,14,17
광양시,전체,관외사전투표,special,13928,13920,6846,6410,457,13713,207,8
광양시,광양읍,계,subtotal,37507,21175,10909,9403,583,20895,280,16332
광양시,광양읍,관내사전투표,ballot,8353,8351,4299,3724,221,8244,107,2
광양시,광양읍,선거일투표,ballot,29154,12824,6610,5679,362,12651,173,16330
광양시,봉강면,계,subtotal,1614,1081,621,411,27,1059,22,533
광양시,봉강면,관내사전투표,ballot,538,538,328,190,11,529,9,0
광양시,봉강면,선거일투표,ballot,1076,543,293,221,16,530,13,533
광양시,옥룡면,계,subtotal,2307,1639,1134,416,38,1588,51,668
광양시,옥룡면,관내사전투표,ballot,1041,1040,747,240,24,1011,29,1
광양시,옥룡면,선거일투표,ballot,1266,599,387,176,14,577,22,667
광양시,옥곡면,계,subtotal,3351,1941,967,844,68,1879,62,1410
광양시,옥곡면,관내사전투표,ballot,1094,1094,596,420,29,1045,49,0
광양시,옥곡면,선거일투표,ballot,2257,847,371,424,39,834,13,1410
광양시,진상면,계,subtotal,2041,1413,704,569,69,1342,71,628
광양시,진상면,관내사전투표,ballot,835,835,443,309,34,786,49,0
광양시,진상면,선거일투표,ballot,1206,578,261,260,35,556,22,628
광양시,진월면,계,subtotal,2052,1430,493,811,80,1384,46,622
광양시,진월면,관내사전투표,ballot,668,668,195,414,31,640,28,0
광양시,진월면,선거일투표,ballot,1384,762,298,397,49,744,18,622
광양시,다압면,계,subtotal,1335,891,450,368,48,866,25,444
광양시,다압면,관내사전투표,ballot,515,515,286,187,25,498,17,0
광양시,다압면,선거일투표,ballot,820,376,164,181,23,368,8,444
광양시,골약동,계,subtotal,8352,5052,1641,3121,223,4985,67,3300
광양시,골약동,관내사전투표,ballot,2416,2416,826,1474,94,2394,22,0
광양시,골약동,선거일투표,ballot,5936,2636,815,1647,129,2591,45,3300
광양시,중마동,계,subtotal,42760,22503,9048,12475,744,22267,236,20257
광양시,중마동,관내사전투표,ballot,9199,9197,3856,5022,244,9122,75,2
광양시,중마동,선거일투표,ballot,33561,13306,5192,7453,500,13145,161,20255
광양시,광영동,계,subtotal,8181,4616,1961,2384,165,4510,106,3565
광양시,광영동,관내사전투표,ballot,2386,2384,1043,1219,67,2329,55,2
광양시,광영동,선거일투표,ballot,5795,2232,918,1165,98,2181,51,3563
광양시,태인동,계,subtotal,1182,768,292,435,20,747,21,414
광양시,태인동,관내사전투표,ballot,505,505,190,292,7,489,16,0
광양시,태인동,선거일투표,ballot,677,263,102,143,13,258,5,414
광양시,금호동,계,subtotal,7530,4555,1887,2435,178,4500,55,2975
광양시,금호동,관내사전투표,ballot,2260,2260,981,1196,59,2236,24,0
광양시,금호동,선거일투표,ballot,5270,2295,906,1239,119,2264,31,2975
광양시,전체,잘못투입·구분된투표지,special,0,15,5,9,0,14,1,-15
