선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_장길선,조국혁신당_이창호,무소속_이현창,무소속_전경태,무소속_정현택,무소속_정택균,유효표_계,무효투표수,기권자수
구례군,전체,합계,race_total,22104,17458,6914,3087,1193,720,4896,260,17070,388,4646
구례군,전체,거소투표,special,76,69,22,13,3,3,19,2,62,7,7
구례군,전체,관외사전투표,special,2775,2774,1270,460,150,75,729,43,2727,47,1
구례군,구례읍,계,subtotal,7656,5804,2130,898,381,270,1972,71,5722,82,1852
구례군,구례읍,관내사전투표,ballot,3103,3103,1159,476,215,115,1060,35,3060,43,0
구례군,구례읍,선거일투표,ballot,4553,2701,971,422,166,155,912,36,2662,39,1852
구례군,문척면,계,subtotal,1326,1060,522,151,30,31,284,15,1033,27,266
구례군,문척면,관내사전투표,ballot,691,691,335,111,19,15,196,3,679,12,0
구례군,문척면,선거일투표,ballot,635,369,187,40,11,16,88,12,354,15,266
구례군,간전면,계,subtotal,1154,901,352,181,83,44,204,8,872,29,253
구례군,간전면,관내사전투표,ballot,603,603,257,112,54,24,132,4,583,20,0
구례군,간전면,선거일투표,ballot,551,298,95,69,29,20,72,4,289,9,253
구례군,토지면,계,subtotal,1943,1452,566,256,76,48,433,17,1396,56,491
구례군,토지면,관내사전투표,ballot,866,864,353,122,49,20,271,11,826,38,2
구례군,토지면,선거일투표,ballot,1077,588,213,134,27,28,162,6,570,18,489
구례군,마산면,계,subtotal,2013,1554,493,490,97,56,357,18,1511,43,459
구례군,마산면,관내사전투표,ballot,976,975,308,320,62,34,220,9,953,22,1
구례군,마산면,선거일투표,ballot,1037,579,185,170,35,22,137,9,558,21,458
구례군,광의면,계,subtotal,1796,1339,546,278,76,68,300,39,1307,32,457
구례군,광의면,관내사전투표,ballot,760,760,304,150,47,40,180,19,740,20,0
구례군,광의면,선거일투표,ballot,1036,579,242,128,29,28,120,20,567,12,457
구례군,용방면,계,subtotal,1068,816,272,145,85,39,240,15,796,20,252
구례군,용방면,관내사전투표,ballot,494,494,171,80,62,22,140,7,482,12,0
구례군,용방면,선거일투표,ballot,574,322,101,65,23,17,100,8,314,8,252
구례군,산동면,계,subtotal,2297,1686,741,213,211,86,358,32,1641,45,611
구례군,산동면,관내사전투표,ballot,881,881,409,116,104,33,183,16,861,20,0
구례군,산동면,선거일투표,ballot,1416,805,332,97,107,53,175,16,780,25,611
구례군,전체,잘못투입·구분된투표지,special,0,3,0,2,1,0,0,0,3,0,-3
