선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_윤병태,조국혁신당_김덕수,유효표_계,무효투표수,기권자수
나주시,전체,합계,race_total,99957,61583,42901,16689,59590,1993,38374
나주시,전체,거소투표,special,290,267,161,50,211,56,23
나주시,전체,관외사전투표,special,11203,11200,7709,3242,10951,249,3
나주시,남평읍,계,subtotal,9173,5293,4333,816,5149,144,3880
나주시,남평읍,관내사전투표,ballot,3010,3010,2500,436,2936,74,0
나주시,남평읍,선거일투표,ballot,6163,2283,1833,380,2213,70,3880
나주시,세지면,계,subtotal,2017,1236,952,243,1195,41,781
나주시,세지면,관내사전투표,ballot,875,875,668,174,842,33,0
나주시,세지면,선거일투표,ballot,1142,361,284,69,353,8,781
나주시,왕곡면,계,subtotal,2068,1344,1015,256,1271,73,724
나주시,왕곡면,관내사전투표,ballot,768,768,578,138,716,52,0
나주시,왕곡면,선거일투표,ballot,1300,576,437,118,555,21,724
나주시,반남면,계,subtotal,1051,696,528,141,669,27,355
나주시,반남면,관내사전투표,ballot,433,433,324,87,411,22,0
나주시,반남면,선거일투표,ballot,618,263,204,54,258,5,355
나주시,공산면,계,subtotal,1742,1140,859,241,1100,40,602
나주시,공산면,관내사전투표,ballot,727,727,550,152,702,25,0
나주시,공산면,선거일투표,ballot,1015,413,309,89,398,15,602
나주시,동강면,계,subtotal,1885,1125,880,190,1070,55,760
나주시,동강면,관내사전투표,ballot,712,712,562,110,672,40,0
나주시,동강면,선거일투표,ballot,1173,413,318,80,398,15,760
나주시,다시면,계,subtotal,2841,1973,1389,433,1822,151,868
나주시,다시면,관내사전투표,ballot,1423,1423,1005,294,1299,124,0
나주시,다시면,선거일투표,ballot,1418,550,384,139,523,27,868
나주시,문평면,계,subtotal,1316,827,594,204,798,29,489
나주시,문평면,관내사전투표,ballot,549,549,397,133,530,19,0
나주시,문평면,선거일투표,ballot,767,278,197,71,268,10,489
나주시,노안면,계,subtotal,3388,2033,1462,477,1939,94,1355
나주시,노안면,관내사전투표,ballot,1082,1082,797,229,1026,56,0
나주시,노안면,선거일투표,ballot,2306,951,665,248,913,38,1355
나주시,금천면,계,subtotal,5044,2735,1994,641,2635,100,2309
나주시,금천면,관내사전투표,ballot,1526,1525,1146,325,1471,54,1
나주시,금천면,선거일투표,ballot,3518,1210,848,316,1164,46,2308
나주시,산포면,계,subtotal,2528,1561,1244,258,1502,59,967
나주시,산포면,관내사전투표,ballot,886,886,699,142,841,45,0
나주시,산포면,선거일투표,ballot,1642,675,545,116,661,14,967
나주시,다도면,계,subtotal,1450,952,683,170,853,99,498
나주시,다도면,관내사전투표,ballot,659,659,470,112,582,77,0
나주시,다도면,선거일투표,ballot,791,293,213,58,271,22,498
나주시,봉황면,계,subtotal,2987,1670,1250,357,1607,63,1317
나주시,봉황면,관내사전투표,ballot,974,974,739,198,937,37,0
나주시,봉황면,선거일투표,ballot,2013,696,511,159,670,26,1317
나주시,송월동,계,subtotal,8221,4322,2690,1536,4226,96,3899
나주시,송월동,관내사전투표,ballot,1903,1903,1208,672,1880,23,0
나주시,송월동,선거일투표,ballot,6318,2419,1482,864,2346,73,3899
나주시,영강동,계,subtotal,2091,1150,764,332,1096,54,941
나주시,영강동,관내사전투표,ballot,718,718,479,201,680,38,0
나주시,영강동,선거일투표,ballot,1373,432,285,131,416,16,941
나주시,금남동,계,subtotal,3308,1896,1177,665,1842,54,1412
나주시,금남동,관내사전투표,ballot,1013,1011,614,372,986,25,2
나주시,금남동,선거일투표,ballot,2295,885,563,293,856,29,1410
나주시,성북동,계,subtotal,6569,3900,2408,1403,3811,89,2669
나주시,성북동,관내사전투표,ballot,2260,2259,1422,801,2223,36,1
나주시,성북동,선거일투표,ballot,4309,1641,986,602,1588,53,2668
나주시,영산동,계,subtotal,2291,1269,898,322,1220,49,1022
나주시,영산동,관내사전투표,ballot,768,768,549,187,736,32,0
나주시,영산동,선거일투표,ballot,1523,501,349,135,484,17,1022
나주시,이창동,계,subtotal,2701,1482,1052,374,1426,56,1219
나주시,이창동,관내사전투표,ballot,875,875,658,180,838,37,0
나주시,이창동,선거일투표,ballot,1826,607,394,194,588,19,1219
나주시,빛가람동,계,subtotal,25793,13506,8855,4336,13191,315,12287
나주시,빛가람동,관내사전투표,ballot,5678,5675,3777,1790,5567,108,3
나주시,빛가람동,선거일투표,ballot,20115,7831,5078,2546,7624,207,12284
나주시,전체,잘못투입·구분된투표지,special,0,6,4,2,6,0,-6
