선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_박종원,조국혁신당_정철원,무소속_최화삼,유효표_계,무효투표수,기권자수
담양군,전체,합계,race_total,40279,30005,16079,11535,1592,29206,799,10274
담양군,전체,거소투표,special,119,115,61,43,7,111,4,4
담양군,전체,관외사전투표,special,5485,5480,3035,2044,301,5380,100,5
담양군,담양읍,계,subtotal,11057,7575,4019,2993,445,7457,118,3482
담양군,담양읍,관내사전투표,ballot,4537,4533,2403,1833,223,4459,74,4
담양군,담양읍,선거일투표,ballot,6520,3042,1616,1160,222,2998,44,3478
담양군,봉산면,계,subtotal,2059,1450,800,512,81,1393,57,609
담양군,봉산면,관내사전투표,ballot,931,931,525,317,49,891,40,0
담양군,봉산면,선거일투표,ballot,1128,519,275,195,32,502,17,609
담양군,고서면,계,subtotal,2388,1752,939,674,78,1691,61,636
담양군,고서면,관내사전투표,ballot,1222,1222,664,461,50,1175,47,0
담양군,고서면,선거일투표,ballot,1166,530,275,213,28,516,14,636
담양군,가사문학면,계,subtotal,904,664,394,207,39,640,24,240
담양군,가사문학면,관내사전투표,ballot,497,497,303,150,26,479,18,0
담양군,가사문학면,선거일투표,ballot,407,167,91,57,13,161,6,240
담양군,창평면,계,subtotal,2783,2056,1171,719,63,1953,103,727
담양군,창평면,관내사전투표,ballot,1410,1407,822,460,39,1321,86,3
담양군,창평면,선거일투표,ballot,1373,649,349,259,24,632,17,724
담양군,대덕면,계,subtotal,1443,1018,539,398,42,979,39,425
담양군,대덕면,관내사전투표,ballot,644,644,357,240,20,617,27,0
담양군,대덕면,선거일투표,ballot,799,374,182,158,22,362,12,425
담양군,무정면,계,subtotal,1861,1266,640,517,77,1234,32,595
담양군,무정면,관내사전투표,ballot,763,763,383,315,40,738,25,0
담양군,무정면,선거일투표,ballot,1098,503,257,202,37,496,7,595
담양군,금성면,계,subtotal,1961,1375,542,701,89,1332,43,586
담양군,금성면,관내사전투표,ballot,906,904,353,450,64,867,37,2
담양군,금성면,선거일투표,ballot,1055,471,189,251,25,465,6,584
담양군,용면,계,subtotal,1439,1065,521,475,40,1036,29,374
담양군,용면,관내사전투표,ballot,653,652,323,291,20,634,18,1
담양군,용면,선거일투표,ballot,786,413,198,184,20,402,11,373
담양군,월산면,계,subtotal,1791,1309,656,567,47,1270,39,482
담양군,월산면,관내사전투표,ballot,885,885,433,389,37,859,26,0
담양군,월산면,선거일투표,ballot,906,424,223,178,10,411,13,482
담양군,수북면,계,subtotal,3819,2736,1620,869,175,2664,72,1083
담양군,수북면,관내사전투표,ballot,1674,1671,1013,517,91,1621,50,3
담양군,수북면,선거일투표,ballot,2145,1065,607,352,84,1043,22,1080
담양군,대전면,계,subtotal,3170,2126,1132,809,107,2048,78,1044
담양군,대전면,관내사전투표,ballot,1294,1293,681,496,58,1235,58,1
담양군,대전면,선거일투표,ballot,1876,833,451,313,49,813,20,1043
담양군,전체,잘못투입·구분된투표지,special,0,18,10,7,1,18,0,-18
