선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_강성휘,국민의힘_윤선웅,조국혁신당_박홍률,정의당_여인두,유효표_계,무효투표수,기권자수
목포시,전체,합계,race_total,173245,98550,72571,4276,16147,3742,96736,1814,74695
목포시,전체,거소투표,special,584,512,307,49,87,18,461,51,72
목포시,전체,관외사전투표,special,17262,17237,12603,809,2827,760,16999,238,25
목포시,용당1동,계,subtotal,7426,3878,2919,145,606,117,3787,91,3548
목포시,용당1동,관내사전투표,ballot,1924,1923,1497,34,288,51,1870,53,1
목포시,용당1동,선거일투표,ballot,5502,1955,1422,111,318,66,1917,38,3547
목포시,용당2동,계,subtotal,3788,2035,1524,73,341,59,1997,38,1753
목포시,용당2동,관내사전투표,ballot,1157,1157,879,31,197,36,1143,14,0
목포시,용당2동,선거일투표,ballot,2631,878,645,42,144,23,854,24,1753
목포시,연동,계,subtotal,3089,1605,1185,53,283,41,1562,43,1484
목포시,연동,관내사전투표,ballot,802,801,604,6,146,23,779,22,1
목포시,연동,선거일투표,ballot,2287,804,581,47,137,18,783,21,1483
목포시,산정동,계,subtotal,6247,3329,2459,124,531,146,3260,69,2918
목포시,산정동,관내사전투표,ballot,1562,1560,1186,30,247,61,1524,36,2
목포시,산정동,선거일투표,ballot,4685,1769,1273,94,284,85,1736,33,2916
목포시,연산동,계,subtotal,6088,3014,2251,121,403,174,2949,65,3074
목포시,연산동,관내사전투표,ballot,1352,1352,1064,21,166,57,1308,44,0
목포시,연산동,선거일투표,ballot,4736,1662,1187,100,237,117,1641,21,3074
목포시,원산동,계,subtotal,8611,4440,3454,162,533,218,4367,73,4171
목포시,원산동,관내사전투표,ballot,2222,2221,1802,31,248,105,2186,35,1
목포시,원산동,선거일투표,ballot,6389,2219,1652,131,285,113,2181,38,4170
목포시,대성동,계,subtotal,3599,2079,1537,94,340,76,2047,32,1520
목포시,대성동,관내사전투표,ballot,1257,1256,967,27,206,37,1237,19,1
목포시,대성동,선거일투표,ballot,2342,823,570,67,134,39,810,13,1519
목포시,목원동,계,subtotal,4984,2676,1913,129,507,64,2613,63,2308
목포시,목원동,관내사전투표,ballot,1391,1391,1060,31,241,31,1363,28,0
목포시,목원동,선거일투표,ballot,3593,1285,853,98,266,33,1250,35,2308
목포시,동명동,계,subtotal,3615,1952,1443,46,347,38,1874,78,1663
목포시,동명동,관내사전투표,ballot,1162,1161,901,11,178,13,1103,58,1
목포시,동명동,선거일투표,ballot,2453,791,542,35,169,25,771,20,1662
목포시,삼학동,계,subtotal,4287,2414,1787,83,445,68,2383,31,1873
목포시,삼학동,관내사전투표,ballot,1354,1354,1043,21,241,32,1337,17,0
목포시,삼학동,선거일투표,ballot,2933,1060,744,62,204,36,1046,14,1873
목포시,만호동,계,subtotal,1807,957,655,31,210,32,928,29,850
목포시,만호동,관내사전투표,ballot,579,578,409,12,117,19,557,21,1
목포시,만호동,선거일투표,ballot,1228,379,246,19,93,13,371,8,849
목포시,유달동,계,subtotal,3169,1760,1204,55,392,47,1698,62,1409
목포시,유달동,관내사전투표,ballot,1048,1047,719,22,235,27,1003,44,1
목포시,유달동,선거일투표,ballot,2121,713,485,33,157,20,695,18,1408
목포시,죽교동,계,subtotal,2219,1209,850,58,234,30,1172,37,1010
목포시,죽교동,관내사전투표,ballot,736,736,530,17,146,17,710,26,0
목포시,죽교동,선거일투표,ballot,1483,473,320,41,88,13,462,11,1010
목포시,북항동,계,subtotal,6606,3624,2647,134,666,108,3555,69,2982
목포시,북항동,관내사전투표,ballot,2135,2133,1601,44,385,62,2092,41,2
목포시,북항동,선거일투표,ballot,4471,1491,1046,90,281,46,1463,28,2980
목포시,용해동,계,subtotal,11539,6000,4610,213,802,276,5901,99,5539
목포시,용해동,관내사전투표,ballot,3203,3202,2562,61,394,128,3145,57,1
목포시,용해동,선거일투표,ballot,8336,2798,2048,152,408,148,2756,42,5538
목포시,이로동,계,subtotal,7170,4045,2898,159,791,113,3961,84,3125
목포시,이로동,관내사전투표,ballot,2027,2026,1480,41,402,56,1979,47,1
목포시,이로동,선거일투표,ballot,5143,2019,1418,118,389,57,1982,37,3124
목포시,상동,계,subtotal,14954,7609,5789,325,1097,246,7457,152,7345
목포시,상동,관내사전투표,ballot,3125,3124,2435,58,448,83,3024,100,1
목포시,상동,선거일투표,ballot,11829,4485,3354,267,649,163,4433,52,7344
목포시,하당동,계,subtotal,10738,4475,3265,228,747,154,4394,81,6263
목포시,하당동,관내사전투표,ballot,1786,1786,1352,36,303,58,1749,37,0
목포시,하당동,선거일투표,ballot,8952,2689,1913,192,444,96,2645,44,6263
목포시,신흥동,계,subtotal,12110,6075,4274,295,1183,230,5982,93,6035
목포시,신흥동,관내사전투표,ballot,2506,2506,1780,54,538,89,2461,45,0
목포시,신흥동,선거일투표,ballot,9604,3569,2494,241,645,141,3521,48,6035
목포시,삼향동,계,subtotal,3900,2294,1738,79,358,79,2254,40,1606
목포시,삼향동,관내사전투표,ballot,1525,1523,1166,33,249,52,1500,23,2
목포시,삼향동,선거일투표,ballot,2375,771,572,46,109,27,754,17,1604
목포시,옥암동,계,subtotal,7885,4288,3214,179,652,190,4235,53,3597
목포시,옥암동,관내사전투표,ballot,2433,2433,1897,39,365,106,2407,26,0
목포시,옥암동,선거일투표,ballot,5452,1855,1317,140,287,84,1828,27,3597
목포시,부흥동,계,subtotal,6701,3676,2644,186,644,140,3614,62,3025
목포시,부흥동,관내사전투표,ballot,2171,2169,1600,62,376,93,2131,38,2
목포시,부흥동,선거일투표,ballot,4530,1507,1044,124,268,47,1483,24,3023
목포시,부주동,계,subtotal,14867,7320,5367,443,1117,316,7243,77,7547
목포시,부주동,관내사전투표,ballot,3397,3396,2617,87,523,136,3363,33,1
목포시,부주동,선거일투표,ballot,11470,3924,2750,356,594,180,3880,44,7546
목포시,전체,잘못투입·구분된투표지,special,0,47,34,3,4,2,43,4,-47
