선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_김산,무소속_정영덕,유효표_계,무효투표수,기권자수
무안군,전체,합계,race_total,79568,50144,27383,21618,49001,1143,29424
무안군,전체,거소투표,special,554,480,258,144,402,78,74
무안군,전체,관외사전투표,special,11407,11399,7002,4234,11236,163,8
무안군,무안읍,계,subtotal,8684,5795,2914,2753,5667,128,2889
무안군,무안읍,관내사전투표,ballot,3679,3671,1904,1702,3606,65,8
무안군,무안읍,선거일투표,ballot,5005,2124,1010,1051,2061,63,2881
무안군,일로읍,계,subtotal,14215,7775,4135,3491,7626,149,6440
무안군,일로읍,관내사전투표,ballot,2525,2524,1239,1206,2445,79,1
무안군,일로읍,선거일투표,ballot,11690,5251,2896,2285,5181,70,6439
무안군,삼향읍,계,subtotal,25732,12204,7142,4843,11985,219,13528
무안군,삼향읍,관내사전투표,ballot,4621,4620,2817,1728,4545,75,1
무안군,삼향읍,선거일투표,ballot,21111,7584,4325,3115,7440,144,13527
무안군,몽탄면,계,subtotal,2119,1502,727,725,1452,50,617
무안군,몽탄면,관내사전투표,ballot,878,878,442,408,850,28,0
무안군,몽탄면,선거일투표,ballot,1241,624,285,317,602,22,617
무안군,청계면,계,subtotal,5479,3270,1077,2099,3176,94,2209
무안군,청계면,관내사전투표,ballot,1621,1618,599,987,1586,32,3
무안군,청계면,선거일투표,ballot,3858,1652,478,1112,1590,62,2206
무안군,현경면,계,subtotal,3566,2413,1098,1240,2338,75,1153
무안군,현경면,관내사전투표,ballot,1217,1216,558,621,1179,37,1
무안군,현경면,선거일투표,ballot,2349,1197,540,619,1159,38,1152
무안군,망운면,계,subtotal,1529,1027,531,473,1004,23,502
무안군,망운면,관내사전투표,ballot,550,550,292,246,538,12,0
무안군,망운면,선거일투표,ballot,979,477,239,227,466,11,502
무안군,해제면,계,subtotal,4020,2779,1394,1262,2656,123,1241
무안군,해제면,관내사전투표,ballot,1935,1933,988,851,1839,94,2
무안군,해제면,선거일투표,ballot,2085,846,406,411,817,29,1239
무안군,운남면,계,subtotal,2263,1480,1098,341,1439,41,783
무안군,운남면,관내사전투표,ballot,832,832,621,187,808,24,0
무안군,운남면,선거일투표,ballot,1431,648,477,154,631,17,783
무안군,전체,잘못투입·구분된투표지,special,0,20,7,13,20,0,-20
