선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_김철우,무소속_윤영주,유효표_계,무효투표수,기권자수
보성군,전체,합계,race_total,33946,25845,15145,9854,24999,846,8101
보성군,전체,거소투표,special,136,122,74,44,118,4,14
보성군,전체,관외사전투표,special,3339,3337,2020,1258,3278,59,2
보성군,보성읍,계,subtotal,6672,5049,2687,2240,4927,122,1623
보성군,보성읍,관내사전투표,ballot,3135,3135,1768,1288,3056,79,0
보성군,보성읍,선거일투표,ballot,3537,1914,919,952,1871,43,1623
보성군,벌교읍,계,subtotal,8931,6197,4118,1901,6019,178,2734
보성군,벌교읍,관내사전투표,ballot,3180,3176,2177,901,3078,98,4
보성군,벌교읍,선거일투표,ballot,5751,3021,1941,1000,2941,80,2730
보성군,노동면,계,subtotal,889,684,398,260,658,26,205
보성군,노동면,관내사전투표,ballot,476,476,310,150,460,16,0
보성군,노동면,선거일투표,ballot,413,208,88,110,198,10,205
보성군,미력면,계,subtotal,1099,844,433,384,817,27,255
보성군,미력면,관내사전투표,ballot,539,539,296,224,520,19,0
보성군,미력면,선거일투표,ballot,560,305,137,160,297,8,255
보성군,겸백면,계,subtotal,839,643,361,259,620,23,196
보성군,겸백면,관내사전투표,ballot,410,410,252,143,395,15,0
보성군,겸백면,선거일투표,ballot,429,233,109,116,225,8,196
보성군,율어면,계,subtotal,864,630,349,258,607,23,234
보성군,율어면,관내사전투표,ballot,437,437,246,173,419,18,0
보성군,율어면,선거일투표,ballot,427,193,103,85,188,5,234
보성군,복내면,계,subtotal,1182,930,366,511,877,53,252
보성군,복내면,관내사전투표,ballot,652,652,261,348,609,43,0
보성군,복내면,선거일투표,ballot,530,278,105,163,268,10,252
보성군,문덕면,계,subtotal,712,534,273,230,503,31,178
보성군,문덕면,관내사전투표,ballot,352,352,187,144,331,21,0
보성군,문덕면,선거일투표,ballot,360,182,86,86,172,10,178
보성군,조성면,계,subtotal,2844,2145,1322,696,2018,127,699
보성군,조성면,관내사전투표,ballot,1404,1403,881,438,1319,84,1
보성군,조성면,선거일투표,ballot,1440,742,441,258,699,43,698
보성군,득량면,계,subtotal,3080,2243,1345,803,2148,95,837
보성군,득량면,관내사전투표,ballot,1325,1327,808,456,1264,63,-2
보성군,득량면,선거일투표,ballot,1755,916,537,347,884,32,839
보성군,회천면,계,subtotal,2430,1746,982,714,1696,50,684
보성군,회천면,관내사전투표,ballot,921,920,563,328,891,29,1
보성군,회천면,선거일투표,ballot,1509,826,419,386,805,21,683
보성군,웅치면,계,subtotal,929,733,411,295,706,27,196
보성군,웅치면,관내사전투표,ballot,495,495,292,183,475,20,0
보성군,웅치면,선거일투표,ballot,434,238,119,112,231,7,196
보성군,전체,잘못투입·구분된투표지,special,0,8,6,1,7,1,-8
