선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_손훈모,진보당_이성수,무소속_노관규,유효표_계,무효투표수,기권자수
순천시,전체,합계,race_total,234933,154263,71290,18834,62040,152164,2099,80670
순천시,전체,거소투표,special,467,439,204,50,149,403,36,28
순천시,전체,관외사전투표,special,27362,27341,12675,3353,10955,26983,358,21
순천시,승주읍,계,subtotal,2048,1346,602,236,458,1296,50,702
순천시,승주읍,관내사전투표,ballot,729,728,327,113,263,703,25,1
순천시,승주읍,선거일투표,ballot,1319,618,275,123,195,593,25,701
순천시,주암면,계,subtotal,2425,1622,880,239,428,1547,75,803
순천시,주암면,관내사전투표,ballot,763,763,435,105,186,726,37,0
순천시,주암면,선거일투표,ballot,1662,859,445,134,242,821,38,803
순천시,송광면,계,subtotal,1138,770,449,48,232,729,41,368
순천시,송광면,관내사전투표,ballot,410,409,236,29,127,392,17,1
순천시,송광면,선거일투표,ballot,728,361,213,19,105,337,24,367
순천시,외서면,계,subtotal,660,483,277,41,152,470,13,177
순천시,외서면,관내사전투표,ballot,306,306,160,28,111,299,7,0
순천시,외서면,선거일투표,ballot,354,177,117,13,41,171,6,177
순천시,낙안면,계,subtotal,2428,1636,859,182,547,1588,48,792
순천시,낙안면,관내사전투표,ballot,999,999,549,95,330,974,25,0
순천시,낙안면,선거일투표,ballot,1429,637,310,87,217,614,23,792
순천시,별량면,계,subtotal,4232,2683,1249,493,866,2608,75,1549
순천시,별량면,관내사전투표,ballot,1445,1444,661,252,491,1404,40,1
순천시,별량면,선거일투표,ballot,2787,1239,588,241,375,1204,35,1548
순천시,상사면,계,subtotal,2296,1471,748,171,502,1421,50,825
순천시,상사면,관내사전투표,ballot,720,720,352,82,258,692,28,0
순천시,상사면,선거일투표,ballot,1576,751,396,89,244,729,22,825
순천시,해룡면,계,subtotal,36035,21318,8329,2242,10570,21141,177,14717
순천시,해룡면,관내사전투표,ballot,6826,6822,2518,642,3611,6771,51,4
순천시,해룡면,선거일투표,ballot,29209,14496,5811,1600,6959,14370,126,14713
순천시,서면,계,subtotal,11034,6884,3153,862,2765,6780,104,4150
순천시,서면,관내사전투표,ballot,2210,2207,1004,290,881,2175,32,3
순천시,서면,선거일투표,ballot,8824,4677,2149,572,1884,4605,72,4147
순천시,황전면,계,subtotal,2345,1652,699,277,599,1575,77,693
순천시,황전면,관내사전투표,ballot,1076,1074,461,175,380,1016,58,2
순천시,황전면,선거일투표,ballot,1269,578,238,102,219,559,19,691
순천시,월등면,계,subtotal,1252,855,363,91,375,829,26,397
순천시,월등면,관내사전투표,ballot,477,477,213,49,197,459,18,0
순천시,월등면,선거일투표,ballot,775,378,150,42,178,370,8,397
순천시,향동,계,subtotal,2712,1832,867,166,756,1789,43,880
순천시,향동,관내사전투표,ballot,1115,1114,511,107,464,1082,32,1
순천시,향동,선거일투표,ballot,1597,718,356,59,292,707,11,879
순천시,매곡동,계,subtotal,5077,3098,1363,349,1338,3050,48,1979
순천시,매곡동,관내사전투표,ballot,1706,1705,780,195,700,1675,30,1
순천시,매곡동,선거일투표,ballot,3371,1393,583,154,638,1375,18,1978
순천시,삼산동,계,subtotal,21563,13274,6213,1614,5297,13124,150,8289
순천시,삼산동,관내사전투표,ballot,5162,5160,2489,631,1982,5102,58,2
순천시,삼산동,선거일투표,ballot,16401,8114,3724,983,3315,8022,92,8287
순천시,조곡동,계,subtotal,5490,3507,1618,449,1400,3467,40,1983
순천시,조곡동,관내사전투표,ballot,1325,1322,664,148,493,1305,17,3
순천시,조곡동,선거일투표,ballot,4165,2185,954,301,907,2162,23,1980
순천시,덕연동,계,subtotal,29868,18049,9347,2200,6324,17871,178,11819
순천시,덕연동,관내사전투표,ballot,5296,5289,2757,612,1872,5241,48,7
순천시,덕연동,선거일투표,ballot,24572,12760,6590,1588,4452,12630,130,11812
순천시,풍덕동,계,subtotal,5982,3843,1881,489,1396,3766,77,2139
순천시,풍덕동,관내사전투표,ballot,1852,1850,922,227,659,1808,42,2
순천시,풍덕동,선거일투표,ballot,4130,1993,959,262,737,1958,35,2137
순천시,남제동,계,subtotal,5783,3324,1732,359,1170,3261,63,2459
순천시,남제동,관내사전투표,ballot,1600,1598,831,157,584,1572,26,2
순천시,남제동,선거일투표,ballot,4183,1726,901,202,586,1689,37,2457
순천시,저전동,계,subtotal,2196,1469,749,151,534,1434,35,727
순천시,저전동,관내사전투표,ballot,892,892,449,103,317,869,23,0
순천시,저전동,선거일투표,ballot,1304,577,300,48,217,565,12,727
순천시,장천동,계,subtotal,1453,818,389,94,322,805,13,635
순천시,장천동,관내사전투표,ballot,453,453,215,51,183,449,4,0
순천시,장천동,선거일투표,ballot,1000,365,174,43,139,356,9,635
순천시,중앙동,계,subtotal,2297,1499,762,163,550,1475,24,798
순천시,중앙동,관내사전투표,ballot,963,963,489,97,361,947,16,0
순천시,중앙동,선거일투표,ballot,1334,536,273,66,189,528,8,798
순천시,도사동,계,subtotal,12250,7832,3822,945,2987,7754,78,4418
순천시,도사동,관내사전투표,ballot,3413,3411,1707,389,1295,3391,20,2
순천시,도사동,선거일투표,ballot,8837,4421,2115,556,1692,4363,58,4416
순천시,왕조1동,계,subtotal,33635,19184,8454,2257,8319,19030,154,14451
순천시,왕조1동,관내사전투표,ballot,6508,6506,3026,782,2654,6462,44,2
순천시,왕조1동,선거일투표,ballot,27127,12678,5428,1475,5665,12568,110,14449
순천시,왕조2동,계,subtotal,12905,7974,3577,1309,3025,7911,63,4931
순천시,왕조2동,관내사전투표,ballot,4043,4042,1886,654,1476,4016,26,1
순천시,왕조2동,선거일투표,ballot,8862,3932,1691,655,1549,3895,37,4930
순천시,전체,잘못투입·구분된투표지,special,0,60,29,4,24,57,3,-60
