선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_박우량,조국혁신당_김태성,유효표_계,무효투표수,기권자수
신안군,전체,합계,race_total,38705,31213,14376,15546,29922,1291,7492
신안군,전체,거소투표,special,201,181,114,51,165,16,20
신안군,전체,관외사전투표,special,8897,8892,4500,4250,8750,142,5
신안군,지도읍,계,subtotal,3714,2848,1176,1513,2689,159,866
신안군,지도읍,관내사전투표,ballot,2003,2000,839,1050,1889,111,3
신안군,지도읍,선거일투표,ballot,1711,848,337,463,800,48,863
신안군,압해읍,계,subtotal,5300,3958,1974,1828,3802,156,1342
신안군,압해읍,관내사전투표,ballot,2541,2537,1352,1090,2442,95,4
신안군,압해읍,선거일투표,ballot,2759,1421,622,738,1360,61,1338
신안군,증도면,계,subtotal,1443,1059,483,508,991,68,384
신안군,증도면,관내사전투표,ballot,759,759,343,363,706,53,0
신안군,증도면,선거일투표,ballot,684,300,140,145,285,15,384
신안군,임자면,계,subtotal,2425,1828,427,1320,1747,81,597
신안군,임자면,관내사전투표,ballot,1283,1282,318,909,1227,55,1
신안군,임자면,선거일투표,ballot,1142,546,109,411,520,26,596
신안군,자은면,계,subtotal,1930,1385,516,799,1315,70,545
신안군,자은면,관내사전투표,ballot,863,862,347,471,818,44,1
신안군,자은면,선거일투표,ballot,1067,523,169,328,497,26,544
신안군,비금면,계,subtotal,2610,1948,808,1034,1842,106,662
신안군,비금면,관내사전투표,ballot,1269,1269,541,670,1211,58,0
신안군,비금면,선거일투표,ballot,1341,679,267,364,631,48,662
신안군,도초면,계,subtotal,1879,1471,852,546,1398,73,408
신안군,도초면,관내사전투표,ballot,1142,1142,675,410,1085,57,0
신안군,도초면,선거일투표,ballot,737,329,177,136,313,16,408
신안군,흑산면,계,subtotal,2149,1567,841,627,1468,99,582
신안군,흑산면,관내사전투표,ballot,741,741,377,326,703,38,0
신안군,흑산면,선거일투표,ballot,1408,826,464,301,765,61,582
신안군,하의면,계,subtotal,1201,881,458,366,824,57,320
신안군,하의면,관내사전투표,ballot,642,637,344,249,593,44,5
신안군,하의면,선거일투표,ballot,559,244,114,117,231,13,315
신안군,신의면,계,subtotal,1020,761,323,395,718,43,259
신안군,신의면,관내사전투표,ballot,544,543,252,259,511,32,1
신안군,신의면,선거일투표,ballot,476,218,71,136,207,11,258
신안군,장산면,계,subtotal,1123,863,477,344,821,42,260
신안군,장산면,관내사전투표,ballot,658,658,379,242,621,37,0
신안군,장산면,선거일투표,ballot,465,205,98,102,200,5,260
신안군,안좌면,계,subtotal,2460,1706,719,903,1622,84,754
신안군,안좌면,관내사전투표,ballot,1060,1056,461,546,1007,49,4
신안군,안좌면,선거일투표,ballot,1400,650,258,357,615,35,750
신안군,팔금면,계,subtotal,783,619,221,355,576,43,164
신안군,팔금면,관내사전투표,ballot,486,485,177,273,450,35,1
신안군,팔금면,선거일투표,ballot,297,134,44,82,126,8,163
신안군,암태면,계,subtotal,1570,1225,473,701,1174,51,345
신안군,암태면,관내사전투표,ballot,841,840,329,471,800,40,1
신안군,암태면,선거일투표,ballot,729,385,144,230,374,11,344
신안군,전체,잘못투입·구분된투표지,special,0,21,14,6,20,1,-21
