선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_서영학,조국혁신당_명창환,무소속_원용규,유효표_계,무효투표수,기권자수
여수시,전체,합계,race_total,228239,135264,77767,47743,5315,130825,4439,92975
여수시,전체,거소투표,special,404,373,254,80,11,345,28,31
여수시,전체,관외사전투표,special,24638,24616,14075,9025,1089,24189,427,22
여수시,돌산읍,계,subtotal,9415,4654,2967,1325,153,4445,209,4761
여수시,돌산읍,관내사전투표,ballot,1291,1290,896,287,39,1222,68,1
여수시,돌산읍,선거일투표,ballot,8124,3364,2071,1038,114,3223,141,4760
여수시,소라면,계,subtotal,15085,8181,4832,2854,213,7899,282,6904
여수시,소라면,관내사전투표,ballot,2775,2773,1657,959,74,2690,83,2
여수시,소라면,선거일투표,ballot,12310,5408,3175,1895,139,5209,199,6902
여수시,율촌면,계,subtotal,5102,2828,1854,725,106,2685,143,2274
여수시,율촌면,관내사전투표,ballot,1457,1456,941,411,47,1399,57,1
여수시,율촌면,선거일투표,ballot,3645,1372,913,314,59,1286,86,2273
여수시,화양면,계,subtotal,5080,2889,1761,915,71,2747,142,2191
여수시,화양면,관내사전투표,ballot,1556,1552,932,526,40,1498,54,4
여수시,화양면,선거일투표,ballot,3524,1337,829,389,31,1249,88,2187
여수시,남면,계,subtotal,1954,1235,743,389,26,1158,77,719
여수시,남면,관내사전투표,ballot,480,480,273,172,11,456,24,0
여수시,남면,선거일투표,ballot,1474,755,470,217,15,702,53,719
여수시,화정면,계,subtotal,1535,1037,656,286,25,967,70,498
여수시,화정면,관내사전투표,ballot,149,149,97,46,2,145,4,0
여수시,화정면,선거일투표,ballot,1386,888,559,240,23,822,66,498
여수시,삼산면,계,subtotal,1482,940,574,264,73,911,29,542
여수시,삼산면,관내사전투표,ballot,351,349,221,91,32,344,5,2
여수시,삼산면,선거일투표,ballot,1131,591,353,173,41,567,24,540
여수시,동문동,계,subtotal,3320,1921,1210,529,120,1859,62,1399
여수시,동문동,관내사전투표,ballot,963,963,611,271,64,946,17,0
여수시,동문동,선거일투표,ballot,2357,958,599,258,56,913,45,1399
여수시,한려동,계,subtotal,2386,1458,922,371,117,1410,48,928
여수시,한려동,관내사전투표,ballot,825,825,557,189,63,809,16,0
여수시,한려동,선거일투표,ballot,1561,633,365,182,54,601,32,928
여수시,중앙동,계,subtotal,3016,1643,995,464,120,1579,64,1373
여수시,중앙동,관내사전투표,ballot,833,833,531,228,54,813,20,0
여수시,중앙동,선거일투표,ballot,2183,810,464,236,66,766,44,1373
여수시,충무동,계,subtotal,2711,1374,837,415,68,1320,54,1337
여수시,충무동,관내사전투표,ballot,618,618,382,183,28,593,25,0
여수시,충무동,선거일투표,ballot,2093,756,455,232,40,727,29,1337
여수시,광림동,계,subtotal,4742,2461,1554,675,134,2363,98,2281
여수시,광림동,관내사전투표,ballot,946,943,614,261,58,933,10,3
여수시,광림동,선거일투표,ballot,3796,1518,940,414,76,1430,88,2278
여수시,서강동,계,subtotal,3030,1568,949,454,99,1502,66,1462
여수시,서강동,관내사전투표,ballot,730,729,475,194,40,709,20,1
여수시,서강동,선거일투표,ballot,2300,839,474,260,59,793,46,1461
여수시,대교동,계,subtotal,4032,2193,1362,660,68,2090,103,1839
여수시,대교동,관내사전투표,ballot,1064,1063,646,357,26,1029,34,1
여수시,대교동,선거일투표,ballot,2968,1130,716,303,42,1061,69,1838
여수시,국동,계,subtotal,8274,4666,2797,1549,162,4508,158,3608
여수시,국동,관내사전투표,ballot,2371,2367,1470,791,62,2323,44,4
여수시,국동,선거일투표,ballot,5903,2299,1327,758,100,2185,114,3604
여수시,월호동,계,subtotal,5498,3298,1817,1272,113,3202,96,2200
여수시,월호동,관내사전투표,ballot,1526,1523,872,590,42,1504,19,3
여수시,월호동,선거일투표,ballot,3972,1775,945,682,71,1698,77,2197
여수시,여서동,계,subtotal,12505,6945,4021,2418,281,6720,225,5560
여수시,여서동,관내사전투표,ballot,2421,2419,1475,820,79,2374,45,2
여수시,여서동,선거일투표,ballot,10084,4526,2546,1598,202,4346,180,5558
여수시,문수동,계,subtotal,14221,7773,4294,2957,254,7505,268,6448
여수시,문수동,관내사전투표,ballot,2941,2940,1658,1154,75,2887,53,1
여수시,문수동,선거일투표,ballot,11280,4833,2636,1803,179,4618,215,6447
여수시,미평동,계,subtotal,9336,5211,3018,1674,298,4990,221,4125
여수시,미평동,관내사전투표,ballot,2567,2565,1569,820,118,2507,58,2
여수시,미평동,선거일투표,ballot,6769,2646,1449,854,180,2483,163,4123
여수시,둔덕동,계,subtotal,7177,3964,2252,1441,158,3851,113,3213
여수시,둔덕동,관내사전투표,ballot,1817,1813,1078,651,63,1792,21,4
여수시,둔덕동,선거일투표,ballot,5360,2151,1174,790,95,2059,92,3209
여수시,만덕동,계,subtotal,7416,4284,2327,1553,226,4106,178,3132
여수시,만덕동,관내사전투표,ballot,1750,1747,999,651,72,1722,25,3
여수시,만덕동,선거일투표,ballot,5666,2537,1328,902,154,2384,153,3129
여수시,쌍봉동,계,subtotal,23486,12617,6873,4851,455,12179,438,10869
여수시,쌍봉동,관내사전투표,ballot,4180,4175,2395,1601,118,4114,61,5
여수시,쌍봉동,선거일투표,ballot,19306,8442,4478,3250,337,8065,377,10864
여수시,시전동,계,subtotal,29553,15570,7961,6714,481,15156,414,13983
여수시,시전동,관내사전투표,ballot,4669,4662,2572,1932,109,4613,49,7
여수시,시전동,선거일투표,ballot,24884,10908,5389,4782,372,10543,365,13976
여수시,여천동,계,subtotal,14907,7454,4443,2465,271,7179,275,7453
여수시,여천동,관내사전투표,ballot,2811,2808,1732,957,83,2772,36,3
여수시,여천동,선거일투표,ballot,12096,4646,2711,1508,188,4407,239,7450
여수시,주삼동,계,subtotal,5398,2498,1386,968,67,2421,77,2900
여수시,주삼동,관내사전투표,ballot,1034,1034,583,408,18,1009,25,0
여수시,주삼동,선거일투표,ballot,4364,1464,803,560,49,1412,52,2900
여수시,삼일동,계,subtotal,1647,969,585,293,43,921,48,678
여수시,삼일동,관내사전투표,ballot,587,587,380,168,20,568,19,0
여수시,삼일동,선거일투표,ballot,1060,382,205,125,23,353,29,678
여수시,묘도동,계,subtotal,889,572,404,135,9,548,24,317
여수시,묘도동,관내사전투표,ballot,314,314,213,76,8,297,17,0
여수시,묘도동,선거일투표,ballot,575,258,191,59,1,251,7,317
여수시,전체,잘못투입·구분된투표지,special,0,72,44,22,4,70,2,-72
