선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_장세일,진보당_이석하,무소속_오기원,무소속_김한균,유효표_계,무효투표수,기권자수
영광군,전체,합계,race_total,47621,33567,16594,8653,1157,5874,32278,1289,14054
영광군,전체,거소투표,special,151,141,82,27,5,14,128,13,10
영광군,전체,관외사전투표,special,5831,5826,3149,1429,228,905,5711,115,5
영광군,영광읍,계,subtotal,16479,10070,4920,2832,375,1680,9807,263,6409
영광군,영광읍,관내사전투표,ballot,5367,5367,2729,1455,186,874,5244,123,0
영광군,영광읍,선거일투표,ballot,11112,4703,2191,1377,189,806,4563,140,6409
영광군,백수읍,계,subtotal,3436,2392,1087,744,52,371,2254,138,1044
영광군,백수읍,관내사전투표,ballot,1419,1418,673,438,24,202,1337,81,1
영광군,백수읍,선거일투표,ballot,2017,974,414,306,28,169,917,57,1043
영광군,홍농읍,계,subtotal,5225,3428,1678,680,119,813,3290,138,1797
영광군,홍농읍,관내사전투표,ballot,2085,2084,1039,442,63,472,2016,68,1
영광군,홍농읍,선거일투표,ballot,3140,1344,639,238,56,341,1274,70,1796
영광군,대마면,계,subtotal,1434,1035,399,500,24,66,989,46,399
영광군,대마면,관내사전투표,ballot,656,656,252,317,10,42,621,35,0
영광군,대마면,선거일투표,ballot,778,379,147,183,14,24,368,11,399
영광군,묘량면,계,subtotal,1497,1079,573,295,68,94,1030,49,418
영광군,묘량면,관내사전투표,ballot,684,684,371,186,25,72,654,30,0
영광군,묘량면,선거일투표,ballot,813,395,202,109,43,22,376,19,418
영광군,불갑면,계,subtotal,1349,986,539,283,28,84,934,52,363
영광군,불갑면,관내사전투표,ballot,657,657,383,171,17,57,628,29,0
영광군,불갑면,선거일투표,ballot,692,329,156,112,11,27,306,23,363
영광군,군서면,계,subtotal,2525,1921,1066,469,48,261,1844,77,604
영광군,군서면,관내사전투표,ballot,1438,1437,813,339,32,197,1381,56,1
영광군,군서면,선거일투표,ballot,1087,484,253,130,16,64,463,21,603
영광군,군남면,계,subtotal,1983,1383,803,322,52,119,1296,87,600
영광군,군남면,관내사전투표,ballot,936,936,551,223,32,79,885,51,0
영광군,군남면,선거일투표,ballot,1047,447,252,99,20,40,411,36,600
영광군,염산면,계,subtotal,3180,2251,1073,568,95,346,2082,169,929
영광군,염산면,관내사전투표,ballot,1345,1344,657,335,48,210,1250,94,1
영광군,염산면,선거일투표,ballot,1835,907,416,233,47,136,832,75,928
영광군,법성면,계,subtotal,4135,2806,1067,483,57,1071,2678,128,1329
영광군,법성면,관내사전투표,ballot,1710,1710,652,281,33,679,1645,65,0
영광군,법성면,선거일투표,ballot,2425,1096,415,202,24,392,1033,63,1329
영광군,낙월면,계,subtotal,396,246,156,20,6,50,232,14,150
영광군,낙월면,관내사전투표,ballot,61,61,45,3,1,8,57,4,0
영광군,낙월면,선거일투표,ballot,335,185,111,17,5,42,175,10,150
영광군,전체,잘못투입·구분된투표지,special,0,3,2,1,0,0,3,0,-3
