선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_우승희,조국혁신당_최영열,유효표_계,무효투표수,기권자수
영암군,전체,합계,race_total,45388,29221,19446,8916,28362,859,16167
영암군,전체,거소투표,special,145,126,62,33,95,31,19
영암군,전체,관외사전투표,special,4164,4159,2910,1157,4067,92,5
영암군,영암읍,계,subtotal,5954,4145,2509,1550,4059,86,1809
영암군,영암읍,관내사전투표,ballot,2559,2558,1605,912,2517,41,1
영암군,영암읍,선거일투표,ballot,3395,1587,904,638,1542,45,1808
영암군,삼호읍,계,subtotal,16468,7963,5390,2359,7749,214,8505
영암군,삼호읍,관내사전투표,ballot,3303,3299,2255,968,3223,76,4
영암군,삼호읍,선거일투표,ballot,13165,4664,3135,1391,4526,138,8501
영암군,덕진면,계,subtotal,1491,1059,666,373,1039,20,432
영암군,덕진면,관내사전투표,ballot,627,626,402,215,617,9,1
영암군,덕진면,선거일투표,ballot,864,433,264,158,422,11,431
영암군,금정면,계,subtotal,1684,1149,761,354,1115,34,535
영암군,금정면,관내사전투표,ballot,839,838,558,257,815,23,1
영암군,금정면,선거일투표,ballot,845,311,203,97,300,11,534
영암군,신북면,계,subtotal,2925,2032,1428,522,1950,82,893
영암군,신북면,관내사전투표,ballot,1382,1381,1009,321,1330,51,1
영암군,신북면,선거일투표,ballot,1543,651,419,201,620,31,892
영암군,시종면,계,subtotal,2738,1795,1251,489,1740,55,943
영암군,시종면,관내사전투표,ballot,1199,1198,838,319,1157,41,1
영암군,시종면,선거일투표,ballot,1539,597,413,170,583,14,942
영암군,도포면,계,subtotal,1728,1118,765,321,1086,32,610
영암군,도포면,관내사전투표,ballot,621,620,416,187,603,17,1
영암군,도포면,선거일투표,ballot,1107,498,349,134,483,15,609
영암군,군서면,계,subtotal,2465,1737,1168,506,1674,63,728
영암군,군서면,관내사전투표,ballot,933,931,634,258,892,39,2
영암군,군서면,선거일투표,ballot,1532,806,534,248,782,24,726
영암군,서호면,계,subtotal,1450,1000,707,249,956,44,450
영암군,서호면,관내사전투표,ballot,610,610,444,137,581,29,0
영암군,서호면,선거일투표,ballot,840,390,263,112,375,15,450
영암군,학산면,계,subtotal,2653,1953,1281,596,1877,76,700
영암군,학산면,관내사전투표,ballot,1374,1372,900,414,1314,58,2
영암군,학산면,선거일투표,ballot,1279,581,381,182,563,18,698
영암군,미암면,계,subtotal,1523,967,537,400,937,30,556
영암군,미암면,관내사전투표,ballot,540,539,314,212,526,13,1
영암군,미암면,선거일투표,ballot,983,428,223,188,411,17,555
영암군,전체,잘못투입·구분된투표지,special,0,18,11,7,18,0,-18
