선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_우홍섭,무소속_김신,유효표_계,무효투표수,기권자수
완도군,전체,합계,race_total,39814,31520,14885,15675,30560,960,8294
완도군,전체,거소투표,special,1150,1089,603,451,1054,35,61
완도군,전체,관외사전투표,special,3396,3393,1729,1615,3344,49,3
완도군,완도읍,계,subtotal,13197,9647,4339,5193,9532,115,3550
완도군,완도읍,관내사전투표,ballot,5382,5382,2526,2796,5322,60,0
완도군,완도읍,선거일투표,ballot,7815,4265,1813,2397,4210,55,3550
완도군,금일읍,계,subtotal,2426,1946,675,1188,1863,83,480
완도군,금일읍,관내사전투표,ballot,1152,1150,400,688,1088,62,2
완도군,금일읍,선거일투표,ballot,1274,796,275,500,775,21,478
완도군,노화읍,계,subtotal,3630,2769,1135,1502,2637,132,861
완도군,노화읍,관내사전투표,ballot,1576,1576,620,865,1485,91,0
완도군,노화읍,선거일투표,ballot,2054,1193,515,637,1152,41,861
완도군,군외면,계,subtotal,2244,1693,706,925,1631,62,551
완도군,군외면,관내사전투표,ballot,1064,1059,429,593,1022,37,5
완도군,군외면,선거일투표,ballot,1180,634,277,332,609,25,546
완도군,신지면,계,subtotal,2555,1928,971,866,1837,91,627
완도군,신지면,관내사전투표,ballot,1324,1322,667,593,1260,62,2
완도군,신지면,선거일투표,ballot,1231,606,304,273,577,29,625
완도군,고금면,계,subtotal,2949,2390,1611,668,2279,111,559
완도군,고금면,관내사전투표,ballot,1703,1700,1191,427,1618,82,3
완도군,고금면,선거일투표,ballot,1246,690,420,241,661,29,556
완도군,약산면,계,subtotal,1752,1365,642,668,1310,55,387
완도군,약산면,관내사전투표,ballot,728,726,331,365,696,30,2
완도군,약산면,선거일투표,ballot,1024,639,311,303,614,25,385
완도군,청산면,계,subtotal,1640,1255,550,651,1201,54,385
완도군,청산면,관내사전투표,ballot,671,669,288,346,634,35,2
완도군,청산면,선거일투표,ballot,969,586,262,305,567,19,383
완도군,소안면,계,subtotal,1763,1439,669,706,1375,64,324
완도군,소안면,관내사전투표,ballot,988,988,472,470,942,46,0
완도군,소안면,선거일투표,ballot,775,451,197,236,433,18,324
완도군,금당면,계,subtotal,652,557,266,256,522,35,95
완도군,금당면,관내사전투표,ballot,442,442,209,202,411,31,0
완도군,금당면,선거일투표,ballot,210,115,57,54,111,4,95
완도군,보길면,계,subtotal,1945,1604,775,772,1547,57,341
완도군,보길면,관내사전투표,ballot,987,987,498,451,949,38,0
완도군,보길면,선거일투표,ballot,958,617,277,321,598,19,341
완도군,생일면,계,subtotal,515,423,202,206,408,15,92
완도군,생일면,관내사전투표,ballot,322,322,161,151,312,10,0
완도군,생일면,선거일투표,ballot,193,101,41,55,96,5,92
완도군,전체,잘못투입·구분된투표지,special,0,22,12,8,20,2,-22
