선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_김한종,조국혁신당_김왕근,유효표_계,무효투표수,기권자수
장성군,전체,합계,race_total,38722,26044,17422,7803,25225,819,12678
장성군,전체,거소투표,special,88,81,56,18,74,7,7
장성군,전체,관외사전투표,special,4638,4635,3121,1398,4519,116,3
장성군,장성읍,계,subtotal,11571,7281,4563,2540,7103,178,4290
장성군,장성읍,관내사전투표,ballot,4511,4507,2841,1557,4398,109,4
장성군,장성읍,선거일투표,ballot,7060,2774,1722,983,2705,69,4286
장성군,진원면,계,subtotal,2643,1664,1205,414,1619,45,979
장성군,진원면,관내사전투표,ballot,815,815,618,180,798,17,0
장성군,진원면,선거일투표,ballot,1828,849,587,234,821,28,979
장성군,남면,계,subtotal,2904,1723,1211,461,1672,51,1181
장성군,남면,관내사전투표,ballot,1029,1028,729,264,993,35,1
장성군,남면,선거일투표,ballot,1875,695,482,197,679,16,1180
장성군,동화면,계,subtotal,1482,935,667,247,914,21,547
장성군,동화면,관내사전투표,ballot,505,504,363,131,494,10,1
장성군,동화면,선거일투표,ballot,977,431,304,116,420,11,546
장성군,삼서면,계,subtotal,2339,1506,1108,344,1452,54,833
장성군,삼서면,관내사전투표,ballot,964,964,728,202,930,34,0
장성군,삼서면,선거일투표,ballot,1375,542,380,142,522,20,833
장성군,삼계면,계,subtotal,3998,2337,1430,819,2249,88,1661
장성군,삼계면,관내사전투표,ballot,1420,1419,868,508,1376,43,1
장성군,삼계면,선거일투표,ballot,2578,918,562,311,873,45,1660
장성군,황룡면,계,subtotal,2908,1739,1224,459,1683,56,1169
장성군,황룡면,관내사전투표,ballot,1012,1012,729,247,976,36,0
장성군,황룡면,선거일투표,ballot,1896,727,495,212,707,20,1169
장성군,서삼면,계,subtotal,1165,770,504,239,743,27,395
장성군,서삼면,관내사전투표,ballot,437,437,301,119,420,17,0
장성군,서삼면,선거일투표,ballot,728,333,203,120,323,10,395
장성군,북일면,계,subtotal,1122,768,539,195,734,34,354
장성군,북일면,관내사전투표,ballot,494,494,346,118,464,30,0
장성군,북일면,선거일투표,ballot,628,274,193,77,270,4,354
장성군,북이면,계,subtotal,2253,1495,1021,388,1409,86,758
장성군,북이면,관내사전투표,ballot,1025,1022,695,260,955,67,3
장성군,북이면,선거일투표,ballot,1228,473,326,128,454,19,755
장성군,북하면,계,subtotal,1611,1103,769,279,1048,55,508
장성군,북하면,관내사전투표,ballot,775,775,552,177,729,46,0
장성군,북하면,선거일투표,ballot,836,328,217,102,319,9,508
장성군,전체,잘못투입·구분된투표지,special,0,7,4,2,6,1,-7
