선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_김성,조국혁신당_사순문,유효표_계,무효투표수,기권자수
장흥군,전체,합계,race_total,30986,23106,11101,11349,22450,656,7880
장흥군,전체,거소투표,special,104,99,59,34,93,6,5
장흥군,전체,관외사전투표,special,3872,3856,2015,1750,3765,91,16
장흥군,장흥읍,계,subtotal,10766,7520,3253,4117,7370,150,3246
장흥군,장흥읍,관내사전투표,ballot,4437,4432,1974,2376,4350,82,5
장흥군,장흥읍,선거일투표,ballot,6329,3088,1279,1741,3020,68,3241
장흥군,관산읍,계,subtotal,3642,2567,1293,1200,2493,74,1075
장흥군,관산읍,관내사전투표,ballot,1602,1602,844,720,1564,38,0
장흥군,관산읍,선거일투표,ballot,2040,965,449,480,929,36,1075
장흥군,대덕읍,계,subtotal,2471,1757,897,786,1683,74,714
장흥군,대덕읍,관내사전투표,ballot,982,981,531,406,937,44,1
장흥군,대덕읍,선거일투표,ballot,1489,776,366,380,746,30,713
장흥군,용산면,계,subtotal,1680,1190,553,607,1160,30,490
장흥군,용산면,관내사전투표,ballot,827,827,392,417,809,18,0
장흥군,용산면,선거일투표,ballot,853,363,161,190,351,12,490
장흥군,안양면,계,subtotal,2113,1488,726,709,1435,53,625
장흥군,안양면,관내사전투표,ballot,907,907,433,435,868,39,0
장흥군,안양면,선거일투표,ballot,1206,581,293,274,567,14,625
장흥군,장동면,계,subtotal,904,636,302,308,610,26,268
장흥군,장동면,관내사전투표,ballot,393,393,179,197,376,17,0
장흥군,장동면,선거일투표,ballot,511,243,123,111,234,9,268
장흥군,장평면,계,subtotal,1616,1158,595,521,1116,42,458
장흥군,장평면,관내사전투표,ballot,735,733,366,334,700,33,2
장흥군,장평면,선거일투표,ballot,881,425,229,187,416,9,456
장흥군,유치면,계,subtotal,703,490,243,228,471,19,213
장흥군,유치면,관내사전투표,ballot,327,327,156,159,315,12,0
장흥군,유치면,선거일투표,ballot,376,163,87,69,156,7,213
장흥군,부산면,계,subtotal,1046,729,345,345,690,39,317
장흥군,부산면,관내사전투표,ballot,507,507,250,225,475,32,0
장흥군,부산면,선거일투표,ballot,539,222,95,120,215,7,317
장흥군,회진면,계,subtotal,2069,1592,803,738,1541,51,477
장흥군,회진면,관내사전투표,ballot,1125,1124,617,465,1082,42,1
장흥군,회진면,선거일투표,ballot,944,468,186,273,459,9,476
장흥군,전체,잘못투입·구분된투표지,special,0,24,17,6,23,1,-24
