선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_이재각,무소속_김희수,유효표_계,무효투표수,기권자수
진도군,전체,합계,race_total,25342,20453,9967,9860,19827,626,4889
진도군,전체,거소투표,special,371,338,116,213,329,9,33
진도군,전체,관외사전투표,special,2453,2451,1320,1086,2406,45,2
진도군,진도읍,계,subtotal,7535,5908,3024,2775,5799,109,1627
진도군,진도읍,관내사전투표,ballot,3892,3884,1905,1902,3807,77,8
진도군,진도읍,선거일투표,ballot,3643,2024,1119,873,1992,32,1619
진도군,군내면,계,subtotal,2745,2266,1009,1170,2179,87,479
진도군,군내면,관내사전투표,ballot,1664,1660,701,885,1586,74,4
진도군,군내면,선거일투표,ballot,1081,606,308,285,593,13,475
진도군,고군면,계,subtotal,2645,2086,1097,931,2028,58,559
진도군,고군면,관내사전투표,ballot,1374,1372,703,623,1326,46,2
진도군,고군면,선거일투표,ballot,1271,714,394,308,702,12,557
진도군,의신면,계,subtotal,2842,2260,1230,930,2160,100,582
진도군,의신면,관내사전투표,ballot,1513,1513,787,662,1449,64,0
진도군,의신면,선거일투표,ballot,1329,747,443,268,711,36,582
진도군,임회면,계,subtotal,2589,1957,807,1089,1896,61,632
진도군,임회면,관내사전투표,ballot,1255,1253,506,700,1206,47,2
진도군,임회면,선거일투표,ballot,1334,704,301,389,690,14,630
진도군,지산면,계,subtotal,2274,1793,760,955,1715,78,481
진도군,지산면,관내사전투표,ballot,1147,1147,461,634,1095,52,0
진도군,지산면,선거일투표,ballot,1127,646,299,321,620,26,481
진도군,조도면,계,subtotal,1888,1379,599,701,1300,79,509
진도군,조도면,관내사전투표,ballot,647,647,283,316,599,48,0
진도군,조도면,선거일투표,ballot,1241,732,316,385,701,31,509
진도군,전체,잘못투입·구분된투표지,special,0,15,5,10,15,0,-15
