선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_이남오,조국혁신당_이윤행,무소속_이행섭,유효표_계,무효투표수,기권자수
함평군,전체,합계,race_total,27154,21004,10127,9494,730,20351,653,6150
함평군,전체,거소투표,special,219,201,67,103,14,184,17,18
함평군,전체,관외사전투표,special,3362,3361,1657,1504,155,3316,45,1
함평군,함평읍,계,subtotal,6249,4718,2335,2155,110,4600,118,1531
함평군,함평읍,관내사전투표,ballot,2920,2918,1424,1353,60,2837,81,2
함평군,함평읍,선거일투표,ballot,3329,1800,911,802,50,1763,37,1529
함평군,손불면,계,subtotal,2500,1896,628,1136,53,1817,79,604
함평군,손불면,관내사전투표,ballot,1336,1334,428,804,34,1266,68,2
함평군,손불면,선거일투표,ballot,1164,562,200,332,19,551,11,602
함평군,신광면,계,subtotal,1302,1051,579,389,30,998,53,251
함평군,신광면,관내사전투표,ballot,709,709,389,262,19,670,39,0
함평군,신광면,선거일투표,ballot,593,342,190,127,11,328,14,251
함평군,학교면,계,subtotal,2658,1907,1069,717,59,1845,62,751
함평군,학교면,관내사전투표,ballot,1221,1218,695,447,35,1177,41,3
함평군,학교면,선거일투표,ballot,1437,689,374,270,24,668,21,748
함평군,엄다면,계,subtotal,1415,1061,526,467,27,1020,41,354
함평군,엄다면,관내사전투표,ballot,754,754,374,334,15,723,31,0
함평군,엄다면,선거일투표,ballot,661,307,152,133,12,297,10,354
함평군,대동면,계,subtotal,2356,1733,890,728,59,1677,56,623
함평군,대동면,관내사전투표,ballot,1070,1070,540,469,29,1038,32,0
함평군,대동면,선거일투표,ballot,1286,663,350,259,30,639,24,623
함평군,나산면,계,subtotal,2098,1525,647,758,65,1470,55,573
함평군,나산면,관내사전투표,ballot,982,981,403,503,35,941,40,1
함평군,나산면,선거일투표,ballot,1116,544,244,255,30,529,15,572
함평군,해보면,계,subtotal,2202,1576,777,674,73,1524,52,626
함평군,해보면,관내사전투표,ballot,1122,1120,547,503,30,1080,40,2
함평군,해보면,선거일투표,ballot,1080,456,230,171,43,444,12,624
함평군,월야면,계,subtotal,2793,1966,949,858,84,1891,75,827
함평군,월야면,관내사전투표,ballot,1245,1245,618,534,45,1197,48,0
함평군,월야면,선거일투표,ballot,1548,721,331,324,39,694,27,827
함평군,전체,잘못투입·구분된투표지,special,0,9,3,5,1,9,0,-9
