선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_명현관,무소속_박지원,유효표_계,무효투표수,기권자수
해남군,전체,합계,race_total,56328,37635,29509,6287,35796,1839,18693
해남군,전체,거소투표,special,303,283,191,36,227,56,20
해남군,전체,관외사전투표,special,5197,5196,4018,984,5002,194,1
해남군,해남읍,계,subtotal,17362,9791,7587,1827,9414,377,7571
해남군,해남읍,관내사전투표,ballot,5014,5007,3924,874,4798,209,7
해남군,해남읍,선거일투표,ballot,12348,4784,3663,953,4616,168,7564
해남군,삼산면,계,subtotal,2272,1551,1162,332,1494,57,721
해남군,삼산면,관내사전투표,ballot,879,879,663,185,848,31,0
해남군,삼산면,선거일투표,ballot,1393,672,499,147,646,26,721
해남군,화산면,계,subtotal,2418,1637,1400,172,1572,65,781
해남군,화산면,관내사전투표,ballot,895,895,763,91,854,41,0
해남군,화산면,선거일투표,ballot,1523,742,637,81,718,24,781
해남군,현산면,계,subtotal,2237,1503,1188,230,1418,85,734
해남군,현산면,관내사전투표,ballot,747,747,598,100,698,49,0
해남군,현산면,선거일투표,ballot,1490,756,590,130,720,36,734
해남군,송지면,계,subtotal,4676,2893,2427,347,2774,119,1783
해남군,송지면,관내사전투표,ballot,1490,1489,1277,147,1424,65,1
해남군,송지면,선거일투표,ballot,3186,1404,1150,200,1350,54,1782
해남군,북평면,계,subtotal,2195,1551,1231,230,1461,90,644
해남군,북평면,관내사전투표,ballot,861,861,675,132,807,54,0
해남군,북평면,선거일투표,ballot,1334,690,556,98,654,36,644
해남군,북일면,계,subtotal,1581,1093,841,201,1042,51,488
해남군,북일면,관내사전투표,ballot,684,684,520,124,644,40,0
해남군,북일면,선거일투표,ballot,897,409,321,77,398,11,488
해남군,옥천면,계,subtotal,2363,1614,1235,304,1539,75,749
해남군,옥천면,관내사전투표,ballot,907,906,703,158,861,45,1
해남군,옥천면,선거일투표,ballot,1456,708,532,146,678,30,748
해남군,계곡면,계,subtotal,1678,1120,875,177,1052,68,558
해남군,계곡면,관내사전투표,ballot,704,704,546,115,661,43,0
해남군,계곡면,선거일투표,ballot,974,416,329,62,391,25,558
해남군,마산면,계,subtotal,1969,1244,949,242,1191,53,725
해남군,마산면,관내사전투표,ballot,682,681,521,130,651,30,1
해남군,마산면,선거일투표,ballot,1287,563,428,112,540,23,724
해남군,황산면,계,subtotal,3624,2505,1961,384,2345,160,1119
해남군,황산면,관내사전투표,ballot,1393,1392,1096,194,1290,102,1
해남군,황산면,선거일투표,ballot,2231,1113,865,190,1055,58,1118
해남군,산이면,계,subtotal,2760,1662,1305,283,1588,74,1098
해남군,산이면,관내사전투표,ballot,911,910,708,157,865,45,1
해남군,산이면,선거일투표,ballot,1849,752,597,126,723,29,1097
해남군,문내면,계,subtotal,3007,2206,1682,325,2007,199,801
해남군,문내면,관내사전투표,ballot,1408,1408,1053,197,1250,158,0
해남군,문내면,선거일투표,ballot,1599,798,629,128,757,41,801
해남군,화원면,계,subtotal,2686,1779,1451,212,1663,116,907
해남군,화원면,관내사전투표,ballot,1110,1110,912,105,1017,93,0
해남군,화원면,선거일투표,ballot,1576,669,539,107,646,23,907
해남군,전체,잘못투입·구분된투표지,special,0,7,6,1,7,0,-7
