선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_임지락,무소속_정연지,무소속_김회수,유효표_계,무효투표수,기권자수
화순군,전체,합계,race_total,54118,35114,21604,5552,7041,34197,917,19004
화순군,전체,거소투표,special,80,74,49,13,11,73,1,6
화순군,전체,관외사전투표,special,6177,6168,4172,934,954,6060,108,9
화순군,화순읍,계,subtotal,30474,17768,10602,2636,4190,17428,340,12706
화순군,화순읍,관내사전투표,ballot,7191,7181,4511,1021,1543,7075,106,10
화순군,화순읍,선거일투표,ballot,23283,10587,6091,1615,2647,10353,234,12696
화순군,한천면,계,subtotal,966,541,316,82,123,521,20,425
화순군,한천면,관내사전투표,ballot,264,264,147,41,64,252,12,0
화순군,한천면,선거일투표,ballot,702,277,169,41,59,269,8,425
화순군,춘양면,계,subtotal,1354,822,542,125,126,793,29,532
화순군,춘양면,관내사전투표,ballot,502,502,343,69,76,488,14,0
화순군,춘양면,선거일투표,ballot,852,320,199,56,50,305,15,532
화순군,청풍면,계,subtotal,752,492,314,67,86,467,25,260
화순군,청풍면,관내사전투표,ballot,294,294,196,39,48,283,11,0
화순군,청풍면,선거일투표,ballot,458,198,118,28,38,184,14,260
화순군,이양면,계,subtotal,1413,892,566,120,150,836,56,521
화순군,이양면,관내사전투표,ballot,578,578,357,79,100,536,42,0
화순군,이양면,선거일투표,ballot,835,314,209,41,50,300,14,521
화순군,능주면,계,subtotal,2447,1575,918,236,375,1529,46,872
화순군,능주면,관내사전투표,ballot,910,910,549,125,212,886,24,0
화순군,능주면,선거일투표,ballot,1537,665,369,111,163,643,22,872
화순군,도곡면,계,subtotal,2286,1470,990,180,242,1412,58,816
화순군,도곡면,관내사전투표,ballot,874,874,590,97,146,833,41,0
화순군,도곡면,선거일투표,ballot,1412,596,400,83,96,579,17,816
화순군,도암면,계,subtotal,1099,692,460,105,101,666,26,407
화순군,도암면,관내사전투표,ballot,374,374,259,47,54,360,14,0
화순군,도암면,선거일투표,ballot,725,318,201,58,47,306,12,407
화순군,이서면,계,subtotal,713,448,295,81,55,431,17,265
화순군,이서면,관내사전투표,ballot,232,232,157,40,23,220,12,0
화순군,이서면,선거일투표,ballot,481,216,138,41,32,211,5,265
화순군,백아면,계,subtotal,1134,780,497,179,67,743,37,354
화순군,백아면,관내사전투표,ballot,485,485,315,104,38,457,28,0
화순군,백아면,선거일투표,ballot,649,295,182,75,29,286,9,354
화순군,동복면,계,subtotal,1226,864,487,206,133,826,38,362
화순군,동복면,관내사전투표,ballot,491,490,283,117,72,472,18,1
화순군,동복면,선거일투표,ballot,735,374,204,89,61,354,20,361
화순군,사평면,계,subtotal,1628,1052,617,255,142,1014,38,576
화순군,사평면,관내사전투표,ballot,694,694,402,178,87,667,27,0
화순군,사평면,선거일투표,ballot,934,358,215,77,55,347,11,576
화순군,동면,계,subtotal,2369,1455,766,329,282,1377,78,914
화순군,동면,관내사전투표,ballot,919,919,504,193,169,866,53,0
화순군,동면,선거일투표,ballot,1450,536,262,136,113,511,25,914
화순군,전체,잘못투입·구분된투표지,special,0,21,13,4,4,21,0,-21
