선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_심덕섭,조국혁신당_유기상,무소속_장명식,무소속_정원환,유효표_계,무효투표수,기권자수
고창군,전체,합계,race_total,45359,35244,18175,14902,501,507,34085,1159,10115
고창군,전체,거소투표,special,327,299,200,78,1,2,281,18,28
고창군,전체,관외사전투표,special,4941,4937,2788,1909,79,74,4850,87,4
고창군,고창읍,계,subtotal,14438,10559,5240,4923,102,128,10393,166,3879
고창군,고창읍,관내사전투표,ballot,5959,5953,3147,2610,42,50,5849,104,6
고창군,고창읍,선거일투표,ballot,8479,4606,2093,2313,60,78,4544,62,3873
고창군,고수면,계,subtotal,2418,1929,998,813,26,25,1862,67,489
고창군,고수면,관내사전투표,ballot,1502,1503,775,643,13,16,1447,56,-1
고창군,고수면,선거일투표,ballot,916,426,223,170,13,9,415,11,490
고창군,아산면,계,subtotal,2060,1571,772,707,19,17,1515,56,489
고창군,아산면,관내사전투표,ballot,1033,1032,525,444,10,9,988,44,1
고창군,아산면,선거일투표,ballot,1027,539,247,263,9,8,527,12,488
고창군,무장면,계,subtotal,2047,1536,967,434,34,18,1453,83,511
고창군,무장면,관내사전투표,ballot,971,970,625,265,15,5,910,60,1
고창군,무장면,선거일투표,ballot,1076,566,342,169,19,13,543,23,510
고창군,공음면,계,subtotal,1834,1410,771,481,48,27,1327,83,424
고창군,공음면,관내사전투표,ballot,1037,1036,571,352,32,15,970,66,1
고창군,공음면,선거일투표,ballot,797,374,200,129,16,12,357,17,423
고창군,상하면,계,subtotal,1823,1406,791,499,24,18,1332,74,417
고창군,상하면,관내사전투표,ballot,973,971,577,307,14,14,912,59,2
고창군,상하면,선거일투표,ballot,850,435,214,192,10,4,420,15,415
고창군,해리면,계,subtotal,2091,1555,735,686,19,14,1454,101,536
고창군,해리면,관내사전투표,ballot,1023,1022,518,408,12,9,947,75,1
고창군,해리면,선거일투표,ballot,1068,533,217,278,7,5,507,26,535
고창군,성송면,계,subtotal,1304,932,516,354,9,23,902,30,372
고창군,성송면,관내사전투표,ballot,613,612,345,223,5,13,586,26,1
고창군,성송면,선거일투표,ballot,691,320,171,131,4,10,316,4,371
고창군,대산면,계,subtotal,2462,1837,907,798,23,30,1758,79,625
고창군,대산면,관내사전투표,ballot,1132,1132,563,479,12,17,1071,61,0
고창군,대산면,선거일투표,ballot,1330,705,344,319,11,13,687,18,625
고창군,심원면,계,subtotal,1889,1480,667,670,28,48,1413,67,409
고창군,심원면,관내사전투표,ballot,1016,1015,467,444,18,33,962,53,1
고창군,심원면,선거일투표,ballot,873,465,200,226,10,15,451,14,408
고창군,흥덕면,계,subtotal,2398,1805,851,847,22,25,1745,60,593
고창군,흥덕면,관내사전투표,ballot,1220,1219,582,569,16,14,1181,38,1
고창군,흥덕면,선거일투표,ballot,1178,586,269,278,6,11,564,22,592
고창군,성내면,계,subtotal,1494,1047,507,466,13,14,1000,47,447
고창군,성내면,관내사전투표,ballot,737,737,350,330,8,9,697,40,0
고창군,성내면,선거일투표,ballot,757,310,157,136,5,5,303,7,447
고창군,신림면,계,subtotal,1781,1431,741,600,14,11,1366,65,350
고창군,신림면,관내사전투표,ballot,1031,1031,550,412,9,6,977,54,0
고창군,신림면,선거일투표,ballot,750,400,191,188,5,5,389,11,350
고창군,부안면,계,subtotal,2052,1492,713,630,40,33,1416,76,560
고창군,부안면,관내사전투표,ballot,923,923,473,357,20,20,870,53,0
고창군,부안면,선거일투표,ballot,1129,569,240,273,20,13,546,23,560
고창군,전체,잘못투입·구분된투표지,special,0,18,11,7,0,0,18,0,-18
