선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_김재준,조국혁신당_이주현,무소속_고영섭,유효표_계,무효투표수,기권자수
군산시,전체,합계,race_total,222212,128572,92800,19808,11164,123772,4800,93640
군산시,전체,거소투표,special,445,411,294,49,22,365,46,34
군산시,전체,관외사전투표,special,22653,22638,16674,3798,1523,21995,643,15
군산시,옥구읍,계,subtotal,2348,1483,1045,224,125,1394,89,865
군산시,옥구읍,관내사전투표,ballot,869,869,623,124,63,810,59,0
군산시,옥구읍,선거일투표,ballot,1479,614,422,100,62,584,30,865
군산시,옥산면,계,subtotal,3048,1843,1316,299,145,1760,83,1205
군산시,옥산면,관내사전투표,ballot,908,908,698,128,44,870,38,0
군산시,옥산면,선거일투표,ballot,2140,935,618,171,101,890,45,1205
군산시,회현면,계,subtotal,2250,1464,919,242,156,1317,147,786
군산시,회현면,관내사전투표,ballot,917,917,585,150,73,808,109,0
군산시,회현면,선거일투표,ballot,1333,547,334,92,83,509,38,786
군산시,임피면,계,subtotal,2043,1269,884,192,111,1187,82,774
군산시,임피면,관내사전투표,ballot,703,702,524,95,36,655,47,1
군산시,임피면,선거일투표,ballot,1340,567,360,97,75,532,35,773
군산시,서수면,계,subtotal,1955,1096,768,156,96,1020,76,859
군산시,서수면,관내사전투표,ballot,545,545,396,78,32,506,39,0
군산시,서수면,선거일투표,ballot,1410,551,372,78,64,514,37,859
군산시,대야면,계,subtotal,3803,2294,1549,386,257,2192,102,1509
군산시,대야면,관내사전투표,ballot,1410,1409,984,235,118,1337,72,1
군산시,대야면,선거일투표,ballot,2393,885,565,151,139,855,30,1508
군산시,개정면,계,subtotal,2179,1318,897,234,121,1252,66,861
군산시,개정면,관내사전투표,ballot,671,671,475,112,42,629,42,0
군산시,개정면,선거일투표,ballot,1508,647,422,122,79,623,24,861
군산시,성산면,계,subtotal,2165,1362,880,253,152,1285,77,803
군산시,성산면,관내사전투표,ballot,782,782,521,149,66,736,46,0
군산시,성산면,선거일투표,ballot,1383,580,359,104,86,549,31,803
군산시,나포면,계,subtotal,1687,994,687,165,84,936,58,693
군산시,나포면,관내사전투표,ballot,526,526,385,78,29,492,34,0
군산시,나포면,선거일투표,ballot,1161,468,302,87,55,444,24,693
군산시,옥도면,계,subtotal,1871,1091,811,136,94,1041,50,780
군산시,옥도면,관내사전투표,ballot,147,147,103,29,10,142,5,0
군산시,옥도면,선거일투표,ballot,1724,944,708,107,84,899,45,780
군산시,옥서면,계,subtotal,2182,1415,964,209,99,1272,143,767
군산시,옥서면,관내사전투표,ballot,862,861,595,131,39,765,96,1
군산시,옥서면,선거일투표,ballot,1320,554,369,78,60,507,47,766
