선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_정성주,무소속_이병철,유효표_계,무효투표수,기권자수
김제시,전체,합계,race_total,73898,48617,38915,8207,47122,1495,25281
김제시,전체,거소투표,special,467,442,305,73,378,64,25
김제시,전체,관외사전투표,special,8936,8929,7115,1612,8727,202,7
김제시,만경읍,계,subtotal,2176,1451,1148,240,1388,63,725
김제시,만경읍,관내사전투표,ballot,867,867,694,126,820,47,0
김제시,만경읍,선거일투표,ballot,1309,584,454,114,568,16,725
김제시,죽산면,계,subtotal,1920,1204,830,331,1161,43,716
김제시,죽산면,관내사전투표,ballot,789,789,550,212,762,27,0
김제시,죽산면,선거일투표,ballot,1131,415,280,119,399,16,716
김제시,백산면,계,subtotal,3048,1746,1408,295,1703,43,1302
김제시,백산면,관내사전투표,ballot,979,979,805,147,952,27,0
김제시,백산면,선거일투표,ballot,2069,767,603,148,751,16,1302
김제시,용지면,계,subtotal,2747,1694,1438,174,1612,82,1053
김제시,용지면,관내사전투표,ballot,1056,1055,911,90,1001,54,1
김제시,용지면,선거일투표,ballot,1691,639,527,84,611,28,1052
김제시,백구면,계,subtotal,2990,1842,1595,180,1775,67,1148
김제시,백구면,관내사전투표,ballot,1013,1013,894,83,977,36,0
김제시,백구면,선거일투표,ballot,1977,829,701,97,798,31,1148
김제시,부량면,계,subtotal,1072,687,491,176,667,20,385
김제시,부량면,관내사전투표,ballot,395,395,275,106,381,14,0
김제시,부량면,선거일투표,ballot,677,292,216,70,286,6,385
김제시,공덕면,계,subtotal,2008,1330,1115,153,1268,62,678
김제시,공덕면,관내사전투표,ballot,790,789,686,65,751,38,1
김제시,공덕면,선거일투표,ballot,1218,541,429,88,517,24,677
김제시,청하면,계,subtotal,1384,1002,814,144,958,44,382
김제시,청하면,관내사전투표,ballot,633,633,518,79,597,36,0
김제시,청하면,선거일투표,ballot,751,369,296,65,361,8,382
김제시,성덕면,계,subtotal,1313,860,666,162,828,32,453
김제시,성덕면,관내사전투표,ballot,501,501,391,92,483,18,0
김제시,성덕면,선거일투표,ballot,812,359,275,70,345,14,453
김제시,진봉면,계,subtotal,1886,1222,977,189,1166,56,664
김제시,진봉면,관내사전투표,ballot,709,708,565,107,672,36,1
김제시,진봉면,선거일투표,ballot,1177,514,412,82,494,20,663
김제시,금구면,계,subtotal,4733,2747,2310,355,2665,82,1986
김제시,금구면,관내사전투표,ballot,1485,1485,1259,180,1439,46,0
김제시,금구면,선거일투표,ballot,3248,1262,1051,175,1226,36,1986
김제시,봉남면,계,subtotal,1747,1079,886,136,1022,57,668
김제시,봉남면,관내사전투표,ballot,584,584,488,65,553,31,0
김제시,봉남면,선거일투표,ballot,1163,495,398,71,469,26,668
김제시,황산면,계,subtotal,1593,1044,845,157,1002,42,549
김제시,황산면,관내사전투표,ballot,588,588,491,73,564,24,0
김제시,황산면,선거일투표,ballot,1005,456,354,84,438,18,549
김제시,금산면,계,subtotal,3717,2371,2013,288,2301,70,1346
김제시,금산면,관내사전투표,ballot,1386,1385,1201,140,1341,44,1
김제시,금산면,선거일투표,ballot,2331,986,812,148,960,26,1345
김제시,광활면,계,subtotal,1019,715,573,125,698,17,304
김제시,광활면,관내사전투표,ballot,400,400,327,68,395,5,0
김제시,광활면,선거일투표,ballot,619,315,246,57,303,12,304
김제시,요촌동,계,subtotal,8159,4732,3671,943,4614,118,3427
김제시,요촌동,관내사전투표,ballot,2323,2323,1824,431,2255,68,0
김제시,요촌동,선거일투표,ballot,5836,2409,1847,512,2359,50,3427
김제시,신풍동,계,subtotal,9122,5242,4122,989,5111,131,3880
김제시,신풍동,관내사전투표,ballot,2620,2620,2083,468,2551,69,0
김제시,신풍동,선거일투표,ballot,6502,2622,2039,521,2560,62,3880
김제시,검산동,계,subtotal,8849,5218,4078,1004,5082,136,3631
김제시,검산동,관내사전투표,ballot,2515,2515,1993,473,2466,49,0
김제시,검산동,선거일투표,ballot,6334,2703,2085,531,2616,87,3631
김제시,교월동,계,subtotal,5012,3052,2508,480,2988,64,1960
김제시,교월동,관내사전투표,ballot,1662,1662,1382,246,1628,34,0
김제시,교월동,선거일투표,ballot,3350,1390,1126,234,1360,30,1960
김제시,전체,잘못투입·구분된투표지,special,0,8,7,1,8,0,-8
