선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_양충모,조국혁신당_강동원,무소속_황의돈,유효표_계,무효투표수,기권자수
남원시,전체,합계,race_total,66274,45384,26790,15901,1280,43971,1413,20890
남원시,전체,거소투표,special,167,147,80,33,11,124,23,20
남원시,전체,관외사전투표,special,6984,6974,4321,2256,249,6826,148,10
남원시,운봉읍,계,subtotal,2987,1932,1064,725,58,1847,85,1055
남원시,운봉읍,관내사전투표,ballot,1162,1162,644,451,17,1112,50,0
남원시,운봉읍,선거일투표,ballot,1825,770,420,274,41,735,35,1055
남원시,주천면,계,subtotal,1889,1354,767,474,51,1292,62,535
남원시,주천면,관내사전투표,ballot,833,833,477,281,27,785,48,0
남원시,주천면,선거일투표,ballot,1056,521,290,193,24,507,14,535
남원시,수지면,계,subtotal,829,534,290,207,17,514,20,295
남원시,수지면,관내사전투표,ballot,275,275,153,105,6,264,11,0
남원시,수지면,선거일투표,ballot,554,259,137,102,11,250,9,295
남원시,송동면,계,subtotal,1468,977,753,167,21,941,36,491
남원시,송동면,관내사전투표,ballot,484,484,382,80,6,468,16,0
남원시,송동면,선거일투표,ballot,984,493,371,87,15,473,20,491
남원시,주생면,계,subtotal,1356,915,486,351,38,875,40,441
남원시,주생면,관내사전투표,ballot,552,552,295,212,18,525,27,0
남원시,주생면,선거일투표,ballot,804,363,191,139,20,350,13,441
남원시,금지면,계,subtotal,1758,1222,716,416,36,1168,54,536
남원시,금지면,관내사전투표,ballot,626,625,363,216,11,590,35,1
남원시,금지면,선거일투표,ballot,1132,597,353,200,25,578,19,535
남원시,대강면,계,subtotal,1189,750,406,237,72,715,35,439
남원시,대강면,관내사전투표,ballot,376,376,198,129,30,357,19,0
남원시,대강면,선거일투표,ballot,813,374,208,108,42,358,16,439
남원시,대산면,계,subtotal,1152,820,453,266,36,755,65,332
남원시,대산면,관내사전투표,ballot,524,524,302,152,23,477,47,0
남원시,대산면,선거일투표,ballot,628,296,151,114,13,278,18,332
남원시,사매면,계,subtotal,1139,765,464,261,17,742,23,374
남원시,사매면,관내사전투표,ballot,446,446,285,139,8,432,14,0
남원시,사매면,선거일투표,ballot,693,319,179,122,9,310,9,374
남원시,덕과면,계,subtotal,673,453,194,221,10,425,28,220
남원시,덕과면,관내사전투표,ballot,248,248,112,116,3,231,17,0
남원시,덕과면,선거일투표,ballot,425,205,82,105,7,194,11,220
남원시,보절면,계,subtotal,1085,723,381,294,22,697,26,362
남원시,보절면,관내사전투표,ballot,413,413,228,160,12,400,13,0
남원시,보절면,선거일투표,ballot,672,310,153,134,10,297,13,362
남원시,산동면,계,subtotal,1303,948,553,307,45,905,43,355
남원시,산동면,관내사전투표,ballot,621,620,366,192,29,587,33,1
남원시,산동면,선거일투표,ballot,682,328,187,115,16,318,10,354
남원시,이백면,계,subtotal,1620,1174,661,431,20,1112,62,446
남원시,이백면,관내사전투표,ballot,758,756,416,279,13,708,48,2
남원시,이백면,선거일투표,ballot,862,418,245,152,7,404,14,444
남원시,인월면,계,subtotal,2376,1520,895,535,41,1471,49,856
남원시,인월면,관내사전투표,ballot,879,878,536,298,17,851,27,1
남원시,인월면,선거일투표,ballot,1497,642,359,237,24,620,22,855
남원시,아영면,계,subtotal,1522,947,553,316,29,898,49,575
남원시,아영면,관내사전투표,ballot,536,536,324,169,10,503,33,0
남원시,아영면,선거일투표,ballot,986,411,229,147,19,395,16,575
남원시,산내면,계,subtotal,1620,1044,514,453,34,1001,43,576
남원시,산내면,관내사전투표,ballot,502,500,262,210,12,484,16,2
남원시,산내면,선거일투표,ballot,1118,544,252,243,22,517,27,574
남원시,동충동,계,subtotal,2388,1506,908,524,37,1469,37,882
남원시,동충동,관내사전투표,ballot,932,932,573,308,21,902,30,0
남원시,동충동,선거일투표,ballot,1456,574,335,216,16,567,7,882
남원시,죽항동,계,subtotal,2447,1527,921,538,35,1494,33,920
남원시,죽항동,관내사전투표,ballot,1004,1003,614,342,24,980,23,1
남원시,죽항동,선거일투표,ballot,1443,524,307,196,11,514,10,919
남원시,노암동,계,subtotal,4436,2755,1680,932,59,2671,84,1681
남원시,노암동,관내사전투표,ballot,1456,1455,924,460,19,1403,52,1
남원시,노암동,선거일투표,ballot,2980,1300,756,472,40,1268,32,1680
남원시,금동,계,subtotal,4618,3017,1779,1056,79,2914,103,1601
남원시,금동,관내사전투표,ballot,1810,1810,1085,613,40,1738,72,0
남원시,금동,선거일투표,ballot,2808,1207,694,443,39,1176,31,1601
남원시,왕정동,계,subtotal,4116,2598,1591,881,57,2529,69,1518
남원시,왕정동,관내사전투표,ballot,1540,1540,936,536,24,1496,44,0
남원시,왕정동,선거일투표,ballot,2576,1058,655,345,33,1033,25,1518
남원시,향교동,계,subtotal,5377,3330,1962,1214,81,3257,73,2047
남원시,향교동,관내사전투표,ballot,2020,2018,1238,700,41,1979,39,2
남원시,향교동,선거일투표,ballot,3357,1312,724,514,40,1278,34,2045
남원시,도통동,계,subtotal,11775,7430,4385,2798,125,7308,122,4345
남원시,도통동,관내사전투표,ballot,4374,4374,2659,1588,63,4310,64,0
남원시,도통동,선거일투표,ballot,7401,3056,1726,1210,62,2998,58,4345
남원시,전체,잘못투입·구분된투표지,special,0,22,13,8,0,21,1,-22
