선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_황인홍,무소속_한송희,유효표_계,무효투표수,기권자수
무주군,전체,합계,race_total,21237,15680,11087,4015,15102,578,5557
무주군,전체,거소투표,special,90,83,60,18,78,5,7
무주군,전체,관외사전투표,special,1836,1834,1354,430,1784,50,2
무주군,무주읍,계,subtotal,7521,5366,3787,1393,5180,186,2155
무주군,무주읍,관내사전투표,ballot,3460,3460,2551,785,3336,124,0
무주군,무주읍,선거일투표,ballot,4061,1906,1236,608,1844,62,2155
무주군,무풍면,계,subtotal,1803,1360,1089,221,1310,50,443
무주군,무풍면,관내사전투표,ballot,762,762,623,108,731,31,0
무주군,무풍면,선거일투표,ballot,1041,598,466,113,579,19,443
무주군,설천면,계,subtotal,3170,2223,1563,568,2131,92,947
무주군,설천면,관내사전투표,ballot,1186,1185,853,266,1119,66,1
무주군,설천면,선거일투표,ballot,1984,1038,710,302,1012,26,946
무주군,적상면,계,subtotal,2186,1544,1095,383,1478,66,642
무주군,적상면,관내사전투표,ballot,904,904,667,194,861,43,0
무주군,적상면,선거일투표,ballot,1282,640,428,189,617,23,642
무주군,안성면,계,subtotal,3464,2402,1539,776,2315,87,1062
무주군,안성면,관내사전투표,ballot,1528,1527,1001,468,1469,58,1
무주군,안성면,선거일투표,ballot,1936,875,538,308,846,29,1061
무주군,부남면,계,subtotal,1167,864,597,225,822,42,303
무주군,부남면,관내사전투표,ballot,501,501,358,119,477,24,0
무주군,부남면,선거일투표,ballot,666,363,239,106,345,18,303
무주군,전체,잘못투입·구분된투표지,special,0,4,3,1,4,0,-4
