선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_권익현,국민의힘_김성태,조국혁신당_김성수,무소속_김종규,유효표_계,무효투표수,기권자수
부안군,전체,합계,race_total,43018,30421,11899,965,9938,6647,29449,972,12597
부안군,전체,거소투표,special,145,130,64,11,20,24,119,11,15
부안군,전체,관외사전투표,special,5027,5024,2349,189,1344,1027,4909,115,3
부안군,부안읍,계,subtotal,13813,8866,3011,230,3331,2066,8638,228,4947
부안군,부안읍,관내사전투표,ballot,4842,4842,1722,95,1803,1077,4697,145,0
부안군,부안읍,선거일투표,ballot,8971,4024,1289,135,1528,989,3941,83,4947
부안군,주산면,계,subtotal,1416,900,341,37,272,208,858,42,516
부안군,주산면,관내사전투표,ballot,496,496,186,14,143,122,465,31,0
부안군,주산면,선거일투표,ballot,920,404,155,23,129,86,393,11,516
부안군,동진면,계,subtotal,1978,1251,522,54,359,265,1200,51,727
부안군,동진면,관내사전투표,ballot,672,672,310,20,188,126,644,28,0
부안군,동진면,선거일투표,ballot,1306,579,212,34,171,139,556,23,727
부안군,행안면,계,subtotal,2919,2369,951,61,778,512,2302,67,550
부안군,행안면,관내사전투표,ballot,1902,1901,793,43,622,395,1853,48,1
부안군,행안면,선거일투표,ballot,1017,468,158,18,156,117,449,19,549
부안군,계화면,계,subtotal,2451,1664,612,50,648,278,1588,76,787
부안군,계화면,관내사전투표,ballot,721,721,281,18,266,124,689,32,0
부안군,계화면,선거일투표,ballot,1730,943,331,32,382,154,899,44,787
부안군,보안면,계,subtotal,1803,1260,533,46,258,356,1193,67,543
부안군,보안면,관내사전투표,ballot,731,731,316,23,163,189,691,40,0
부안군,보안면,선거일투표,ballot,1072,529,217,23,95,167,502,27,543
부안군,변산면,계,subtotal,3370,2265,868,68,815,434,2185,80,1105
부안군,변산면,관내사전투표,ballot,988,988,391,20,348,194,953,35,0
부안군,변산면,선거일투표,ballot,2382,1277,477,48,467,240,1232,45,1105
부안군,진서면,계,subtotal,1779,1211,453,37,403,270,1163,48,568
부안군,진서면,관내사전투표,ballot,731,732,283,18,235,169,705,27,-1
부안군,진서면,선거일투표,ballot,1048,479,170,19,168,101,458,21,569
부안군,백산면,계,subtotal,1881,1206,698,48,214,201,1161,45,675
부안군,백산면,관내사전투표,ballot,717,717,426,26,123,119,694,23,0
부안군,백산면,선거일투표,ballot,1164,489,272,22,91,82,467,22,675
부안군,상서면,계,subtotal,1549,977,295,32,369,248,944,33,572
부안군,상서면,관내사전투표,ballot,613,613,202,22,231,136,591,22,0
부안군,상서면,선거일투표,ballot,936,364,93,10,138,112,353,11,572
부안군,하서면,계,subtotal,1948,1284,406,30,638,169,1243,41,664
부안군,하서면,관내사전투표,ballot,739,739,247,15,362,88,712,27,0
부안군,하서면,선거일투표,ballot,1209,545,159,15,276,81,531,14,664
부안군,줄포면,계,subtotal,2136,1475,572,55,377,425,1429,46,661
부안군,줄포면,관내사전투표,ballot,885,884,343,27,236,246,852,32,1
부안군,줄포면,선거일투표,ballot,1251,591,229,28,141,179,577,14,660
부안군,위도면,계,subtotal,803,536,224,17,111,163,515,21,267
부안군,위도면,관내사전투표,ballot,328,328,134,12,75,92,313,15,0
부안군,위도면,선거일투표,ballot,475,208,90,5,36,71,202,6,267
부안군,전체,잘못투입·구분된투표지,special,0,3,0,0,1,1,2,1,-3
