선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_최영일,진보당_오은미,유효표_계,무효투표수,기권자수
순창군,전체,합계,race_total,25088,20047,13113,6310,19423,624,5041
순창군,전체,거소투표,special,257,220,166,47,213,7,37
순창군,전체,관외사전투표,special,3776,3773,2437,1249,3686,87,3
순창군,순창읍,계,subtotal,7676,5528,3526,1908,5434,94,2148
순창군,순창읍,관내사전투표,ballot,3697,3696,2442,1200,3642,54,1
순창군,순창읍,선거일투표,ballot,3979,1832,1084,708,1792,40,2147
순창군,인계면,계,subtotal,1110,890,591,272,863,27,220
순창군,인계면,관내사전투표,ballot,744,744,510,212,722,22,0
순창군,인계면,선거일투표,ballot,366,146,81,60,141,5,220
순창군,동계면,계,subtotal,1551,1201,818,320,1138,63,350
순창군,동계면,관내사전투표,ballot,953,953,662,244,906,47,0
순창군,동계면,선거일투표,ballot,598,248,156,76,232,16,350
순창군,적성면,계,subtotal,939,786,498,248,746,40,153
순창군,적성면,관내사전투표,ballot,639,638,410,194,604,34,1
순창군,적성면,선거일투표,ballot,300,148,88,54,142,6,152
순창군,유등면,계,subtotal,868,692,454,206,660,32,176
순창군,유등면,관내사전투표,ballot,534,534,360,146,506,28,0
순창군,유등면,선거일투표,ballot,334,158,94,60,154,4,176
순창군,풍산면,계,subtotal,1173,834,470,323,793,41,339
순창군,풍산면,관내사전투표,ballot,594,594,365,196,561,33,0
순창군,풍산면,선거일투표,ballot,579,240,105,127,232,8,339
순창군,금과면,계,subtotal,1466,1137,710,382,1092,45,329
순창군,금과면,관내사전투표,ballot,897,896,566,291,857,39,1
순창군,금과면,선거일투표,ballot,569,241,144,91,235,6,328
순창군,팔덕면,계,subtotal,1152,938,605,295,900,38,214
순창군,팔덕면,관내사전투표,ballot,772,770,516,228,744,26,2
순창군,팔덕면,선거일투표,ballot,380,168,89,67,156,12,212
순창군,복흥면,계,subtotal,1700,1351,989,308,1297,54,349
순창군,복흥면,관내사전투표,ballot,1020,1019,749,229,978,41,1
순창군,복흥면,선거일투표,ballot,680,332,240,79,319,13,348
순창군,쌍치면,계,subtotal,1624,1297,1056,203,1259,38,327
순창군,쌍치면,관내사전투표,ballot,977,975,815,138,953,22,2
순창군,쌍치면,선거일투표,ballot,647,322,241,65,306,16,325
순창군,구림면,계,subtotal,1796,1393,788,549,1337,56,403
순창군,구림면,관내사전투표,ballot,1030,1030,627,359,986,44,0
순창군,구림면,선거일투표,ballot,766,363,161,190,351,12,403
순창군,전체,잘못투입·구분된투표지,special,0,7,5,0,5,2,-7
