선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_유희태,무소속_국영석,유효표_계,무효투표수,기권자수
완주군,전체,합계,race_total,87607,55878,34813,19501,54314,1564,31729
완주군,전체,거소투표,special,335,306,196,84,280,26,29
완주군,전체,관외사전투표,special,9546,9534,6417,2878,9295,239,12
완주군,삼례읍,계,subtotal,16858,9335,6137,2938,9075,260,7523
완주군,삼례읍,관내사전투표,ballot,4042,4038,2705,1224,3929,109,4
완주군,삼례읍,선거일투표,ballot,12816,5297,3432,1714,5146,151,7519
완주군,봉동읍,계,subtotal,18690,10388,6412,3770,10182,206,8302
완주군,봉동읍,관내사전투표,ballot,4903,4901,2965,1838,4803,98,2
완주군,봉동읍,선거일투표,ballot,13787,5487,3447,1932,5379,108,8300
완주군,용진읍,계,subtotal,8335,4793,3104,1587,4691,102,3542
완주군,용진읍,관내사전투표,ballot,2053,2051,1333,685,2018,33,2
완주군,용진읍,선거일투표,ballot,6282,2742,1771,902,2673,69,3540
완주군,상관면,계,subtotal,3310,2056,1312,686,1998,58,1254
완주군,상관면,관내사전투표,ballot,1186,1186,786,367,1153,33,0
완주군,상관면,선거일투표,ballot,2124,870,526,319,845,25,1254
완주군,이서면,계,subtotal,11212,6402,4484,1744,6228,174,4810
완주군,이서면,관내사전투표,ballot,2655,2655,1879,713,2592,63,0
완주군,이서면,선거일투표,ballot,8557,3747,2605,1031,3636,111,4810
완주군,소양면,계,subtotal,4713,3060,2052,893,2945,115,1653
완주군,소양면,관내사전투표,ballot,1839,1838,1265,496,1761,77,1
완주군,소양면,선거일투표,ballot,2874,1222,787,397,1184,38,1652
완주군,구이면,계,subtotal,4606,3052,1877,1066,2943,109,1554
완주군,구이면,관내사전투표,ballot,1581,1581,990,538,1528,53,0
완주군,구이면,선거일투표,ballot,3025,1471,887,528,1415,56,1554
완주군,고산면,계,subtotal,3713,2710,862,1738,2600,110,1003
완주군,고산면,관내사전투표,ballot,1771,1771,557,1131,1688,83,0
완주군,고산면,선거일투표,ballot,1942,939,305,607,912,27,1003
완주군,비봉면,계,subtotal,1263,824,388,403,791,33,439
완주군,비봉면,관내사전투표,ballot,435,434,226,186,412,22,1
완주군,비봉면,선거일투표,ballot,828,390,162,217,379,11,438
완주군,운주면,계,subtotal,1576,1069,541,482,1023,46,507
완주군,운주면,관내사전투표,ballot,653,653,329,292,621,32,0
완주군,운주면,선거일투표,ballot,923,416,212,190,402,14,507
완주군,화산면,계,subtotal,1895,1250,611,595,1206,44,645
완주군,화산면,관내사전투표,ballot,739,738,374,338,712,26,1
완주군,화산면,선거일투표,ballot,1156,512,237,257,494,18,644
완주군,동상면,계,subtotal,690,439,180,241,421,18,251
완주군,동상면,관내사전투표,ballot,289,289,116,160,276,13,0
완주군,동상면,선거일투표,ballot,401,150,64,81,145,5,251
완주군,경천면,계,subtotal,865,643,229,391,620,23,222
완주군,경천면,관내사전투표,ballot,441,440,162,264,426,14,1
완주군,경천면,선거일투표,ballot,424,203,67,127,194,9,221
완주군,전체,잘못투입·구분된투표지,special,0,17,11,5,16,1,-17
