선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_최정호,조국혁신당_임형택,무소속_박경철,무소속_황세연,유효표_계,무효투표수,기권자수
익산시,전체,합계,race_total,235473,137049,99550,24021,6456,3222,133249,3800,98424
익산시,전체,거소투표,special,574,519,368,59,31,16,474,45,55
익산시,전체,관외사전투표,special,24025,24015,17473,4491,944,482,23390,625,10
익산시,함열읍,계,subtotal,5052,2976,2298,301,211,53,2863,113,2076
익산시,함열읍,관내사전투표,ballot,1590,1590,1268,163,72,19,1522,68,0
익산시,함열읍,선거일투표,ballot,3462,1386,1030,138,139,34,1341,45,2076
익산시,오산면,계,subtotal,5251,2733,2085,378,124,74,2661,72,2518
익산시,오산면,관내사전투표,ballot,999,998,808,125,30,11,974,24,1
익산시,오산면,선거일투표,ballot,4252,1735,1277,253,94,63,1687,48,2517
익산시,황등면,계,subtotal,5407,3333,2563,358,195,75,3191,142,2074
익산시,황등면,관내사전투표,ballot,1644,1643,1307,165,71,25,1568,75,1
익산시,황등면,선거일투표,ballot,3763,1690,1256,193,124,50,1623,67,2073
익산시,함라면,계,subtotal,1632,1025,762,133,71,21,987,38,607
익산시,함라면,관내사전투표,ballot,588,588,459,72,31,6,568,20,0
익산시,함라면,선거일투표,ballot,1044,437,303,61,40,15,419,18,607
익산시,웅포면,계,subtotal,1159,742,557,106,37,13,713,29,417
익산시,웅포면,관내사전투표,ballot,368,368,277,50,18,4,349,19,0
익산시,웅포면,선거일투표,ballot,791,374,280,56,19,9,364,10,417
익산시,성당면,계,subtotal,1451,871,657,84,63,23,827,44,580
익산시,성당면,관내사전투표,ballot,457,457,354,44,29,12,439,18,0
익산시,성당면,선거일투표,ballot,994,414,303,40,34,11,388,26,580
익산시,용안면,계,subtotal,1943,1173,881,127,65,27,1100,73,770
익산시,용안면,관내사전투표,ballot,637,635,483,72,26,8,589,46,2
익산시,용안면,선거일투표,ballot,1306,538,398,55,39,19,511,27,768
익산시,낭산면,계,subtotal,2294,1262,960,160,52,35,1207,55,1032
익산시,낭산면,관내사전투표,ballot,594,594,460,76,18,8,562,32,0
익산시,낭산면,선거일투표,ballot,1700,668,500,84,34,27,645,23,1032
익산시,망성면,계,subtotal,2319,1355,1106,83,67,29,1285,70,964
