선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_한득수,무소속_정인준,무소속_한병락,유효표_계,무효투표수,기권자수
임실군,전체,합계,race_total,23339,17850,8580,4100,4571,17251,599,5489
임실군,전체,거소투표,special,73,66,33,10,17,60,6,7
임실군,전체,관외사전투표,special,3150,3146,1715,628,730,3073,73,4
임실군,임실읍,계,subtotal,5317,3854,1927,863,961,3751,103,1463
임실군,임실읍,관내사전투표,ballot,2184,2183,1135,468,525,2128,55,1
임실군,임실읍,선거일투표,ballot,3133,1671,792,395,436,1623,48,1462
임실군,청웅면,계,subtotal,1012,752,240,119,347,706,46,260
임실군,청웅면,관내사전투표,ballot,489,487,166,84,200,450,37,2
임실군,청웅면,선거일투표,ballot,523,265,74,35,147,256,9,258
임실군,운암면,계,subtotal,1053,706,339,139,208,686,20,347
임실군,운암면,관내사전투표,ballot,222,222,127,28,59,214,8,0
임실군,운암면,선거일투표,ballot,831,484,212,111,149,472,12,347
임실군,신평면,계,subtotal,1040,744,311,209,190,710,34,296
임실군,신평면,관내사전투표,ballot,399,399,159,111,110,380,19,0
임실군,신평면,선거일투표,ballot,641,345,152,98,80,330,15,296
임실군,성수면,계,subtotal,1261,919,428,236,231,895,24,342
임실군,성수면,관내사전투표,ballot,455,455,224,114,106,444,11,0
임실군,성수면,선거일투표,ballot,806,464,204,122,125,451,13,342
임실군,오수면,계,subtotal,2898,2112,1037,410,580,2027,85,786
임실군,오수면,관내사전투표,ballot,1202,1202,601,224,315,1140,62,0
임실군,오수면,선거일투표,ballot,1696,910,436,186,265,887,23,786
임실군,신덕면,계,subtotal,909,616,337,138,127,602,14,293
임실군,신덕면,관내사전투표,ballot,352,352,192,94,59,345,7,0
임실군,신덕면,선거일투표,ballot,557,264,145,44,68,257,7,293
임실군,삼계면,계,subtotal,1076,771,357,165,221,743,28,305
임실군,삼계면,관내사전투표,ballot,446,446,213,99,118,430,16,0
임실군,삼계면,선거일투표,ballot,630,325,144,66,103,313,12,305
임실군,관촌면,계,subtotal,2621,2008,903,536,500,1939,69,613
임실군,관촌면,관내사전투표,ballot,1296,1296,590,357,298,1245,51,0
임실군,관촌면,선거일투표,ballot,1325,712,313,179,202,694,18,613
임실군,강진면,계,subtotal,1198,903,365,349,151,865,38,295
임실군,강진면,관내사전투표,ballot,570,568,247,191,103,541,27,2
임실군,강진면,선거일투표,ballot,628,335,118,158,48,324,11,293
임실군,덕치면,계,subtotal,835,601,288,163,118,569,32,234
임실군,덕치면,관내사전투표,ballot,345,343,170,91,63,324,19,2
임실군,덕치면,선거일투표,ballot,490,258,118,72,55,245,13,232
임실군,지사면,계,subtotal,896,642,297,132,187,616,26,254
임실군,지사면,관내사전투표,ballot,329,329,156,63,93,312,17,0
임실군,지사면,선거일투표,ballot,567,313,141,69,94,304,9,254
임실군,전체,잘못투입·구분된투표지,special,0,10,3,3,3,9,1,-10
