선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_최훈식,조국혁신당_장영수,유효표_계,무효투표수,기권자수
장수군,전체,합계,race_total,19324,15133,8109,6586,14695,438,4191
장수군,전체,거소투표,special,49,43,26,14,40,3,6
장수군,전체,관외사전투표,special,2080,2078,1251,779,2030,48,2
장수군,장수읍,계,subtotal,5589,4257,1893,2271,4164,93,1332
장수군,장수읍,관내사전투표,ballot,2515,2515,1173,1274,2447,68,0
장수군,장수읍,선거일투표,ballot,3074,1742,720,997,1717,25,1332
장수군,산서면,계,subtotal,1594,1203,725,423,1148,55,391
장수군,산서면,관내사전투표,ballot,728,728,446,254,700,28,0
장수군,산서면,선거일투표,ballot,866,475,279,169,448,27,391
장수군,번암면,계,subtotal,1873,1416,765,591,1356,60,457
장수군,번암면,관내사전투표,ballot,953,952,514,392,906,46,1
장수군,번암면,선거일투표,ballot,920,464,251,199,450,14,456
장수군,장계면,계,subtotal,3449,2657,1367,1215,2582,75,792
장수군,장계면,관내사전투표,ballot,1591,1587,849,696,1545,42,4
장수군,장계면,선거일투표,ballot,1858,1070,518,519,1037,33,788
장수군,천천면,계,subtotal,1698,1252,810,397,1207,45,446
장수군,천천면,관내사전투표,ballot,770,770,520,223,743,27,0
장수군,천천면,선거일투표,ballot,928,482,290,174,464,18,446
장수군,계남면,계,subtotal,1699,1266,692,541,1233,33,433
장수군,계남면,관내사전투표,ballot,796,795,460,317,777,18,1
장수군,계남면,선거일투표,ballot,903,471,232,224,456,15,432
장수군,계북면,계,subtotal,1293,953,576,351,927,26,340
장수군,계북면,관내사전투표,ballot,563,562,354,193,547,15,1
장수군,계북면,선거일투표,ballot,730,391,222,158,380,11,339
장수군,전체,잘못투입·구분된투표지,special,0,8,4,4,8,0,-8
