선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_조지훈,진보당_강성희,무소속_김광종,유효표_계,무효투표수,기권자수
전주시,전체,합계,race_total,534273,317298,214203,68252,22972,305427,11871,216975
전주시,전체,거소투표,special,348,325,231,33,31,295,30,23
전주시,전체,관외사전투표,special,21437,21396,14867,4462,1379,20708,688,41
전주시,진북동,계,subtotal,10406,6011,4256,1059,425,5740,271,4395
전주시,진북동,관내사전투표,ballot,2724,2713,1942,531,134,2607,106,11
전주시,진북동,선거일투표,ballot,7682,3298,2314,528,291,3133,165,4384
전주시,덕진동,계,subtotal,15558,7528,5147,1329,693,7169,359,8030
전주시,덕진동,관내사전투표,ballot,2365,2360,1674,416,168,2258,102,5
전주시,덕진동,선거일투표,ballot,13193,5168,3473,913,525,4911,257,8025
전주시,금암동,계,subtotal,14306,6273,4322,990,614,5926,347,8033
전주시,금암동,관내사전투표,ballot,2097,2092,1514,362,123,1999,93,5
전주시,금암동,선거일투표,ballot,12209,4181,2808,628,491,3927,254,8028
전주시,팔복동,계,subtotal,6285,3174,2350,424,227,3001,173,3111
전주시,팔복동,관내사전투표,ballot,1431,1417,1079,191,75,1345,72,14
전주시,팔복동,선거일투표,ballot,4854,1757,1271,233,152,1656,101,3097
전주시,우아1동,계,subtotal,8826,4687,3358,787,315,4460,227,4139
전주시,우아1동,관내사전투표,ballot,2201,2197,1642,391,88,2121,76,4
전주시,우아1동,선거일투표,ballot,6625,2490,1716,396,227,2339,151,4135
전주시,우아2동,계,subtotal,11273,5272,3941,767,339,5047,225,6001
전주시,우아2동,관내사전투표,ballot,2369,2367,1799,389,102,2290,77,2
전주시,우아2동,선거일투표,ballot,8904,2905,2142,378,237,2757,148,5999
전주시,호성동,계,subtotal,14096,8609,6254,1527,513,8294,315,5487
전주시,호성동,관내사전투표,ballot,3579,3569,2626,723,123,3472,97,10
전주시,호성동,선거일투표,ballot,10517,5040,3628,804,390,4822,218,5477
전주시,송천1동,계,subtotal,22278,11431,7861,2329,871,11061,370,10847
전주시,송천1동,관내사전투표,ballot,1084,1081,710,296,46,1052,29,3
전주시,송천1동,선거일투표,ballot,21194,10350,7151,2033,825,10009,341,10844
전주시,송천2동,계,subtotal,19077,10877,7850,1891,760,10501,376,8200
전주시,송천2동,관내사전투표,ballot,4277,4266,3176,816,173,4165,101,11
전주시,송천2동,선거일투표,ballot,14800,6611,4674,1075,587,6336,275,8189
전주시,송천3동,계,subtotal,21705,13890,8981,3528,1031,13540,350,7815
전주시,송천3동,관내사전투표,ballot,5774,5764,3839,1527,297,5663,101,10
전주시,송천3동,선거일투표,ballot,15931,8126,5142,2001,734,7877,249,7805
전주시,조촌동,계,subtotal,10070,5504,4083,826,379,5288,216,4566
전주시,조촌동,관내사전투표,ballot,2908,2903,2206,464,120,2790,113,5
전주시,조촌동,선거일투표,ballot,7162,2601,1877,362,259,2498,103,4561
전주시,여의동,계,subtotal,12434,6861,5144,1012,456,6612,249,5573
전주시,여의동,관내사전투표,ballot,2815,2808,2180,422,109,2711,97,7
전주시,여의동,선거일투표,ballot,9619,4053,2964,590,347,3901,152,5566
전주시,혁신동,계,subtotal,23246,14039,9052,3442,1133,13627,412,9207
전주시,혁신동,관내사전투표,ballot,5159,5148,3435,1343,276,5054,94,11
전주시,혁신동,선거일투표,ballot,18087,8891,5617,2099,857,8573,318,9196
전주시,전체,잘못투입·구분된투표지,special,0,143,100,27,7,134,9,-143
전주시,전체,거소투표,special,814,734,459,91,81,631,103,80
전주시,전체,관외사전투표,special,32677,32643,21655,7855,2051,31561,1082,34
전주시,중앙동,계,subtotal,7648,4507,2990,929,395,4314,193,3141
전주시,중앙동,관내사전투표,ballot,2063,2062,1404,453,140,1997,65,1
전주시,중앙동,선거일투표,ballot,5585,2445,1586,476,255,2317,128,3140
전주시,풍남동,계,subtotal,2877,1488,1037,264,119,1420,68,1389
전주시,풍남동,관내사전투표,ballot,567,567,402,117,32,551,16,0
전주시,풍남동,선거일투표,ballot,2310,921,635,147,87,869,52,1389
전주시,노송동,계,subtotal,7806,4303,3073,739,299,4111,192,3503
전주시,노송동,관내사전투표,ballot,1901,1894,1390,348,96,1834,60,7
전주시,노송동,선거일투표,ballot,5905,2409,1683,391,203,2277,132,3496
전주시,완산동,계,subtotal,4068,2318,1602,438,165,2205,113,1750
전주시,완산동,관내사전투표,ballot,1038,1038,718,233,53,1004,34,0
전주시,완산동,선거일투표,ballot,3030,1280,884,205,112,1201,79,1750
전주시,동서학동,계,subtotal,4692,2705,1944,468,170,2582,123,1987
전주시,동서학동,관내사전투표,ballot,1298,1294,957,219,61,1237,57,4
전주시,동서학동,선거일투표,ballot,3394,1411,987,249,109,1345,66,1983
전주시,서서학동,계,subtotal,6634,3739,2740,562,255,3557,182,2895
전주시,서서학동,관내사전투표,ballot,1957,1952,1473,305,96,1874,78,5
전주시,서서학동,선거일투표,ballot,4677,1787,1267,257,159,1683,104,2890
전주시,중화산1동,계,subtotal,10653,5900,4071,1195,409,5675,225,4753
전주시,중화산1동,관내사전투표,ballot,2718,2717,1961,573,106,2640,77,1
전주시,중화산1동,선거일투표,ballot,7935,3183,2110,622,303,3035,148,4752
