선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_이학수,조국혁신당_김민영,무소속_김재선,유효표_계,무효투표수,기권자수
정읍시,전체,합계,race_total,90283,62062,32780,26324,1347,60451,1611,28221
정읍시,전체,거소투표,special,512,477,251,111,26,388,89,35
정읍시,전체,관외사전투표,special,11822,11816,6154,5141,295,11590,226,6
정읍시,신태인읍,계,subtotal,4254,2793,1709,904,90,2703,90,1461
정읍시,신태인읍,관내사전투표,ballot,1639,1638,991,564,38,1593,45,1
정읍시,신태인읍,선거일투표,ballot,2615,1155,718,340,52,1110,45,1460
정읍시,북면,계,subtotal,3219,2081,1154,824,42,2020,61,1138
정읍시,북면,관내사전투표,ballot,1253,1252,698,498,23,1219,33,1
정읍시,북면,선거일투표,ballot,1966,829,456,326,19,801,28,1137
정읍시,입암면,계,subtotal,2169,1381,799,515,23,1337,44,788
정읍시,입암면,관내사전투표,ballot,723,723,431,252,9,692,31,0
정읍시,입암면,선거일투표,ballot,1446,658,368,263,14,645,13,788
정읍시,소성면,계,subtotal,1551,981,641,302,12,955,26,570
정읍시,소성면,관내사전투표,ballot,565,565,371,169,5,545,20,0
정읍시,소성면,선거일투표,ballot,986,416,270,133,7,410,6,570
정읍시,고부면,계,subtotal,2042,1331,736,449,75,1260,71,711
정읍시,고부면,관내사전투표,ballot,862,862,493,276,42,811,51,0
정읍시,고부면,선거일투표,ballot,1180,469,243,173,33,449,20,711
정읍시,영원면,계,subtotal,1310,915,542,295,20,857,58,395
정읍시,영원면,관내사전투표,ballot,601,600,363,186,11,560,40,1
정읍시,영원면,선거일투표,ballot,709,315,179,109,9,297,18,394
정읍시,덕천면,계,subtotal,1305,905,542,316,21,879,26,400
정읍시,덕천면,관내사전투표,ballot,540,539,340,182,4,526,13,1
정읍시,덕천면,선거일투표,ballot,765,366,202,134,17,353,13,399
정읍시,이평면,계,subtotal,1524,1053,633,344,28,1005,48,471
정읍시,이평면,관내사전투표,ballot,655,655,412,196,12,620,35,0
정읍시,이평면,선거일투표,ballot,869,398,221,148,16,385,13,471
정읍시,정우면,계,subtotal,1760,1132,596,463,20,1079,53,628
정읍시,정우면,관내사전투표,ballot,673,669,362,266,8,636,33,4
정읍시,정우면,선거일투표,ballot,1087,463,234,197,12,443,20,624
정읍시,태인면,계,subtotal,2588,1698,973,605,60,1638,60,890
정읍시,태인면,관내사전투표,ballot,1115,1114,629,416,27,1072,42,1
정읍시,태인면,선거일투표,ballot,1473,584,344,189,33,566,18,889
정읍시,감곡면,계,subtotal,2080,1307,731,477,37,1245,62,773
정읍시,감곡면,관내사전투표,ballot,748,748,416,279,14,709,39,0
정읍시,감곡면,선거일투표,ballot,1332,559,315,198,23,536,23,773
정읍시,옹동면,계,subtotal,1235,846,417,367,35,819,27,389
정읍시,옹동면,관내사전투표,ballot,463,463,233,198,17,448,15,0
정읍시,옹동면,선거일투표,ballot,772,383,184,169,18,371,12,389
정읍시,칠보면,계,subtotal,1796,1256,543,659,25,1227,29,540
정읍시,칠보면,관내사전투표,ballot,725,725,300,390,12,702,23,0
정읍시,칠보면,선거일투표,ballot,1071,531,243,269,13,525,6,540
정읍시,산내면,계,subtotal,931,688,178,473,11,662,26,243
정읍시,산내면,관내사전투표,ballot,449,448,115,307,7,429,19,1
정읍시,산내면,선거일투표,ballot,482,240,63,166,4,233,7,242
정읍시,산외면,계,subtotal,1619,1107,637,386,37,1060,47,512
정읍시,산외면,관내사전투표,ballot,683,683,394,238,19,651,32,0
정읍시,산외면,선거일투표,ballot,936,424,243,148,18,409,15,512
정읍시,수성동,계,subtotal,12038,7082,3559,3263,134,6956,126,4956
정읍시,수성동,관내사전투표,ballot,3455,3453,1807,1560,44,3411,42,2
정읍시,수성동,선거일투표,ballot,8583,3629,1752,1703,90,3545,84,4954
정읍시,장명동,계,subtotal,2041,1219,608,570,13,1191,28,822
정읍시,장명동,관내사전투표,ballot,662,662,347,294,7,648,14,0
정읍시,장명동,선거일투표,ballot,1379,557,261,276,6,543,14,822
정읍시,내장상동,계,subtotal,14635,9333,4593,4452,136,9181,152,5302
정읍시,내장상동,관내사전투표,ballot,4694,4694,2405,2182,45,4632,62,0
정읍시,내장상동,선거일투표,ballot,9941,4639,2188,2270,91,4549,90,5302
정읍시,시기동,계,subtotal,2447,1694,825,814,15,1654,40,753
정읍시,시기동,관내사전투표,ballot,879,879,429,423,5,857,22,0
정읍시,시기동,선거일투표,ballot,1568,815,396,391,10,797,18,753
정읍시,초산동,계,subtotal,6511,4132,2151,1851,76,4078,54,2379
정읍시,초산동,관내사전투표,ballot,2091,2088,1128,909,32,2069,19,3
정읍시,초산동,선거일투표,ballot,4420,2044,1023,942,44,2009,35,2376
정읍시,연지동,계,subtotal,4422,2999,1685,1232,42,2959,40,1423
정읍시,연지동,관내사전투표,ballot,1613,1613,928,653,13,1594,19,0
정읍시,연지동,선거일투표,ballot,2809,1386,757,579,29,1365,21,1423
정읍시,농소동,계,subtotal,3452,2005,1085,835,40,1960,45,1447
정읍시,농소동,관내사전투표,ballot,858,858,509,314,11,834,24,0
정읍시,농소동,선거일투표,ballot,2594,1147,576,521,29,1126,21,1447
정읍시,상교동,계,subtotal,3020,1810,1032,665,34,1731,79,1210
정읍시,상교동,관내사전투표,ballot,1007,1007,590,362,12,964,43,0
정읍시,상교동,선거일투표,ballot,2013,803,442,303,22,767,36,1210
정읍시,전체,잘못투입·구분된투표지,special,0,21,6,11,0,17,4,-21
