선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_전춘성,무소속_천춘진,무소속_고준식,유효표_계,무효투표수,기권자수
진안군,전체,합계,race_total,22469,17439,8191,6840,1916,16947,492,5030
진안군,전체,거소투표,special,66,60,38,13,4,55,5,6
진안군,전체,관외사전투표,special,3115,3113,1732,984,329,3045,68,2
진안군,진안읍,계,subtotal,7555,5561,2244,2412,767,5423,138,1994
진안군,진안읍,관내사전투표,ballot,3414,3413,1470,1419,444,3333,80,1
진안군,진안읍,선거일투표,ballot,4141,2148,774,993,323,2090,58,1993
진안군,용담면,계,subtotal,751,555,298,154,86,538,17,196
진안군,용담면,관내사전투표,ballot,350,350,196,88,53,337,13,0
진안군,용담면,선거일투표,ballot,401,205,102,66,33,201,4,196
진안군,안천면,계,subtotal,873,629,367,191,51,609,20,244
진안군,안천면,관내사전투표,ballot,389,389,235,102,36,373,16,0
진안군,안천면,선거일투표,ballot,484,240,132,89,15,236,4,244
진안군,동향면,계,subtotal,1064,835,363,337,98,798,37,229
진안군,동향면,관내사전투표,ballot,604,603,258,248,66,572,31,1
진안군,동향면,선거일투표,ballot,460,232,105,89,32,226,6,228
진안군,상전면,계,subtotal,610,443,203,188,34,425,18,167
진안군,상전면,관내사전투표,ballot,250,250,132,89,18,239,11,0
진안군,상전면,선거일투표,ballot,360,193,71,99,16,186,7,167
진안군,백운면,계,subtotal,1566,1151,602,388,111,1101,50,415
진안군,백운면,관내사전투표,ballot,722,722,391,236,56,683,39,0
진안군,백운면,선거일투표,ballot,844,429,211,152,55,418,11,415
진안군,성수면,계,subtotal,1330,942,516,299,91,906,36,388
진안군,성수면,관내사전투표,ballot,545,544,312,168,43,523,21,1
진안군,성수면,선거일투표,ballot,785,398,204,131,48,383,15,387
진안군,마령면,계,subtotal,1360,1009,483,386,113,982,27,351
진안군,마령면,관내사전투표,ballot,593,593,299,224,50,573,20,0
진안군,마령면,선거일투표,ballot,767,416,184,162,63,409,7,351
진안군,부귀면,계,subtotal,2135,1556,593,805,124,1522,34,579
진안군,부귀면,관내사전투표,ballot,861,861,339,445,61,845,16,0
진안군,부귀면,선거일투표,ballot,1274,695,254,360,63,677,18,579
진안군,정천면,계,subtotal,813,645,320,252,55,627,18,168
진안군,정천면,관내사전투표,ballot,391,391,211,137,33,381,10,0
진안군,정천면,선거일투표,ballot,422,254,109,115,22,246,8,168
진안군,주천면,계,subtotal,1231,936,429,430,53,912,24,295
진안군,주천면,관내사전투표,ballot,524,524,244,235,30,509,15,0
진안군,주천면,선거일투표,ballot,707,412,185,195,23,403,9,295
진안군,전체,잘못투입·구분된투표지,special,0,4,3,1,0,4,0,-4
