name,count,share_of_affected,base_count,rate_within_base
더불어민주당,3214,41.1%,3214,100.0%
국민의힘,2744,35.1%,2744,100.0%
무소속,888,11.3%,888,100.0%
진보당,316,4.0%,316,100.0%
조국혁신당,263,3.4%,263,100.0%
개혁신당,192,2.5%,192,100.0%
정의당,51,0.7%,51,100.0%
자유와혁신,48,0.6%,48,100.0%
기본소득당,32,0.4%,32,100.0%
자유통일당,12,0.2%,12,100.0%
노동당,9,0.1%,9,100.0%
새미래민주당,9,0.1%,9,100.0%
공화당,8,0.1%,8,100.0%
국민연합,7,0.1%,7,100.0%
사회민주당,6,0.1%,6,100.0%
한국독립당,4,0.1%,4,100.0%
국민당,3,0.0%,3,100.0%
국민대통합당,3,0.0%,3,100.0%
녹색당,3,0.0%,3,100.0%
대한국민당,3,0.0%,3,100.0%
친미연합,3,0.0%,3,100.0%
거지당,2,0.0%,2,100.0%
국민주권당,2,0.0%,2,100.0%
한나라당,2,0.0%,2,100.0%
기독당,1,0.0%,1,100.0%
미래연대,1,0.0%,1,100.0%
여성의당,1,0.0%,1,100.0%
자유민주당,1,0.0%,1,100.0%
