name,count,share_of_affected,base_count,rate_within_base
경기도,1201,15.3%,1201,100.0%
서울특별시,1036,13.2%,1036,100.0%
경상남도,712,9.1%,712,100.0%
경상북도,691,8.8%,691,100.0%
강원특별자치도,490,6.3%,490,100.0%
전라남도,486,6.2%,486,100.0%
충청남도,479,6.1%,479,100.0%
부산광역시,460,5.9%,460,100.0%
전북특별자치도,455,5.8%,455,100.0%
충청북도,349,4.5%,349,100.0%
인천광역시,330,4.2%,330,100.0%
대구광역시,326,4.2%,326,100.0%
울산광역시,187,2.4%,187,100.0%
대전광역시,174,2.2%,174,100.0%
광주광역시,158,2.0%,158,100.0%
전남광주통합특별시,137,1.8%,137,100.0%
제주특별자치도,100,1.3%,100,100.0%
세종특별자치시,57,0.7%,57,100.0%
