huboid,name,party,office,region,sdName,sggName,nec_detail_url,assets_thousand_krw,assets_display
100160800,김효숙,더불어민주당,시도의원,세종특별자치시 세종특별자치시제8선거구,세종특별자치시,세종특별자치시제8선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160800,-2970761,-29.7억원
100159686,송창섭,국민의힘,구시군의회의원,부산광역시 기장군다선거구,부산광역시,기장군다선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100159686,-2167443,-21.7억원
100155512,이용철,더불어민주당,구시군의회의원,강원특별자치도 원주시사선거구,강원특별자치도,원주시사선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100155512,-1919529,-19.2억원
100164978,이도겸,국민의힘,기초의원비례,대구광역시 중구,대구광역시,중구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164978,-1801225,-18억원
100156165,이승협,더불어민주당,구시군의회의원,경기도 수원시사선거구,경기도,수원시사선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100156165,-1469355,-14.7억원
100160593,이재식,국민의힘,시도의원,서울특별시 양천구제1선거구,서울특별시,양천구제1선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160593,-1457433,-14.6억원
100156175,조성운,국민의힘,시도의원,강원특별자치도 삼척시제1선거구,강원특별자치도,삼척시제1선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100156175,-1377865,-13.8억원
100160151,김창호,무소속,구시군의회의원,경상남도 의령군라선거구,경상남도,의령군라선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160151,-1284076,-12.8억원
100154329,장래홍,국민의힘,구시군의회의원,충청남도 천안시차선거구,충청남도,천안시차선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100154329,-1212645,-12.1억원
100161753,박재성,국민의힘,구시군의회의원,인천광역시 계양구나선거구,인천광역시,계양구나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161753,-1209967,-12.1억원
100161137,변영현,무소속,구시군의회의원,인천광역시 옹진군다선거구,인천광역시,옹진군다선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161137,-1161728,-11.6억원
100162083,김동균,국민의힘,시도의원,경기도 광주시제1선거구,경기도,광주시제1선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162083,-1083758,-10.8억원
100160389,김영진,국민의힘,구시군의회의원,충청남도 예산군라선거구,충청남도,예산군라선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160389,-991165,-9.9억원
100160323,정두교,무소속,구시군의회의원,경상북도 청도군가선거구,경상북도,청도군가선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160323,-875147,-8.8억원
100163895,김형준,더불어민주당,구시군의회의원,충청남도 논산시나선거구,충청남도,논산시나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163895,-868060,-8.7억원
100164701,이순일,국민의힘,기초의원비례,경상남도 진주시,경상남도,진주시,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164701,-864887,-8.6억원
100158280,조현희,국민의힘,구시군의회의원,충청남도 홍성군다선거구,충청남도,홍성군다선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100158280,-824545,-8.2억원
100153831,박경철,무소속,기초단체장,전북특별자치도 익산시,전북특별자치도,익산시,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100153831,-768016,-7.7억원
100164052,김은영,국민의힘,기초의원비례,충청북도 증평군,충청북도,증평군,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164052,-763841,-7.6억원
100162444,남희태,무소속,시도의원,경상북도 경산시제2선거구,경상북도,경산시제2선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162444,-726670,-7.3억원
100164207,오서희,국민의힘,기초의원비례,서울특별시 중구,서울특별시,중구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164207,-718194,-7.2억원
100163258,조전혁,무소속,교육감,서울특별시 서울특별시,서울특별시,서울특별시,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163258,-706523,-7.1억원
100165442,이지영,국민의힘,기초의원비례,대구광역시 수성구,대구광역시,수성구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165442,-694747,-6.9억원
100163897,최상림,무소속,구시군의회의원,경상남도 고성군다선거구,경상남도,고성군다선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163897,-679896,-6.8억원
100161160,성용근,국민의힘,구시군의회의원,경상남도 양산시바선거구,경상남도,양산시바선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161160,-669239,-6.7억원
100163412,박현욱,국민의힘,시도의원,제주특별자치도 제주특별자치도 제주시 일도2동선거구,제주특별자치도,제주특별자치도 제주시 일도2동선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163412,-652562,-6.5억원
100157625,백석민,더불어민주당,구시군의회의원,부산광역시 남구다선거구,부산광역시,남구다선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100157625,-607593,-6.1억원
100163618,김연옥,무소속,구시군의회의원,경상북도 봉화군다선거구,경상북도,봉화군다선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163618,-596888,-6억원
100165658,강정희,더불어민주당,광역의원비례,전북특별자치도 전북특별자치도,전북특별자치도,전북특별자치도,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165658,-592888,-5.9억원
100161038,김규찬,무소속,구시군의회의원,경상남도 의령군라선거구,경상남도,의령군라선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161038,-572556,-5.7억원
