huboid,name,party,office,region,sdName,sggName,nec_detail_url,assets_thousand_krw,assets_display
100165159,박근량,국민의힘,기초의원비례,경상남도 통영시,경상남도,통영시,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165159,104928953,"1,049.3억원"
100154602,김재선,무소속,기초단체장,전북특별자치도 정읍시,전북특별자치도,정읍시,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100154602,50019532,500.2억원
100162553,김성수,국민의힘,시도의원,경기도 하남시제2선거구,경기도,하남시제2선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162553,32407183,324.1억원
100162500,강은희,무소속,교육감,대구광역시 대구광역시,대구광역시,대구광역시,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162500,28175768,281.8억원
100159651,김회수,무소속,기초단체장,전라남도 화순군,전라남도,화순군,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100159651,26115236,261.2억원
100162543,박영서,국민의힘,시도의원,경상북도 문경시제1선거구,경상북도,문경시제1선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162543,24394740,243.9억원
100155010,안교재,국민의힘,기초단체장,경기도 수원시,경기도,수원시,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100155010,20159591,201.6억원
100154126,강기윤,국민의힘,기초단체장,경상남도 창원시,경상남도,창원시,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100154126,16850737,168.5억원
100162046,김용현,국민의힘,시도의원,경상북도 구미시제1선거구,경상북도,구미시제1선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162046,16165937,161.7억원
100161931,이인구,국민의힘,구시군의회의원,부산광역시 중구나선거구,부산광역시,중구나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161931,14299758,143억원
100156763,김수문,국민의힘,시도의원,경상북도 의성군제2선거구,경상북도,의성군제2선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100156763,13867761,138.7억원
100159975,김홍수,국민의힘,구시군의회의원,강원특별자치도 강릉시라선거구,강원특별자치도,강릉시라선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100159975,12804556,128억원
100158083,윤유진,국민의힘,시도의원,서울특별시 송파구제1선거구,서울특별시,송파구제1선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100158083,12790406,127.9억원
100163255,김용남,더불어민주당,국회의원(재보궐),경기도 평택시을,경기도,평택시을,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163255,12770497,127.7억원
100162384,김기웅,국민의힘,기초단체장,충청남도 서천군,충청남도,서천군,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162384,12473902,124.7억원
100157115,서은경,더불어민주당,구시군의회의원,경기도 성남시카선거구,경기도,성남시카선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100157115,12127921,121.3억원
100161182,박용걸,국민의힘,시도의원,울산광역시 남구제1선거구,울산광역시,남구제1선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161182,12066449,120.7억원
100162499,권오섭,국민의힘,시도의원,대구광역시 남구제1선거구,대구광역시,남구제1선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162499,11994644,119.9억원
100156182,이종호,더불어민주당,시도의원,경상남도 김해시제2선거구,경상남도,김해시제2선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100156182,11479177,114.8억원
100162927,김지훈,국민의힘,시도의원,경기도 남양주시제3선거구,경기도,남양주시제3선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162927,11267055,112.7억원
