huboid,name,party,office,region,sdName,sggName,nec_detail_url,criminal_record_disclosure,categories,important_categories,offense_count_extracted,matched_terms
100157960,유의동,국민의힘,국회의원(재보궐),경기도 평택시을,경기도,평택시을,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100157960,1건,음주·위험운전; 도로교통,음주·위험운전,1,음주·위험운전:음주운전; 도로교통:도로교통법
100162512,조국,조국혁신당,국회의원(재보궐),경기도 평택시을,경기도,평택시을,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162512,2건,청탁금지법; 직권남용; 허위공문서·문서위조·공용서류; 공무집행방해; 업무방해; 국가보안법,청탁금지법; 직권남용; 허위공문서·문서위조·공용서류,1,청탁금지법:부정청탁|금품등수수; 직권남용:직권남용; 허위공문서·문서위조·공용서류:허위작성공문서행사|사문서|위조; 공무집행방해:공무집행방해; 업무방해:업무방해; 국가보안법:국가보안법
100153855,김재연,진보당,국회의원(재보궐),경기도 평택시을,경기도,평택시을,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100153855,2건,폭력; 주거침입; 도로교통; 식품·보건; 국가보안법; 집시법,,1,폭력:폭력행위; 주거침입:주거침입; 도로교통:일반교통방해; 식품·보건:감염병; 국가보안법:국가보안법; 집시법:집회및시위|집회 및 시위
100158139,김석훈,국민의힘,국회의원(재보궐),경기도 안산시갑,경기도,안산시갑,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100158139,4건,건축·건설·부동산,,1,건축·건설·부동산:건축법
100163279,이광재,더불어민주당,국회의원(재보궐),경기도 하남시갑,경기도,하남시갑,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163279,4건,정치자금법; 허위공문서·문서위조·공용서류; 국가보안법,정치자금법; 허위공문서·문서위조·공용서류,1,정치자금법:정치자금법; 허위공문서·문서위조·공용서류:위조; 국가보안법:국가보안법
100163546,전주연,진보당,국회의원(재보궐),광주광역시 광산구을,광주광역시,광산구을,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163546,5건,폭력; 공무집행방해; 식품·보건; 국가보안법; 집시법,,1,폭력:폭력행위|상해; 공무집행방해:공무집행방해; 식품·보건:감염병; 국가보안법:국가보안법; 집시법:집회및시위|집회 및 시위
100163951,박형룡,더불어민주당,국회의원(재보궐),대구광역시 달성군,대구광역시,달성군,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163951,2건,폭력; 총포·화약; 집시법,,1,폭력:폭력행위; 총포·화약:총포|도검|화약류; 집시법:집회및시위|집회 및 시위
100163584,김동칠,개혁신당,국회의원(재보궐),울산광역시 남구갑,울산광역시,남구갑,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163584,1건,음주·위험운전; 도로교통,음주·위험운전,0,음주·위험운전:음주운전; 도로교통:도로교통법
100163276,송영길,더불어민주당,국회의원(재보궐),인천광역시 연수구갑,인천광역시,연수구갑,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163276,2건,절도,절도,1,절도:절도
100162872,김남준,더불어민주당,국회의원(재보궐),인천광역시 계양구을,인천광역시,계양구을,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162872,1건,음주·위험운전; 도로교통,음주·위험운전,1,음주·위험운전:음주운전; 도로교통:도로교통법
