huboid,name,party,office,region,sdName,sggName,nec_detail_url,criminal_record_disclosure,categories,important_categories,offense_count_extracted,matched_terms
100163202,양정무,국민의힘,시도지사,전북특별자치도 전북특별자치도,전북특별자치도,전북특별자치도,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163202,9건,허위공문서·문서위조·공용서류; 노동,허위공문서·문서위조·공용서류,9,허위공문서·문서위조·공용서류:공무상표시무효; 노동:근로기준법
100154850,부람준,진보당,시도의원,제주특별자치도 제주특별자치도 제주시 오라동선거구,제주특별자치도,제주특별자치도 제주시 오라동선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100154850,6건,허위공문서·문서위조·공용서류; 음주·위험운전; 폭력; 도로교통,허위공문서·문서위조·공용서류; 음주·위험운전,6,허위공문서·문서위조·공용서류:사문서|위조; 음주·위험운전:음주운전; 폭력:상해; 도로교통:도로교통법
100162707,이홍희,무소속,구시군의회의원,경상남도 거창군나선거구,경상남도,거창군나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162707,6건,사기; 공직선거법; 음주·위험운전; 무면허운전; 폭력; 공무집행방해; 도로교통,사기; 공직선거법; 음주·위험운전; 무면허운전,6,사기:사기; 공직선거법:공직선거법; 음주·위험운전:음주운전; 무면허운전:무면허운전; 폭력:상해; 공무집행방해:공무집행방해; 도로교통:도로교통법
100158402,김현욱,국민연합,시도지사,경기도 경기도,경기도,경기도,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100158402,9건,뇌물; 음주·위험운전; 무면허운전; 공무집행방해; 도로교통; 노동,뇌물; 음주·위험운전; 무면허운전,4,뇌물:알선수재; 음주·위험운전:음주운전; 무면허운전:무면허운전; 공무집행방해:공무집행방해; 도로교통:도로교통법; 노동:근로기준법
100157158,안병일,국민의힘,구시군의회의원,경상북도 안동시라선거구,경상북도,안동시라선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100157158,4건,음주·위험운전; 교통사고; 도로교통,음주·위험운전,4,음주·위험운전:음주운전; 교통사고:교통사고처리특례법|교통사고처리특례; 도로교통:도로교통법
100156297,장원호,무소속,구시군의회의원,경상북도 안동시마선거구,경상북도,안동시마선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100156297,6건,교통사고; 폭력; 자동차관리,,4,교통사고:교통사고처리특례법|교통사고처리특례; 폭력:폭력행위; 자동차관리:자동차관리법
100160073,박정익,국민의힘,구시군의회의원,경상북도 칠곡군라선거구,경상북도,칠곡군라선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160073,4건,음주·위험운전; 도로교통,음주·위험운전,4,음주·위험운전:음주운전; 도로교통:도로교통법
100155938,김홍수,개혁신당,기초단체장,강원특별자치도 동해시,강원특별자치도,동해시,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100155938,3건,,,3,
100158759,강동원,조국혁신당,기초단체장,전북특별자치도 남원시,전북특별자치도,남원시,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100158759,3건,음주·위험운전; 도로교통; 명예훼손,음주·위험운전,3,음주·위험운전:음주운전; 도로교통:도로교통법; 명예훼손:명예훼손
100159899,맹정섭,더불어민주당,기초단체장,충청북도 충주시,충청북도,충주시,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100159899,3건,공직선거법; 폭력; 사법방해; 도로교통; 모욕,공직선거법,3,공직선거법:공직선거법; 폭력:폭행; 사법방해:무고; 도로교통:도로교통법; 모욕:모욕
100162553,김성수,국민의힘,시도의원,경기도 하남시제2선거구,경기도,하남시제2선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162553,2건,공직선거법; 업무방해; 도로교통,공직선거법,3,공직선거법:공직선거법; 업무방해:업무방해; 도로교통:일반교통방해
100156952,김보성,국민의힘,시도의원,인천광역시 계양구제1선거구,인천광역시,계양구제1선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100156952,3건,폭력; 도로교통,,3,폭력:폭력행위; 도로교통:도로교통법
100162905,정승욱,더불어민주당,구시군의회의원,경상남도 통영시라선거구,경상남도,통영시라선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162905,3건,음주·위험운전; 무면허운전; 도로교통,음주·위험운전; 무면허운전,3,음주·위험운전:음주운전; 무면허운전:무면허운전; 도로교통:도로교통법
100163312,이영철,무소속,구시군의회의원,경상남도 김해시바선거구,경상남도,김해시바선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163312,9건,음주·위험운전; 업무방해; 도로교통; 집시법,음주·위험운전,3,음주·위험운전:음주운전; 업무방해:업무방해; 도로교통:도로교통법; 집시법:집회및시위|집회 및 시위
100161573,이동욱,무소속,구시군의회의원,경상북도 경산시나선거구,경상북도,경산시나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161573,3건,,,3,
