category,group,tone,count,share_of_criminal_pdf_candidates,note
사기,공직 검증,priority,100,3.8%,후보별 중복 분류 가능
횡령,공직 검증,priority,50,1.9%,후보별 중복 분류 가능
배임,공직 검증,priority,22,0.8%,후보별 중복 분류 가능
뇌물,공직 검증,priority,19,0.7%,후보별 중복 분류 가능
정치자금법,공직 검증,priority,11,0.4%,후보별 중복 분류 가능
공직선거법,공직 검증,priority,150,5.7%,후보별 중복 분류 가능
청탁금지법,공직 검증,priority,3,0.1%,후보별 중복 분류 가능
직권남용,공직 검증,priority,6,0.2%,후보별 중복 분류 가능
허위공문서·문서위조·공용서류,공직 검증,priority,54,2.1%,후보별 중복 분류 가능
성범죄,공직 검증,priority,3,0.1%,후보별 중복 분류 가능
특가법,공직 검증,priority,40,1.5%,후보별 중복 분류 가능
음주·위험운전,공직 검증,priority,949,36.1%,후보별 중복 분류 가능
무면허운전,공직 검증,priority,95,3.6%,후보별 중복 분류 가능
절도,공직 검증,priority,14,0.5%,후보별 중복 분류 가능
조세,공직 검증,priority,8,0.3%,후보별 중복 분류 가능
보조금,공직 검증,priority,28,1.1%,후보별 중복 분류 가능
폭력,폭력·질서,standard,451,17.2%,후보별 중복 분류 가능
공무집행방해,폭력·질서,standard,170,6.5%,후보별 중복 분류 가능
업무방해,폭력·질서,standard,107,4.1%,후보별 중복 분류 가능
재물손괴,폭력·질서,standard,39,1.5%,후보별 중복 분류 가능
주거침입,폭력·질서,standard,45,1.7%,후보별 중복 분류 가능
범인도피,폭력·질서,standard,12,0.5%,후보별 중복 분류 가능
사법방해,폭력·질서,standard,10,0.4%,후보별 중복 분류 가능
입찰방해,폭력·질서,standard,4,0.2%,후보별 중복 분류 가능
교통사고,교통·안전 법규,standard,323,12.3%,후보별 중복 분류 가능
도로교통,교통·안전 법규,standard,1204,45.8%,후보별 중복 분류 가능
자동차관리,교통·안전 법규,standard,28,1.1%,후보별 중복 분류 가능
보험·금융,경제·금융 법규,standard,58,2.2%,후보별 중복 분류 가능
환경,생활·안전 법규,standard,31,1.2%,후보별 중복 분류 가능
식품·보건,생활·안전 법규,standard,74,2.8%,후보별 중복 분류 가능
교육·청소년,생활·안전 법규,standard,27,1.0%,후보별 중복 분류 가능
노동,생활·안전 법규,standard,47,1.8%,후보별 중복 분류 가능
농수산,생활·안전 법규,standard,12,0.5%,후보별 중복 분류 가능
건축·건설·부동산,생활·안전 법규,standard,135,5.1%,후보별 중복 분류 가능
총포·화약,생활·안전 법규,standard,9,0.3%,후보별 중복 분류 가능
야생생물,생활·안전 법규,standard,1,0.0%,후보별 중복 분류 가능
국가공무원법,공직·행정 법규,standard,5,0.2%,후보별 중복 분류 가능
지방공무원법,공직·행정 법규,standard,10,0.4%,후보별 중복 분류 가능
국가보안법,시국·안보 관련,context,72,2.7%,후보별 중복 분류 가능
집시법,집회·시위 관련,context,161,6.1%,후보별 중복 분류 가능
명예훼손,기타,standard,41,1.6%,후보별 중복 분류 가능
모욕,기타,standard,8,0.3%,후보별 중복 분류 가능
저작권법,기타,standard,2,0.1%,후보별 중복 분류 가능
마약,기타,standard,2,0.1%,후보별 중복 분류 가능
도박,기타,standard,33,1.3%,후보별 중복 분류 가능
