huboid,name,party,office,region,sdName,sggName,nec_detail_url,tax_arrears_5y_thousand_krw,tax_arrears_5y_display,tax_arrears_current_thousand_krw,criminal_record_disclosure
100161543,서영훈,국민의힘,구시군의회의원,충청남도 당진시나선거구,충청남도,당진시나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161543,1322058,13.2억원,0,없음
100162674,조동탁,국민의힘,시도의원,서울특별시 강동구제4선거구,서울특별시,강동구제4선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162674,774985,7.7억원,0,1건
100156814,한일용,국민의힘,시도의원,서울특별시 마포구제3선거구,서울특별시,마포구제3선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100156814,651075,6.5억원,0,없음
100165019,최영순,기독당,광역의원비례,경기도 경기도,경기도,경기도,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165019,389436,3.9억원,359831,없음
100164938,장일남,더불어민주당,기초의원비례,경기도 성남시,경기도,성남시,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164938,371121,3.7억원,0,없음
100160788,구미선,더불어민주당,구시군의회의원,서울특별시 은평구마선거구,서울특별시,은평구마선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160788,342166,3.4억원,249419,없음
100155716,조용수,더불어민주당,구시군의회의원,전북특별자치도 남원시가선거구,전북특별자치도,남원시가선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100155716,325734,3.3억원,325734,없음
100160734,김한기,무소속,구시군의회의원,전북특별자치도 임실군다선거구,전북특별자치도,임실군다선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160734,285785,2.9억원,279134,2건
100161878,정경민,국민의힘,구시군의회의원,경기도 파주시가선거구,경기도,파주시가선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161878,283653,2.8억원,280503,없음
100154578,손훈모,더불어민주당,기초단체장,전라남도 순천시,전라남도,순천시,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100154578,257508,2.6억원,0,없음
