huboid,name,party,office,region,sdName,sggName,nec_detail_url,tax_arrears_current_thousand_krw,tax_arrears_current_display,tax_arrears_5y_thousand_krw,criminal_record_disclosure
100165019,최영순,기독당,광역의원비례,경기도 경기도,경기도,경기도,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165019,359831,3.6억원,389436,없음
100155716,조용수,더불어민주당,구시군의회의원,전북특별자치도 남원시가선거구,전북특별자치도,남원시가선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100155716,325734,3.3억원,325734,없음
100161878,정경민,국민의힘,구시군의회의원,경기도 파주시가선거구,경기도,파주시가선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161878,280503,2.8억원,283653,없음
100160734,김한기,무소속,구시군의회의원,전북특별자치도 임실군다선거구,전북특별자치도,임실군다선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160734,279134,2.8억원,285785,2건
100160788,구미선,더불어민주당,구시군의회의원,서울특별시 은평구마선거구,서울특별시,은평구마선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160788,249419,2.5억원,342166,없음
100165585,김경훈,무소속,시도의원,경상북도 구미시제1선거구,경상북도,구미시제1선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165585,150653,1.5억원,157319,1건
100163054,전혜란,무소속,구시군의회의원,충청북도 단양군나선거구,충청북도,단양군나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163054,69238,"6,924만원",143145,없음
100161225,박무봉,무소속,구시군의회의원,강원특별자치도 태백시가선거구,강원특별자치도,태백시가선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161225,57982,"5,798만원",99955,11건
100158796,손경식,국민의힘,구시군의회의원,경상북도 안동시바선거구,경상북도,안동시바선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100158796,52288,"5,229만원",67766,1건
100157757,정재충,무소속,구시군의회의원,경상북도 안동시라선거구,경상북도,안동시라선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100157757,46618,"4,662만원",52659,없음
100163187,김익만,무소속,구시군의회의원,전라남도 장흥군가선거구,전라남도,장흥군가선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163187,44487,"4,449만원",44487,없음
100165310,강보람,조국혁신당,기초의원비례,전북특별자치도 김제시,전북특별자치도,김제시,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165310,39639,"3,964만원",40274,없음
100163879,김진숙,더불어민주당,구시군의회의원,경기도 안산시나선거구,경기도,안산시나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163879,31827,"3,183만원",31827,없음
100158170,손득호,개혁신당,구시군의회의원,강원특별자치도 동해시가선거구,강원특별자치도,동해시가선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100158170,27698,"2,770만원",29225,1건
100165854,이지용,국민의힘,구시군의회의원,인천광역시 미추홀구가선거구,인천광역시,미추홀구가선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165854,26412,"2,641만원",36819,2건
100158581,양아영,국민의힘,구시군의회의원,경상북도 포항시바선거구,경상북도,포항시바선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100158581,21567,"2,157만원",55528,1건
100159999,이두원,무소속,기초단체장,충청남도 홍성군,충청남도,홍성군,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100159999,20075,"2,008만원",101037,2건
100156368,연주현,국민의힘,구시군의회의원,경기도 구리시나선거구,경기도,구리시나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100156368,17933,"1,793만원",25784,2건
100164618,정종태,자유와혁신,광역의원비례,서울특별시 서울특별시,서울특별시,서울특별시,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164618,17102,"1,710만원",20276,2건
100160016,이의명,더불어민주당,구시군의회의원,인천광역시 옹진군다선거구,인천광역시,옹진군다선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160016,17079,"1,708만원",18079,3건
100163412,박현욱,국민의힘,시도의원,제주특별자치도 제주특별자치도 제주시 일도2동선거구,제주특별자치도,제주특별자치도 제주시 일도2동선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163412,14918,"1,492만원",13227,없음
100155144,윤영섭,국민의힘,구시군의회의원,경기도 남양주시가선거구,경기도,남양주시가선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100155144,14620,"1,462만원",20097,1건
100157043,김현희,더불어민주당,구시군의회의원,서울특별시 강서구라선거구,서울특별시,강서구라선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100157043,13562,"1,356만원",13910,없음
100163996,강덕수,자유민주당,구시군의회의원,대구광역시 남구다선거구,대구광역시,남구다선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163996,13412,"1,341만원",15046,없음
100161222,전남주,조국혁신당,구시군의회의원,전라남도 신안군나선거구,전라남도,신안군나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161222,13101,"1,310만원",13498,2건
100157504,이병길,국민의힘,시도의원,경기도 남양주시제8선거구,경기도,남양주시제8선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100157504,11667,"1,167만원",14067,없음
100164339,김익규,무소속,구시군의회의원,강원특별자치도 인제군가선거구,강원특별자치도,인제군가선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164339,10854,"1,085만원",10854,5건
100163920,이정훈,무소속,구시군의회의원,충청남도 계룡시나선거구,충청남도,계룡시나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163920,9572,957만원,9572,2건
100162450,정성호,국민의힘,시도의원,서울특별시 구로구제4선거구,서울특별시,구로구제4선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162450,9512,951만원,9512,1건
100159796,양광,더불어민주당,구시군의회의원,전라남도 진도군가선거구,전라남도,진도군가선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100159796,9067,907만원,12741,없음
