huboid,name,party,office,region,sdName,sggName,nec_detail_url,tax_arrears_5y_thousand_krw,tax_arrears_5y_display,tax_arrears_current_thousand_krw,criminal_categories,important_criminal_categories
100162674,조동탁,국민의힘,시도의원,서울특별시 강동구제4선거구,서울특별시,강동구제4선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162674,774985,7.7억원,0,건축·건설·부동산,
100160734,김한기,무소속,구시군의회의원,전북특별자치도 임실군다선거구,전북특별자치도,임실군다선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160734,285785,2.9억원,279134,건축·건설·부동산,
100165585,김경훈,무소속,시도의원,경상북도 구미시제1선거구,경상북도,구미시제1선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165585,157319,1.6억원,150653,공직선거법,공직선거법
100159615,이철우,무소속,기초단체장,경상남도 함양군,경상남도,함양군,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100159615,154135,1.5억원,0,뇌물; 공직선거법,뇌물; 공직선거법
100162489,김호경,국민의힘,시도의원,서울특별시 관악구제4선거구,서울특별시,관악구제4선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162489,148303,1.5억원,0,,
100162099,신동윤,국민의힘,구시군의회의원,대구광역시 달성군라선거구,대구광역시,달성군라선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162099,132283,1.3억원,0,무면허운전; 도로교통,무면허운전
100159781,조승준,더불어민주당,구시군의회의원,전라남도 담양군나선거구,전라남도,담양군나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100159781,117346,1.2억원,0,폭력; 건축·건설·부동산,
100159512,임은두,더불어민주당,구시군의회의원,전북특별자치도 임실군나선거구,전북특별자치도,임실군나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100159512,102940,1억원,0,음주·위험운전; 도로교통,음주·위험운전
100159999,이두원,무소속,기초단체장,충청남도 홍성군,충청남도,홍성군,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100159999,101037,1억원,20075,업무방해; 도로교통,
100161225,박무봉,무소속,구시군의회의원,강원특별자치도 태백시가선거구,강원특별자치도,태백시가선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161225,99955,"9,996만원",57982,,
100165548,권보성,국민의힘,기초의원비례,부산광역시 금정구,부산광역시,금정구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165548,74961,"7,496만원",0,교통사고,
100158796,손경식,국민의힘,구시군의회의원,경상북도 안동시바선거구,경상북도,안동시바선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100158796,67766,"6,777만원",52288,,
100161260,김혜란,국민의힘,구시군의회의원,경상남도 창원시나선거구,경상남도,창원시나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161260,62425,"6,243만원",0,음주·위험운전; 도로교통,음주·위험운전
100158581,양아영,국민의힘,구시군의회의원,경상북도 포항시바선거구,경상북도,포항시바선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100158581,55528,"5,553만원",21567,교통사고,
100162619,오태원,국민의힘,기초단체장,부산광역시 북구,부산광역시,북구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162619,52238,"5,224만원",0,,
100160160,전연석,국민의힘,구시군의회의원,충청남도 금산군나선거구,충청남도,금산군나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160160,50587,"5,059만원",0,,
100158385,최원병,국민의힘,시도의원,강원특별자치도 원주시제5선거구,강원특별자치도,원주시제5선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100158385,45461,"4,546만원",0,교통사고; 도로교통,
100155398,한정민,더불어민주당,구시군의회의원,전라남도 순천시자선거구,전라남도,순천시자선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100155398,38713,"3,871만원",0,음주·위험운전; 도로교통,음주·위험운전
100165854,이지용,국민의힘,구시군의회의원,인천광역시 미추홀구가선거구,인천광역시,미추홀구가선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165854,36819,"3,682만원",26412,사기; 교통사고,사기
100160944,최선경,더불어민주당,구시군의회의원,충청남도 홍성군가선거구,충청남도,홍성군가선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160944,35207,"3,521만원",0,재물손괴,
100162444,남희태,무소속,시도의원,경상북도 경산시제2선거구,경상북도,경산시제2선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162444,33017,"3,302만원",0,,
100161325,박성만,더불어민주당,구시군의회의원,전북특별자치도 고창군가선거구,전북특별자치도,고창군가선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161325,29822,"2,982만원",0,음주·위험운전; 도로교통,음주·위험운전
100160467,박세훈,국민의힘,기초단체장,인천광역시 검단구,인천광역시,검단구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160467,29633,"2,963만원",0,음주·위험운전; 도로교통,음주·위험운전
100158170,손득호,개혁신당,구시군의회의원,강원특별자치도 동해시가선거구,강원특별자치도,동해시가선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100158170,29225,"2,923만원",27698,노동,
100162509,김호식,무소속,구시군의회의원,경상북도 경주시나선거구,경상북도,경주시나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162509,28198,"2,820만원",0,,
