권역,시도,시군구,8회당선정당,민주-국힘격차,1·2위격차
영남,경상남도,남해군,더불어민주당,12.28,12.28
영남,경상남도,의령군,무소속,0.0,12.93
영남,경상남도,하동군,무소속,-22.94,8.01
영남,경상남도,함양군,무소속,-40.91,18.18
영남,경상북도,영천시,무소속,-43.8,9.64
영남,경상북도,울릉군,무소속,-30.29,39.42
영남,경상북도,의성군,무소속,-28.72,42.56
영남,울산광역시,동구,진보당,-45.17,9.66
호남,전라남도,강진군,무소속,0.0,9.76
호남,전라남도,광양시,무소속,40.82,13.77
호남,전라남도,목포시,무소속,37.67,19.72
호남,전라남도,무안군,무소속,37.53,9.5
호남,전라남도,순천시,무소속,41.9,13.88
호남,전라남도,영광군,무소속,48.87,2.26
호남,전라남도,진도군,무소속,41.82,16.36
호남,전북특별자치도,무주군,무소속,31.16,21.65
호남,전북특별자치도,순창군,무소속,47.64,4.72
호남,전북특별자치도,임실군,무소속,43.15,1.03
