구분,시도,시군구,9회사전,8회사전,증감(%p)
급등,전라남도,함평군,54.21,36.0,18.21
급등,전라남도,담양군,51.89,38.07,13.82
급등,전라남도,보성군,49.09,36.16,12.93
급등,전북특별자치도,순창군,62.31,49.75,12.56
급등,전라남도,신안군,61.31,48.76,12.55
급등,전북특별자치도,군산시,30.11,17.58,12.53
급등,전북특별자치도,전주시완산구,29.45,17.17,12.28
급등,전북특별자치도,전주시덕진구,28.49,16.78,11.71
급등,전라남도,완도군,49.57,38.05,11.52
급등,광주광역시,동구,32.19,20.7,11.49
급등,전북특별자치도,정읍시,42.95,31.62,11.33
급등,전라남도,진도군,55.03,43.94,11.09
급등,광주광역시,광산구,24.64,13.58,11.06
급등,광주광역시,남구,29.7,18.78,10.92
급등,전북특별자치도,부안군,45.08,34.26,10.82
급락,경상북도,의성군,36.62,44.14,-7.52
급락,경상북도,영양군,40.4,47.08,-6.68
급락,경상북도,울릉군,40.81,47.09,-6.28
급락,경상북도,청도군,29.75,33.51,-3.76
급락,경상남도,함양군,38.86,42.34,-3.48
급락,경상북도,경주시,19.1,22.41,-3.31
급락,경상북도,상주시,28.87,31.61,-2.74
급락,경상남도,하동군,40.88,43.52,-2.64
급락,경상북도,성주군,34.81,37.37,-2.56
급락,경상북도,청송군,34.88,37.35,-2.47
급락,경상남도,의령군,35.43,37.8,-2.37
급락,인천광역시,옹진군,34.6,36.94,-2.34
급락,충청북도,단양군,31.36,33.29,-1.93
급락,경상북도,영주시,26.1,27.91,-1.81
급락,경상북도,영천시,23.25,25.01,-1.76
