시도,시군구,등록폴수,최신조사일,막판(5/20+)
전라남도,광양시,18,2026-05-28,Y
전라남도,무안군,19,2026-05-28,Y
전라남도,순천시,23,2026-05-28,Y
전라남도,강진군,12,2026-05-27,Y
전라남도,구례군,3,2026-05-27,Y
전라남도,목포시,20,2026-05-27,Y
전라남도,보성군,5,2026-05-27,Y
전라남도,신안군,14,2026-05-27,Y
전라남도,진도군,12,2026-05-27,Y
전라남도,여수시,14,2026-05-26,Y
전라남도,담양군,19,2026-05-25,Y
전라남도,함평군,10,2026-05-25,Y
전라남도,완도군,17,2026-05-23,Y
전라남도,영광군,13,2026-05-22,Y
전라남도,장성군,16,2026-05-22,Y
전라남도,장흥군,6,2026-05-16,
전라남도,곡성군,2,2026-05-15,
전라남도,나주시,4,2026-04-11,
전라남도,고흥군,4,2026-04-01,
전라남도,영암군,9,2026-04-01,
전라남도,해남군,8,2026-03-17,
전라남도,화순군,5,2026-03-04,
전북특별자치도,정읍시,14,2026-05-28,Y
전북특별자치도,부안군,21,2026-05-23,Y
전북특별자치도,완주군,20,2026-05-16,
전북특별자치도,고창군,8,2026-05-12,
전북특별자치도,남원시,16,2026-05-12,
전북특별자치도,무주군,12,2026-04-28,
전북특별자치도,임실군,11,2026-04-09,
전북특별자치도,익산시,13,2026-04-07,
전북특별자치도,군산시,8,2026-04-01,
전북특별자치도,김제시,8,2026-04-01,
전북특별자치도,순창군,9,2026-04-01,
전북특별자치도,장수군,10,2026-04-01,
전북특별자치도,전주시,10,2026-04-01,
전북특별자치도,진안군,13,2026-04-01,
