시도,시군구,민주확률%,도전진영,근거,무투표승자,prior마진,폴기관,폴등록일,폴조사일,폴민주,폴비민주,폴비민주당,폴마진
경기도,시흥시,100.0,C,uncontested,임병택·더불,20.8,,,,,,,
광주광역시,동구,100.0,I,past,,74.2,,,,,,,
광주광역시,서구,100.0,C,uncontested,김이강·더불,76.6,,,,,,,
광주광역시,남구,100.0,C,uncontested,김병내·더불,77.3,,,,,,,
광주광역시,북구,100.0,I,past,,79.1,,,,,,,
광주광역시,광산구,100.0,I,past,,85.0,,,,,,,
인천광역시,검단구,100.0,C,poll,,,한길리서치,2026-04-30,,54.8,27.6,국민의힘,27.2
전라남도,목포시,100.0,C,past,,72.7,,,,,,,
전라남도,나주시,100.0,I,poll,,73.8,(주)데일리리서치,2026-04-11,03-21,46.1,8.8,조국혁신당,37.3
전라남도,광양시,100.0,I,poll,,61.6,한길리서치,2026-04-02,,39.2,7.3,무소속,31.9
전라남도,곡성군,100.0,I,past,,68.2,,,,,,,
전라남도,구례군,100.0,I,past,,67.4,,,,,,,
전라남도,고흥군,100.0,I,past,,74.7,,,,,,,
전라남도,보성군,100.0,I,past,,81.9,,,,,,,
전라남도,화순군,100.0,I,past,,80.4,,,,,,,
전라남도,장흥군,100.0,I,past,,73.4,,,,,,,
전라남도,해남군,100.0,I,past,,84.7,,,,,,,
전라남도,영암군,100.0,I,past,,73.3,,,,,,,
전라남도,장성군,100.0,I,past,,76.1,,,,,,,
전북특별자치도,전주시,100.0,C,past,,69.1,,,,,,,
전북특별자치도,군산시,100.0,I,past,,69.7,,,,,,,
전북특별자치도,익산시,100.0,I,past,,72.4,,,,,,,
전북특별자치도,남원시,100.0,I,poll,,68.1,(주)데일리리서치,2026-04-16,04-14,54.3,17.4,조국혁신당,36.9
전북특별자치도,김제시,100.0,I,past,,72.2,,,,,,,
전북특별자치도,진안군,100.0,I,past,,70.3,,,,,,,
전북특별자치도,무주군,100.0,I,poll,,57.4,(주)데일리리서치,2026-04-28,,60.7,23.0,무소속,37.7
전북특별자치도,장수군,100.0,I,past,,70.9,,,,,,,
전북특별자치도,임실군,100.0,I,past,,69.4,,,,,,,
전북특별자치도,순창군,100.0,I,past,,71.0,,,,,,,
전북특별자치도,고창군,100.0,I,past,,72.2,,,,,,,
경기도,광명시,99.8,C,poll,,15.4,모노커뮤니케이션즈(모노리서치),2026-04-15,04-14,56.2,28.5,국민의힘,27.7
전북특별자치도,부안군,99.8,I,poll,,71.5,(주)데일리리서치,2026-05-13,05-13,48.1,23.6,조국혁신당,24.5
강원특별자치도,화천군,98.9,C,poll,,-8.1,(주)에이스리서치,2026-04-19,04-02,63.6,33.1,국민의힘,30.5
인천광역시,남동구,98.6,C,poll,,9.9,한길리서치,2026-05-18,,54.5,32.1,국민의힘,22.4
강원특별자치도,속초시,98.3,C,poll,,-8.4,(주)에이스리서치,2026-04-15,04-02,56.1,27.2,국민의힘,28.9
강원특별자치도,고성군,98.2,C,poll,,-5.4,(주)에이스리서치,2026-05-03,05-02,60.3,33.5,국민의힘,26.8
경기도,평택시,97.2,C,poll,,10.3,(주)리서치뷰,2026-05-25,05-23,50.9,32.5,국민의힘,18.4
대전광역시,유성구,96.4,C,poll,,12.7,(주)데일리리서치,2026-05-25,05-24,52.7,37.0,국민의힘,15.7
대전광역시,중구,95.5,C,poll,,-0.2,(주)데일리리서치,2026-05-25,05-22,53.1,33.0,국민의힘,20.1
강원특별자치도,춘천시,94.6,C,poll,,1.8,(주)에이스리서치,2026-04-26,04-02,51.1,33.1,국민의힘,18.0
전북특별자치도,완주군,94.0,I,poll,,65.6,(주)데일리리서치,2026-05-06,05-05,44.6,31.5,무소속,13.1
울산광역시,북구,93.8,C,poll,,-28.6,한길리서치,2026-05-27,,57.0,26.9,국민의힘,30.1
경기도,화성시,93.5,C,past,,18.0,,,,,,,
전북특별자치도,정읍시,92.6,I,poll,,72.4,모노커뮤니케이션즈(모노리서치),2026-05-12,05-12,51.0,39.1,조국혁신당,11.9
경기도,오산시,91.9,C,poll,,15.3,여론조사공정(주),2026-05-04,05-01,46.3,35.9,국민의힘,10.4
강원특별자치도,원주시,91.7,C,poll,,1.8,(주)에이스리서치,2026-04-21,04-02,50.1,34.7,국민의힘,15.4
경기도,부천시,91.4,C,past,,16.2,,,,,,,
경기도,파주시,90.1,C,past,,15.3,,,,,,,
인천광역시,서구,90.0,C,poll,,13.6,한길리서치,2026-05-11,,46.7,37.2,국민의힘,9.5
강원특별자치도,인제군,89.7,C,poll,,-4.7,(주)에이스리서치,2026-04-22,04-02,51.4,34.7,국민의힘,16.7
서울특별시,은평구,89.5,C,past,,15.0,,,,,,,
인천광역시,계양구,89.4,C,past,,14.9,,,,,,,
서울특별시,금천구,89.2,C,poll,,14.7,한길리서치,2026-04-04,,19.4,10.8,국민의힘,8.6
서울특별시,노원구,88.6,C,past,,13.9,,,,,,,
서울특별시,성동구,88.0,C,poll,,6.0,여론조사공정(주),2026-05-10,05-10,45.4,34.0,국민의힘,11.4
서울특별시,중랑구,87.6,C,past,,13.9,,,,,,,
서울특별시,관악구,86.5,C,past,,13.1,,,,,,,
충청북도,진천군,85.8,C,past,,12.8,,,,,,,
서울특별시,강북구,85.3,C,past,,12.4,,,,,,,
인천광역시,부평구,85.0,C,past,,12.1,,,,,,,
경기도,군포시,84.7,C,past,,11.7,,,,,,,
전라남도,여수시,84.5,I,poll,,77.5,한길리서치,2026-05-24,,42.4,34.2,조국혁신당,8.2
서울특별시,성북구,84.2,C,past,,11.9,,,,,,,
강원특별자치도,양구군,83.3,C,poll,,-4.8,(주)에이스리서치,2026-04-16,04-02,35.4,21.9,국민의힘,13.5
경기도,남양주시,82.8,C,past,,11.3,,,,,,,
경기도,수원시,81.9,C,past,,10.7,,,,,,,
충청남도,아산시,81.8,C,past,,10.8,,,,,,,
경기도,의정부시,81.4,C,past,,10.4,,,,,,,
경기도,안양시,81.1,C,past,,10.3,,,,,,,
울산광역시,울주군,80.9,C,poll,,-11.1,한길리서치,2026-05-27,,52.3,37.4,국민의힘,14.9
경기도,광주시,80.8,C,past,,10.4,,,,,,,
충청남도,천안시,80.5,C,poll,,4.9,한길리서치,2026-05-24,,42.1,33.9,국민의힘,8.2
서울특별시,강서구,80.2,C,past,,10.2,,,,,,,
경기도,고양시,80.0,C,past,,10.0,,,,,,,
경기도,양주시,78.2,C,poll,,11.4,여론조사공정(주),2026-04-04,04-04,33.9,29.7,국민의힘,4.2
대전광역시,서구,78.0,C,poll,,5.9,(주)데일리리서치,2026-05-27,05-26,45.9,39.7,국민의힘,6.2
서울특별시,구로구,77.5,C,past,,8.9,,,,,,,
경기도,김포시,77.2,C,past,,8.9,,,,,,,
대전광역시,대덕구,77.1,C,poll,,4.4,(주)데일리리서치,2026-05-25,05-23,48.0,41.2,국민의힘,6.8
서울특별시,양천구,75.8,C,poll,,3.2,(주)데일리리서치,2026-04-15,03-25,44.7,37.7,국민의힘,7.0
서울특별시,서대문구,75.0,C,past,,8.0,,,,,,,
충청북도,음성군,74.3,C,past,,7.6,,,,,,,
대전광역시,동구,73.1,C,poll,,4.8,(주)데일리리서치,2026-05-27,05-25,47.3,42.2,국민의힘,5.1
전라남도,담양군,72.4,I,poll,,77.9,(주)리서치뷰,2026-05-22,05-20,47.8,43.0,조국혁신당,4.8
충청남도,당진시,72.4,C,poll,,1.6,(주)리서치뷰,2026-05-25,05-24,48.6,42.1,국민의힘,6.5
경기도,구리시,71.8,C,past,,6.7,,,,,,,
서울특별시,도봉구,71.3,C,past,,6.4,,,,,,,
서울특별시,마포구,71.3,C,past,,6.6,,,,,,,
충청남도,금산군,70.2,C,poll,,-4.1,(주)리서치뷰,2026-04-27,04-25,42.5,34.6,국민의힘,7.9
경상남도,양산시,69.3,C,poll,,-8.6,(주)에이스리서치,2026-05-27,05-02,50.7,41.2,국민의힘,9.5
충청남도,계룡시,69.3,C,poll,,0.5,(주)데일리리서치,2026-05-26,05-22,49.5,43.5,국민의힘,6.0
경기도,안성시,69.2,C,past,,6.1,,,,,,,
경기도,안산시,68.2,C,poll,,14.1,모노커뮤니케이션즈(모노리서치),2026-05-11,05-04,38.9,39.6,국민의힘,-0.7
서울특별시,동대문구,67.9,C,past,,5.4,,,,,,,
충청북도,증평군,67.5,C,past,,5.1,,,,,,,
서울특별시,종로구,67.3,C,past,,5.2,,,,,,,
서울특별시,광진구,66.3,C,past,,5.0,,,,,,,
경기도,용인시,66.0,C,poll,,4.1,(주)데일리리서치,2026-05-18,05-18,46.7,43.7,국민의힘,3.0
경기도,의왕시,65.9,C,past,,4.9,,,,,,,
강원특별자치도,횡성군,65.5,I,poll,,-10.7,(주)에이스리서치,2026-05-05,05-02,35.5,32.3,무소속,3.2
