선거구,지역,판세,최신폴일,민주후보,상대후보
북갑,부산,경합,2026-05-25,하정우,한동훈
달성,대구,(raw 여론조사 1회 평균),,박형룡,이진숙
연수갑,인천,더불어민주당 우세,2026-05-20,송영길,박종진
계양을,인천,(raw 여론조사 1회 평균),,김남준,심왕섭
광산을,광주,(raw 여론조사 1회 평균),,임문영,안태욱
남갑,울산,경합,2026-05-25,전태진,김태규
평택을,경기,더불어민주당 우세,2026-05-22,김용남,유의동
안산갑,경기,(raw 여론조사 1회 평균),,김남국,김석훈
하남갑,경기,더불어민주당 우세,2026-05-23,이광재,이용
공주부여청양,충남,경합,2026-05-26,김영빈,윤용근
아산을,충남,더불어민주당 우세,2026-05-26,전은수,김민경
군산김제부안갑,전북,더불어민주당 우세 (자료 부족 — 22대 당선 기반 추정),,김의겸,오지성
군산김제부안을,전북,더불어민주당 우세 (자료 부족 — 22대 당선 기반 추정),,박지원,김종회
서귀포,제주,더불어민주당 우세,2026-05-25,김성범,고기철
