선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_전재수,국민의힘_서병수,개혁신당_배기석,유효표_계,무효투표수,기권자수
북구갑,전체,계,race_total,121889,84012,43548,38850,836,83234,778,37877
북구갑,전체,거소·선상투표,special,233,216,114,97,3,214,2,17
북구갑,전체,관외사전투표,special,7772,7769,4733,2863,101,7697,72,3
북구갑,전체,국외부재자투표,special,188,134,104,29,1,134,0,54
북구갑,전체,소계,subtotal,13121,8503,4191,4143,92,8426,77,4618
북구갑,전체,관내사전투표,early,3173,3173,1637,1497,25,3159,14,0
북구갑,구포제1동,구포제1동제1투,box,1836,827,370,435,10,815,12,1009
북구갑,구포제1동,구포제1동제2투,box,2356,1314,642,637,19,1298,16,1042
북구갑,구포제1동,구포제1동제3투,box,1663,796,340,432,10,782,14,867
북구갑,구포제1동,구포제1동제4투,box,1811,932,485,420,12,917,15,879
북구갑,구포제1동,구포제1동제5투,box,2282,1461,717,722,16,1455,6,821
북구갑,구포제1동,소계,subtotal,20025,13292,6828,6224,100,13152,140,6733
북구갑,구포제1동,관내사전투표,early,4418,4416,2574,1792,27,4393,23,2
북구갑,구포제2동,구포제2동제1투,box,1969,999,447,526,10,983,16,970
북구갑,구포제2동,구포제2동제2투,box,2095,981,447,512,4,963,18,1114
북구갑,구포제2동,구포제2동제3투,box,2857,1640,811,801,10,1622,18,1217
북구갑,구포제2동,구포제2동제4투,box,2560,1360,637,698,7,1342,18,1200
북구갑,구포제2동,구포제2동제5투,box,2921,1977,941,995,22,1958,19,944
북구갑,구포제2동,구포제2동제6투,box,1184,546,201,320,7,528,18,638
북구갑,구포제2동,구포제2동제7투,box,2021,1373,770,580,13,1363,10,648
북구갑,구포제2동,소계,subtotal,15345,9358,4855,4315,85,9255,103,5987
북구갑,구포제2동,관내사전투표,early,3926,3924,2258,1614,40,3912,12,2
북구갑,구포제3동,구포제3동제1투,box,1847,907,426,458,5,889,18,940
북구갑,구포제3동,구포제3동제2투,box,1850,882,413,449,5,867,15,968
북구갑,구포제3동,구포제3동제3투,box,2045,920,459,444,9,912,8,1125
북구갑,구포제3동,구포제3동제4투,box,2057,1081,514,539,6,1059,22,976
북구갑,구포제3동,구포제3동제5투,box,1603,739,360,354,10,724,15,864
북구갑,구포제3동,구포제3동제6투,box,2017,905,425,457,10,892,13,1112
북구갑,구포제3동,소계,subtotal,11357,7667,3700,3801,89,7590,77,3690
북구갑,구포제3동,관내사전투표,early,2649,2647,1406,1200,28,2634,13,2
북구갑,덕천제1동,덕천제1동제1투,box,2227,1450,641,779,17,1437,13,777
북구갑,덕천제1동,덕천제1동제2투,box,1778,929,438,461,18,917,12,849
북구갑,덕천제1동,덕천제1동제3투,box,2302,1239,634,575,16,1225,14,1063
북구갑,덕천제1동,덕천제1동제4투,box,2401,1402,581,786,10,1377,25,999
북구갑,덕천제1동,소계,subtotal,10082,6523,3179,3204,69,6452,71,3559
북구갑,덕천제1동,관내사전투표,early,2664,2664,1494,1125,27,2646,18,0
북구갑,덕천제2동,덕천제2동제1투,box,2060,972,412,534,9,955,17,1088
북구갑,덕천제2동,덕천제2동제2투,box,1663,796,306,473,10,789,7,867
