회차,연도,동,유효표_계,한나라당_정형근_득표,한나라당_정형근_득표율,새천년민주당_박희동_득표,새천년민주당_박희동_득표율,열린우리당_이철_득표,열린우리당_이철_득표율,자민련_노태석_득표,자민련_노태석_득표율,무소속_도희윤_득표,무소속_도희윤_득표율,통합민주당_전재수_득표,통합민주당_전재수_득표율,한나라당_박민식_득표,한나라당_박민식_득표율,평화통일가정당_임종보_득표,평화통일가정당_임종보_득표율,새누리당_박민식_득표,새누리당_박민식_득표율,민주통합당_전재수_득표,민주통합당_전재수_득표율,더불어민주당_전재수_득표,더불어민주당_전재수_득표율,미래통합당_박민식_득표,미래통합당_박민식_득표율,국가혁명배당금당_이성근_득표,국가혁명배당금당_이성근_득표율,국민의힘_서병수_득표,국민의힘_서병수_득표율,개혁신당_배기석_득표,개혁신당_배기석_득표율
17,2004,구포1동,7394,3861,52.22,99,1.34,3030,40.98,72,0.97,332,4.49,,,,,,,,,,,,,,,,,,,,
17,2004,구포2동,13332,6670,50.03,222,1.67,5940,44.55,138,1.04,362,2.72,,,,,,,,,,,,,,,,,,,,
17,2004,구포3동,11902,5618,47.2,223,1.87,5639,47.38,67,0.56,355,2.98,,,,,,,,,,,,,,,,,,,,
17,2004,덕천1동,8542,4520,52.92,149,1.74,3590,42.03,72,0.84,211,2.47,,,,,,,,,,,,,,,,,,,,
17,2004,덕천3동,6249,3322,53.16,119,1.9,2614,41.83,58,0.93,136,2.18,,,,,,,,,,,,,,,,,,,,
17,2004,만덕1동,7729,4160,53.82,125,1.62,3201,41.42,63,0.82,180,2.33,,,,,,,,,,,,,,,,,,,,
17,2004,만덕2동,11801,6014,50.96,152,1.29,5296,44.88,65,0.55,274,2.32,,,,,,,,,,,,,,,,,,,,
17,2004,만덕3동,11112,6043,54.38,115,1.03,4607,41.46,96,0.86,251,2.26,,,,,,,,,,,,,,,,,,,,
18,2008,구포제1동,4304,,,,,,,,,,,1404,32.62,2675,62.15,225,5.23,,,,,,,,,,,,,,
18,2008,구포제2동,8912,,,,,,,,,,,3138,35.21,5354,60.08,420,4.71,,,,,,,,,,,,,,
18,2008,구포제3동,6781,,,,,,,,,,,2530,37.31,3942,58.13,309,4.56,,,,,,,,,,,,,,
18,2008,덕천제1동,5765,,,,,,,,,,,2098,36.39,3397,58.92,270,4.68,,,,,,,,,,,,,,
18,2008,덕천제3동,4431,,,,,,,,,,,1559,35.18,2650,59.81,222,5.01,,,,,,,,,,,,,,
18,2008,만덕제1동,4990,,,,,,,,,,,2449,49.08,2386,47.82,155,3.11,,,,,,,,,,,,,,
18,2008,만덕제2동,7153,,,,,,,,,,,2774,38.78,4142,57.91,237,3.31,,,,,,,,,,,,,,
18,2008,만덕제3동,7570,,,,,,,,,,,2974,39.29,4355,57.53,241,3.18,,,,,,,,,,,,,,
19,2012,구포제1동,5846,,,,,,,,,,,,,,,,,3295,56.36,2551,43.64,,,,,,,,,,
19,2012,구포제2동,13126,,,,,,,,,,,,,,,,,6921,52.73,6205,47.27,,,,,,,,,,
19,2012,구포제3동,10134,,,,,,,,,,,,,,,,,5309,52.39,4825,47.61,,,,,,,,,,
19,2012,덕천제1동,8008,,,,,,,,,,,,,,,,,4394,54.87,3614,45.13,,,,,,,,,,
19,2012,덕천제3동,5944,,,,,,,,,,,,,,,,,3292,55.38,2652,44.62,,,,,,,,,,
19,2012,만덕제1동,6865,,,,,,,,,,,,,,,,,2919,42.52,3946,57.48,,,,,,,,,,
19,2012,만덕제2동,10204,,,,,,,,,,,,,,,,,5378,52.7,4826,47.3,,,,,,,,,,
19,2012,만덕제3동,10837,,,,,,,,,,,,,,,,,5695,52.55,5142,47.45,,,,,,,,,,
20,2016,구포제1동,6369,,,,,,,,,,,,,,,,,2859,44.89,,,3510,55.11,,,,,,,,
20,2016,구포제2동,12063,,,,,,,,,,,,,,,,,5254,43.55,,,6809,56.45,,,,,,,,
20,2016,구포제3동,9006,,,,,,,,,,,,,,,,,4007,44.49,,,4999,55.51,,,,,,,,
20,2016,덕천제1동,6831,,,,,,,,,,,,,,,,,3291,48.18,,,3540,51.82,,,,,,,,
20,2016,덕천제2동,5400,,,,,,,,,,,,,,,,,2499,46.28,,,2901,53.72,,,,,,,,
20,2016,덕천제3동,4879,,,,,,,,,,,,,,,,,2401,49.21,,,2478,50.79,,,,,,,,
20,2016,만덕제1동,4364,,,,,,,,,,,,,,,,,1887,43.24,,,2477,56.76,,,,,,,,
20,2016,만덕제2동,11984,,,,,,,,,,,,,,,,,5069,42.3,,,6915,57.7,,,,,,,,
20,2016,만덕제3동,9308,,,,,,,,,,,,,,,,,4107,44.12,,,5201,55.88,,,,,,,,
21,2020,구포제1동,5143,,,,,,,,,,,,,,,,,,,,,2397,46.61,2683,52.17,63,1.22,,,,
21,2020,구포제2동,10275,,,,,,,,,,,,,,,,,,,,,4821,46.92,5354,52.11,100,0.97,,,,
21,2020,구포제3동,6682,,,,,,,,,,,,,,,,,,,,,3071,45.96,3524,52.74,87,1.3,,,,
21,2020,덕천제1동,5094,,,,,,,,,,,,,,,,,,,,,2213,43.44,2830,55.56,51,1.0,,,,
21,2020,덕천제2동,4604,,,,,,,,,,,,,,,,,,,,,2005,43.55,2537,55.1,62,1.35,,,,
21,2020,덕천제3동,3651,,,,,,,,,,,,,,,,,,,,,1583,43.36,2026,55.49,42,1.15,,,,
21,2020,만덕제1동,4765,,,,,,,,,,,,,,,,,,,,,2366,49.65,2354,49.4,45,0.94,,,,
21,2020,만덕제2동,10713,,,,,,,,,,,,,,,,,,,,,5382,50.24,5249,49.0,82,0.77,,,,
21,2020,만덕제3동,7265,,,,,,,,,,,,,,,,,,,,,3410,46.94,3817,52.54,38,0.52,,,,
22,2024,구포제1동,5267,,,,,,,,,,,,,,,,,,,,,2554,48.49,,,,,2646,50.24,67,1.27
22,2024,구포제2동,8759,,,,,,,,,,,,,,,,,,,,,4254,48.57,,,,,4432,50.6,73,0.83
22,2024,구포제3동,5343,,,,,,,,,,,,,,,,,,,,,2597,48.61,,,,,2701,50.55,45,0.84
22,2024,덕천제1동,4956,,,,,,,,,,,,,,,,,,,,,2294,46.29,,,,,2601,52.48,61,1.23
22,2024,덕천제2동,3806,,,,,,,,,,,,,,,,,,,,,1685,44.27,,,,,2079,54.62,42,1.1
22,2024,덕천제3동,3138,,,,,,,,,,,,,,,,,,,,,1394,44.42,,,,,1703,54.27,41,1.31
22,2024,만덕제2동,9110,,,,,,,,,,,,,,,,,,,,,4807,52.77,,,,,4229,46.42,74,0.81
22,2024,만덕제3동,6144,,,,,,,,,,,,,,,,,,,,,2904,47.27,,,,,3153,51.32,87,1.42
