round,year,election_date,sg_id,sd_name,sgg_name,rank,name,party,votes,vote_share_pct,is_winner,eligible_voters,valid_votes,invalid_votes
22,2024,2024-04-10,20240410,부산광역시,북구갑,1,전재수,더불어민주당,43548,52.32,Y,121889,83234,778
22,2024,2024-04-10,20240410,부산광역시,북구갑,2,서병수,국민의힘,38850,46.68,,121889,83234,778
22,2024,2024-04-10,20240410,부산광역시,북구갑,3,배기석,개혁신당,836,1.0,,121889,83234,778
21,2020,2020-04-15,20200415,부산광역시,북구강서구갑,1,전재수,더불어민주당,48733,50.59,Y,141852,96334,861
21,2020,2020-04-15,20200415,부산광역시,북구강서구갑,2,박민식,미래통합당,46795,48.58,,141852,96334,861
21,2020,2020-04-15,20200415,부산광역시,북구강서구갑,3,이성근,국가혁명배당금당,806,0.84,,141852,96334,861
20,2016,2016-04-13,20160413,부산광역시,북구강서구갑,1,전재수,더불어민주당,48887,55.93,Y,146182,87414,1076
20,2016,2016-04-13,20160413,부산광역시,북구강서구갑,2,박민식,새누리당,38527,44.07,,146182,87414,1076
19,2012,2012-04-11,20120411,부산광역시,북구강서구갑,1,박민식,새누리당,38601,52.4,Y,135354,73670,705
19,2012,2012-04-11,20120411,부산광역시,북구강서구갑,2,전재수,민주통합당,35069,47.6,,135354,73670,705
18,2008,2008-04-09,20080409,부산광역시,북구강서구갑,1,박민식,한나라당,30215,57.35,Y,135186,52687,935
18,2008,2008-04-09,20080409,부산광역시,북구강서구갑,2,전재수,통합민주당,20322,38.57,,135186,52687,935
18,2008,2008-04-09,20080409,부산광역시,북구강서구갑,3,임종보,평화통일가정당,2150,4.08,,135186,52687,935
17,2004,2004-04-15,20040415,부산광역시,북구·강서구갑,1,정형근,한나라당,41547,51.16,Y,133099,81217,781
17,2004,2004-04-15,20040415,부산광역시,북구·강서구갑,2,이철,열린우리당,35280,43.44,,133099,81217,781
17,2004,2004-04-15,20040415,부산광역시,북구·강서구갑,3,도희윤,무소속,2349,2.89,,133099,81217,781
17,2004,2004-04-15,20040415,부산광역시,북구·강서구갑,4,박희동,새천년민주당,1333,1.64,,133099,81217,781
17,2004,2004-04-15,20040415,부산광역시,북구·강서구갑,5,노태석,자민련,708,0.87,,133099,81217,781
