회차,연도,선거일,선거구명,동,투표구명,분류,선거인수,투표수,유효표_계,무효투표수,기권자수,후보순번,정당,후보명,득표수,득표율_유효표대비
17,2004,2004-04-15,북구·강서구갑,전체,계,race_total,133099,81998,81217,781,51101,1,한나라당,정형근,41547,51.16
17,2004,2004-04-15,북구·강서구갑,전체,계,race_total,133099,81998,81217,781,51101,2,새천년민주당,박희동,1333,1.64
17,2004,2004-04-15,북구·강서구갑,전체,계,race_total,133099,81998,81217,781,51101,3,열린우리당,이철,35280,43.44
17,2004,2004-04-15,북구·강서구갑,전체,계,race_total,133099,81998,81217,781,51101,4,자민련,노태석,708,0.87
17,2004,2004-04-15,북구·강서구갑,전체,계,race_total,133099,81998,81217,781,51101,5,무소속,도희윤,2349,2.89
17,2004,2004-04-15,북구·강서구갑,전체,부재자투표,special,3504,3253,3102,151,251,1,한나라당,정형근,1313,42.33
17,2004,2004-04-15,북구·강서구갑,전체,부재자투표,special,3504,3253,3102,151,251,2,새천년민주당,박희동,128,4.13
17,2004,2004-04-15,북구·강서구갑,전체,부재자투표,special,3504,3253,3102,151,251,3,열린우리당,이철,1337,43.1
17,2004,2004-04-15,북구·강서구갑,전체,부재자투표,special,3504,3253,3102,151,251,4,자민련,노태석,77,2.48
17,2004,2004-04-15,북구·강서구갑,전체,부재자투표,special,3504,3253,3102,151,251,5,무소속,도희윤,247,7.96
17,2004,2004-04-15,북구·강서구갑,전체,소계,subtotal,22159,13453,13332,121,8706,1,한나라당,정형근,6670,50.03
17,2004,2004-04-15,북구·강서구갑,전체,소계,subtotal,22159,13453,13332,121,8706,2,새천년민주당,박희동,222,1.67
17,2004,2004-04-15,북구·강서구갑,전체,소계,subtotal,22159,13453,13332,121,8706,3,열린우리당,이철,5940,44.55
17,2004,2004-04-15,북구·강서구갑,전체,소계,subtotal,22159,13453,13332,121,8706,4,자민련,노태석,138,1.04
17,2004,2004-04-15,북구·강서구갑,전체,소계,subtotal,22159,13453,13332,121,8706,5,무소속,도희윤,362,2.72
17,2004,2004-04-15,북구·강서구갑,구포2동,구포2동제1투,box,3660,2158,2141,17,1502,1,한나라당,정형근,1054,49.23
17,2004,2004-04-15,북구·강서구갑,구포2동,구포2동제1투,box,3660,2158,2141,17,1502,2,새천년민주당,박희동,31,1.45
17,2004,2004-04-15,북구·강서구갑,구포2동,구포2동제1투,box,3660,2158,2141,17,1502,3,열린우리당,이철,964,45.03
17,2004,2004-04-15,북구·강서구갑,구포2동,구포2동제1투,box,3660,2158,2141,17,1502,4,자민련,노태석,13,0.61
17,2004,2004-04-15,북구·강서구갑,구포2동,구포2동제1투,box,3660,2158,2141,17,1502,5,무소속,도희윤,79,3.69
17,2004,2004-04-15,북구·강서구갑,구포2동,구포2동제2투,box,3895,2222,2201,21,1673,1,한나라당,정형근,1099,49.93
17,2004,2004-04-15,북구·강서구갑,구포2동,구포2동제2투,box,3895,2222,2201,21,1673,2,새천년민주당,박희동,37,1.68
17,2004,2004-04-15,북구·강서구갑,구포2동,구포2동제2투,box,3895,2222,2201,21,1673,3,열린우리당,이철,981,44.57
17,2004,2004-04-15,북구·강서구갑,구포2동,구포2동제2투,box,3895,2222,2201,21,1673,4,자민련,노태석,19,0.86
17,2004,2004-04-15,북구·강서구갑,구포2동,구포2동제2투,box,3895,2222,2201,21,1673,5,무소속,도희윤,65,2.95
17,2004,2004-04-15,북구·강서구갑,구포2동,구포2동제3투,box,4023,2502,2488,14,1521,1,한나라당,정형근,1184,47.59
17,2004,2004-04-15,북구·강서구갑,구포2동,구포2동제3투,box,4023,2502,2488,14,1521,2,새천년민주당,박희동,50,2.01
17,2004,2004-04-15,북구·강서구갑,구포2동,구포2동제3투,box,4023,2502,2488,14,1521,3,열린우리당,이철,1162,46.7
17,2004,2004-04-15,북구·강서구갑,구포2동,구포2동제3투,box,4023,2502,2488,14,1521,4,자민련,노태석,33,1.33
17,2004,2004-04-15,북구·강서구갑,구포2동,구포2동제3투,box,4023,2502,2488,14,1521,5,무소속,도희윤,59,2.37
17,2004,2004-04-15,북구·강서구갑,구포2동,구포2동제4투,box,3978,2338,2314,24,1640,1,한나라당,정형근,1172,50.65
17,2004,2004-04-15,북구·강서구갑,구포2동,구포2동제4투,box,3978,2338,2314,24,1640,2,새천년민주당,박희동,31,1.34
17,2004,2004-04-15,북구·강서구갑,구포2동,구포2동제4투,box,3978,2338,2314,24,1640,3,열린우리당,이철,995,43.0
