party,registered_candidates,drunk_driving_candidates,drunk_driving_rate_pct,dangerous_driving_candidates,dangerous_driving_rate_pct,both_categories_candidates
더불어민주당,3213,353,10.99,2,0.06,2
국민의힘,2742,376,13.71,6,0.22,5
무소속,887,154,17.36,3,0.34,2
진보당,316,24,7.59,0,0.0,0
조국혁신당,263,36,13.69,0,0.0,0
개혁신당,192,7,3.65,0,0.0,0
정의당,51,4,7.84,0,0.0,0
자유와혁신,48,5,10.42,0,0.0,0
기본소득당,32,1,3.12,0,0.0,0
자유통일당,12,0,0.0,0,0.0,0
노동당,9,0,0.0,0,0.0,0
새미래민주당,9,0,0.0,0,0.0,0
공화당,8,2,25.0,0,0.0,0
국민연합,7,1,14.29,0,0.0,0
사회민주당,6,0,0.0,0,0.0,0
한국독립당,4,0,0.0,0,0.0,0
국민당,3,0,0.0,0,0.0,0
국민대통합당,3,0,0.0,0,0.0,0
녹색당,3,0,0.0,0,0.0,0
대한국민당,3,0,0.0,0,0.0,0
친미연합,3,1,33.33,0,0.0,0
거지당,2,0,0.0,0,0.0,0
국민주권당,2,0,0.0,0,0.0,0
한나라당,2,0,0.0,0,0.0,0
기독당,1,0,0.0,0,0.0,0
미래연대,1,0,0.0,0,0.0,0
여성의당,1,0,0.0,0,0.0,0
자유민주당,1,0,0.0,0,0.0,0
