sdName,registered_candidates,drunk_driving_candidates,drunk_driving_rate_pct,dangerous_driving_candidates,dangerous_driving_rate_pct,both_categories_candidates
경기도,1200,147,12.25,3,0.25,2
서울특별시,1035,71,6.86,0,0.0,0
경상남도,712,101,14.19,0,0.0,0
경상북도,690,110,15.94,2,0.29,2
강원특별자치도,490,73,14.9,1,0.2,0
전라남도,486,71,14.61,0,0.0,0
충청남도,479,64,13.36,0,0.0,0
부산광역시,460,40,8.7,0,0.0,0
전북특별자치도,454,49,10.79,2,0.44,2
충청북도,349,44,12.61,0,0.0,0
인천광역시,330,48,14.55,2,0.61,2
대구광역시,326,45,13.8,1,0.31,1
울산광역시,187,31,16.58,0,0.0,0
대전광역시,174,22,12.64,0,0.0,0
광주광역시,158,13,8.23,0,0.0,0
전남광주통합특별시,137,20,14.6,0,0.0,0
제주특별자치도,100,10,10.0,0,0.0,0
세종특별자치시,57,5,8.77,0,0.0,0
