시도,민주당 후보,민주당 지지율(%),비민주당 1위 후보,비민주당 1위 정당,비민주당 1위 지지율(%),격차(%p),추정 우세
제주특별자치도,위성곤,57.5,문성유,국민의힘,20.3,37.2,민주당
경기도,추미애,54.3,양향자,국민의힘,25.4,28.9,민주당
세종특별자치시,조상호,52.6,최민호,국민의힘,27.4,25.2,민주당
인천광역시,박찬대,51.8,유정복,국민의힘,38.3,13.5,민주당
대전광역시,허태정,47.4,이장우,국민의힘,34,13.4,민주당
부산광역시,전재수,47.6,박형준,국민의힘,39.4,8.2,민주당
울산광역시,김상욱,33.7,김두겸,국민의힘,27.3,6.4,민주당
강원특별자치도,우상호,49.8,김진태,국민의힘,43.4,6.4,민주당
충청남도,박수현,43.88,김태흠,국민의힘,38.59,5.29,민주당
서울특별시,정원오,46.6,오세훈,국민의힘,43.6,3.0,민주당
경상남도,김경수,45.2,박완수,국민의힘,45.2,0.0,국민의힘
대구광역시,김부겸,43.4,추경호,국민의힘,48,-4.6,국민의힘
전북특별자치도,이원택,39.1,김관영,무소속,48.6,-9.5,무소속
