시도,시군구,민주_확률_혼합,민주_확률_보통,민주_확률_정권심판
제주특별자치도,남제주군,1.0,1.0,1.0
광주광역시,북구,0.9993,0.9997,1.0
광주광역시,서구(광주),0.9989,0.9981,0.9998
광주광역시,동구(광주),0.997,0.9958,0.9997
전라남도,나주시,0.9963,0.9963,0.9997
광주광역시,남구,0.996,0.994,0.9992
전라남도,영광군,0.9954,0.994,0.9997
전북특별자치도,김제시,0.993,0.9932,0.9995
제주특별자치도,서귀포시,0.9918,0.99,0.9991
전북특별자치도,진안군,0.9917,0.9914,0.9993
광주광역시,남구(광주),0.9909,0.9879,0.9993
전북특별자치도,부안군,0.9908,0.9877,0.9991
광주광역시,광산구,0.9898,0.9881,0.999
전북특별자치도,전주시,0.9883,0.9866,0.9987
전라남도,곡성군,0.9882,0.9864,0.9992
전라남도,완도군,0.988,0.9863,0.999
광주광역시,북구(광주),0.9869,0.9827,0.9975
광주광역시,동구,0.9846,0.9793,0.9977
전라남도,보성군,0.9846,0.9829,0.9982
전라남도,장성군,0.9836,0.9803,0.9985
광주광역시,서구,0.9825,0.9782,0.9979
전북특별자치도,완주군,0.9807,0.9778,0.9978
전북특별자치도,익산시,0.9778,0.9736,0.9981
전라남도,함평군,0.9726,0.9647,0.9957
전라남도,순천시,0.9708,0.963,0.9957
전라남도,화순군,0.9707,0.9656,0.9962
전라남도,담양군,0.9703,0.9661,0.9943
전북특별자치도,고창군,0.9701,0.9631,0.9945
전북특별자치도,장수군,0.9701,0.9593,0.9965
전북특별자치도,정읍시,0.9701,0.9643,0.9966
전라남도,해남군,0.9693,0.9621,0.9952
전북특별자치도,군산시,0.9689,0.9604,0.9958
전라남도,장흥군,0.9667,0.9614,0.9945
전북특별자치도,순창군,0.9653,0.9581,0.9941
전북특별자치도,남원시,0.9648,0.9559,0.993
전라남도,여수시,0.9646,0.9597,0.994
전라남도,무안군,0.9622,0.957,0.9896
전북특별자치도,무주군,0.9613,0.9554,0.9958
전라남도,영암군,0.9599,0.9509,0.9886
전라남도,구례군,0.9536,0.9484,0.9893
전라남도,목포시,0.9462,0.9355,0.9867
전라남도,고흥군,0.9451,0.9334,0.9857
전라남도,광양시,0.9427,0.9341,0.9894
전라남도,진도군,0.9327,0.9175,0.9825
전북특별자치도,임실군,0.9249,0.9111,0.9871
전라남도,강진군,0.884,0.8602,0.9532
전라남도,신안군,0.8349,0.8168,0.9449
서울특별시,관악구,0.819,0.7768,0.9747
충청북도,진천군,0.7636,0.7256,0.9469
경기도,광명시,0.7405,0.6918,0.9453
경기도,오산시,0.7141,0.6456,0.9266
경기도,군포시,0.6999,0.6377,0.9262
경기도,시흥시,0.6615,0.604,0.9198
서울특별시,강북구,0.6612,0.6084,0.9178
제주특별자치도,제주시,0.6608,0.6013,0.8979
강원특별자치도,정선군,0.6557,0.6169,0.7962
인천광역시,중구(인천),0.6523,0.5947,0.8993
서울특별시,성동구,0.6504,0.5902,0.9133
충청남도,당진군,0.649,0.5961,0.8916
경기도,부천시,0.6447,0.5961,0.8879
인천광역시,계양구,0.6442,0.5945,0.9012
서울특별시,종로구,0.6324,0.56,0.9118
경기도,구리시,0.6236,0.5634,0.9036
충청북도,청원군,0.6146,0.557,0.879
서울특별시,노원구,0.6131,0.561,0.8993
경기도,양주군,0.6128,0.5399,0.8708
인천광역시,동구(인천),0.6098,0.5526,0.8788
서울특별시,은평구,0.6066,0.5401,0.887
충청남도,서천군,0.6063,0.5546,0.8362
서울특별시,도봉구,0.5974,0.5104,0.8892
서울특별시,금천구,0.5837,0.5095,0.8634
서울특별시,동대문구,0.5786,0.5109,0.8627
서울특별시,동작구,0.5778,0.5043,0.874
서울특별시,서대문구,0.5777,0.5092,0.8576
서울특별시,마포구,0.5732,0.4947,0.883
경기도,수원시,0.568,0.5003,0.8409
서울특별시,광진구,0.5615,0.4808,0.8763
충청남도,연기군,0.5594,0.5287,0.7434
서울특별시,구로구,0.5539,0.4922,0.835
서울특별시,성북구,0.5539,0.4834,0.8627
경기도,김포시,0.5488,0.4681,0.8816
경기도,양주시,0.5471,0.479,0.8767
충청남도,태안군,0.5455,0.4842,0.8193
대전광역시,유성구,0.5399,0.4674,0.8034
충청북도,청주시,0.5265,0.4687,0.8385
대전광역시,서구,0.525,0.4614,0.8389
대전광역시,동구,0.5221,0.4496,0.8627
인천광역시,남구,0.5217,0.4381,0.8546
경기도,포천군,0.521,0.4567,0.8248
인천광역시,부평구,0.5192,0.4448,0.8264
서울특별시,강서구,0.5191,0.4454,0.8333
경기도,의정부시,0.5165,0.4399,0.8416
충청남도,금산군,0.5143,0.4456,0.7951
서울특별시,양천구,0.4939,0.4126,0.8339
경기도,안산시,0.4931,0.4251,0.874
서울특별시,중구,0.4819,0.3895,0.8367
경기도,성남시,0.4815,0.4111,0.8384
대전광역시,중구,0.4742,0.3908,0.8148
서울특별시,중랑구,0.471,0.3697,0.8276
경기도,남양주시,0.4706,0.4066,0.8265
서울특별시,영등포구,0.4703,0.3981,0.8072
서울특별시,강동구,0.4693,0.4135,0.7538
경기도,하남시,0.4685,0.3872,0.8024
충청북도,증평군,0.4601,0.3804,0.7951
경기도,의왕시,0.4585,0.4038,0.7951
경기도,고양시,0.4537,0.3749,0.7826
충청남도,서산시,0.4521,0.3902,0.7101
경기도,파주시,0.4484,0.387,0.7589
경상남도,김해시,0.4387,0.3651,0.7956
충청북도,제천시,0.4371,0.3527,0.8082
인천광역시,서구,0.4333,0.3654,0.7736
경기도,광주시,0.4321,0.3486,0.8123
강원특별자치도,인제군,0.4296,0.3647,0.751
충청남도,공주시,0.4249,0.336,0.8102
인천광역시,강화군,0.4234,0.358,0.6603
충청북도,옥천군,0.4229,0.3772,0.7294
강원특별자치도,원주시,0.4224,0.3425,0.7705
경기도,평택시,0.4195,0.3505,0.7866
인천광역시,중구,0.4192,0.3346,0.8109
인천광역시,서구(인천),0.4147,0.3524,0.7538
충청남도,아산시,0.4135,0.3497,0.723
경기도,화성시,0.4125,0.3439,0.6975
강원특별자치도,횡성군,0.4119,0.3596,0.6908
경기도,안양시,0.3895,0.306,0.7678
충청남도,논산시,0.3853,0.3142,0.7251
서울특별시,용산구,0.3795,0.2946,0.7492
인천광역시,옹진군,0.3775,0.3377,0.5994
울산광역시,동구(울산),0.3766,0.3177,0.7298
충청남도,당진시,0.3745,0.2909,0.7397
충청북도,음성군,0.3742,0.2975,0.7633
인천광역시,연수구,0.373,0.2973,0.7629
대전광역시,대덕구,0.3664,0.2695,0.7815
대전광역시,동구(대전),0.3636,0.2887,0.7113
경기도,안성시,0.3635,0.2713,0.7799
경기도,용인시,0.3592,0.2696,0.7641
인천광역시,미추홀구,0.3587,0.2835,0.6984
충청남도,부여군,0.3495,0.2909,0.6157
경기도,이천시,0.346,0.2909,0.6114
충청남도,천안시,0.3387,0.2749,0.6696
서울특별시,송파구,0.3363,0.242,0.7574
인천광역시,남구(인천),0.3358,0.259,0.678
충청북도,영동군,0.3338,0.2803,0.6318
제주특별자치도,북제주군,0.3319,0.2597,0.6784
충청남도,계룡시,0.3227,0.2514,0.6467
강원특별자치도,삼척시,0.3197,0.2473,0.6119
강원특별자치도,평창군,0.3164,0.2367,0.6916
강원특별자치도,철원군,0.3146,0.2459,0.6898
강원특별자치도,태백시,0.2993,0.2244,0.6648
강원특별자치도,양구군,0.2918,0.232,0.5896
