시도,선거구,민주당 후보,민주당 정당,민주당 mean(%),비민주당 후보,비민주당 정당,비민주당 mean(%),격차(%p),민주당 승리 확률(%),MBC 분류
충남,아산을,전은수,더불어민주당,73.6,김민경,국민의힘,26.4,47.2,100.0,더불어민주당 우세
광주,광산을,임문영,더불어민주당,51.0,안태욱,국민의힘,6.0,45.0,100.0, (raw 여론조사 1회 평균)
인천,계양을,김남준,더불어민주당,58.7,심왕섭,국민의힘,19.4,39.3,100.0, (raw 여론조사 1회 평균)
경기,안산갑,김남국,더불어민주당,47.1,김석훈,국민의힘,23.1,24.0,99.8, (raw 여론조사 1회 평균)
인천,연수갑,송영길,더불어민주당,52.6,박종진,국민의힘,30.1,22.5,100.0,더불어민주당 우세
제주,서귀포,김성범,더불어민주당,52.4,고기철,국민의힘,31.9,20.5,100.0,더불어민주당 우세
전북,군산김제부안갑,김의겸,더불어민주당,자료부족,오지성,국민의힘,자료부족,18.0,99.5,더불어민주당 우세 (자료 부족 — 22대 당선 기반 추정)
전북,군산김제부안을,박지원,더불어민주당,자료부족,김종회,무소속,자료부족,18.0,99.4,더불어민주당 우세 (자료 부족 — 22대 당선 기반 추정)
경기,하남갑,이광재,더불어민주당,50.5,이용,국민의힘,36.3,14.2,99.0,더불어민주당 우세
경기,평택을,김용남,더불어민주당,28.6,유의동,국민의힘,21.2,7.4,88.4,더불어민주당 우세
충남,공주부여청양,김영빈,더불어민주당,45.9,윤용근,국민의힘,43.5,2.4,63.9,경합
울산,남갑,전태진,더불어민주당,40.3,김태규,국민의힘,42.5,-2.2,36.1,경합
부산,북갑,하정우,더불어민주당,36.1,한동훈,무소속,39.3,-3.2,29.5,경합
대구,달성,박형룡,더불어민주당,37.3,이진숙,국민의힘,48.9,-11.6,7.8, (raw 여론조사 1회 평균)
